amtProduced_need, avg_price, sd, char
1.076404, 2.192841, 0.544983, B
1.076404, 1.565520, 0.318134, B
1.076404, 1.172620, 0.208166, B
1.076404, 0.877393, 0.152588, B
1.076404, 0.683402, 0.109558, B
1.076404, 0.511569, 0.082349, B
1.076404, 0.379250, 0.065756, B
1.076404, 0.278979, 0.046117, B
1.076404, 0.205714, 0.035424, B
1.076404, 0.149735, 0.024417, B
1.076404, 0.113317, 0.016232, B
1.076404, 0.086874, 0.013395, B
1.076404, 0.061277, 0.009838, B
1.076404, 0.045474, 0.007577, B
1.076404, 0.035221, 0.006590, B
