amtProduced_need, avg_price, sd, char
0.552480, 4.447340, 0.938611, C
0.552480, 5.580211, 1.111066, C
0.552480, 6.467068, 1.595264, C
0.552480, 7.065373, 1.726714, C
0.552480, 7.955889, 1.621717, C
0.552480, 9.078754, 1.807131, C
0.552480, 9.836255, 1.796454, C
0.552480, 11.331600, 2.885584, C
0.552480, 13.605221, 3.910777, C
0.552480, 15.067276, 3.311209, C
0.552480, 16.144208, 3.258831, C
0.552480, 16.877792, 2.745539, C
0.552480, 18.028090, 4.003030, C
0.552480, 18.323667, 3.106676, C
0.552480, 18.940444, 4.079639, C
