amtProduced_need, avg_price, sd, char
1.319914, 2.379034, 0.604755, D
1.319914, 1.731529, 0.347844, D
1.319914, 1.166413, 0.212603, D
1.319914, 0.830057, 0.151030, D
1.319914, 0.601777, 0.112775, D
1.319914, 0.438389, 0.080943, D
1.319914, 0.328220, 0.058188, D
1.319914, 0.234695, 0.044947, D
1.319914, 0.166496, 0.033790, D
1.319914, 0.121062, 0.022385, D
1.319914, 0.087542, 0.015993, D
1.319914, 0.064098, 0.010974, D
1.319914, 0.045423, 0.007438, D
1.319914, 0.031695, 0.004698, D
1.319914, 0.023486, 0.003783, D
