amtProduced_need, avg_price, sd, char
0.998943, 2.435678, 0.501843, E
0.998943, 1.908308, 0.324503, E
0.998943, 1.455664, 0.257358, E
0.998943, 1.141768, 0.191607, E
0.998943, 0.871034, 0.207233, E
0.998943, 0.681205, 0.132693, E
0.998943, 0.530939, 0.102481, E
0.998943, 0.428360, 0.059210, E
0.998943, 0.320517, 0.047790, E
0.998943, 0.255177, 0.037595, E
0.998943, 0.199456, 0.024185, E
0.998943, 0.152600, 0.019831, E
0.998943, 0.115037, 0.016341, E
0.998943, 0.084914, 0.013630, E
0.998943, 0.066822, 0.009859, E
