amtProduced_need, avg_price, sd, char
1.059761, 2.533613, 0.476544, F
1.059761, 2.091094, 0.327679, F
1.059761, 1.625850, 0.234574, F
1.059761, 1.299838, 0.180124, F
1.059761, 1.068518, 0.172834, F
1.059761, 0.827095, 0.115971, F
1.059761, 0.663084, 0.107376, F
1.059761, 0.495617, 0.074258, F
1.059761, 0.391860, 0.056304, F
1.059761, 0.300566, 0.044072, F
1.059761, 0.246664, 0.027520, F
1.059761, 0.198032, 0.022463, F
1.059761, 0.156469, 0.020572, F
1.059761, 0.121779, 0.015451, F
1.059761, 0.099032, 0.012976, F
