amtProduced_need, avg_price, sd, char
1.241988, 2.111634, 0.478832, G
1.241988, 1.445198, 0.308496, G
1.241988, 0.971165, 0.199538, G
1.241988, 0.668405, 0.121368, G
1.241988, 0.475021, 0.095789, G
1.241988, 0.333945, 0.069763, G
1.241988, 0.247121, 0.060290, G
1.241988, 0.170839, 0.037898, G
1.241988, 0.118535, 0.023282, G
1.241988, 0.084705, 0.016770, G
1.241988, 0.058956, 0.011700, G
1.241988, 0.041174, 0.008075, G
1.241988, 0.030081, 0.005472, G
1.241988, 0.021871, 0.003723, G
1.241988, 0.016268, 0.002991, G
