amtProduced_need, avg_price, sd, char
1.015411, 2.271473, 0.509188, H
1.015411, 1.695566, 0.284545, H
1.015411, 1.262425, 0.193198, H
1.015411, 0.886298, 0.143157, H
1.015411, 0.633447, 0.120447, H
1.015411, 0.464560, 0.082908, H
1.015411, 0.346589, 0.061964, H
1.015411, 0.258876, 0.049286, H
1.015411, 0.187579, 0.028840, H
1.015411, 0.138436, 0.022004, H
1.015411, 0.101354, 0.019042, H
1.015411, 0.074249, 0.013477, H
1.015411, 0.053288, 0.009202, H
1.015411, 0.037181, 0.006099, H
1.015411, 0.026950, 0.004821, H
