amtProduced_need, avg_price, sd, char
0.465079, 4.414958, 0.854054, I
0.465079, 6.406958, 0.981773, I
0.465079, 8.798813, 1.178495, I
0.465079, 12.247125, 1.694262, I
0.465079, 17.287355, 2.139167, I
0.465079, 23.904343, 3.670510, I
0.465079, 34.241099, 4.741626, I
0.465079, 47.830430, 6.460727, I
0.465079, 68.553101, 8.839691, I
0.465079, 100.208730, 14.936954, I
0.465079, 148.404356, 23.067170, I
0.465079, 217.296655, 34.041345, I
0.465079, 308.733090, 42.007489, I
0.465079, 437.279194, 68.457802, I
0.465079, 628.626902, 85.950507, I
