amtProduced_need, avg_price, sd, char
1.162011, 2.220918, 0.642884, J
1.162011, 1.624441, 0.342815, J
1.162011, 1.156614, 0.213474, J
1.162011, 0.890953, 0.124304, J
1.162011, 0.673132, 0.116951, J
1.162011, 0.508476, 0.089165, J
1.162011, 0.367462, 0.064152, J
1.162011, 0.268087, 0.046737, J
1.162011, 0.197333, 0.031564, J
1.162011, 0.147475, 0.026555, J
1.162011, 0.111527, 0.016994, J
1.162011, 0.082004, 0.011438, J
1.162011, 0.060235, 0.008939, J
1.162011, 0.045299, 0.006108, J
1.162011, 0.032922, 0.004955, J
