amount produced/need, avg price, sd, char
 year: 1
0.873396, 2.681798, 0.465779, A
1.076404, 2.192841, 0.544983, B
0.552480, 4.447340, 0.938611, C
1.319914, 2.379034, 0.604755, D
0.998943, 2.435678, 0.501843, E
1.059761, 2.533613, 0.476544, F
1.241988, 2.111634, 0.478832, G
1.015411, 2.271473, 0.509188, H
0.465079, 4.414958, 0.854054, I
1.162011, 2.220918, 0.642884, J
amount produced/need, avg price, sd, char
 year: 2
0.873396, 2.187080, 0.247409, A
1.076404, 1.565520, 0.318134, B
0.552480, 5.580211, 1.111066, C
1.319914, 1.731529, 0.347844, D
0.998943, 1.908308, 0.324503, E
1.059761, 2.091094, 0.327679, F
1.241988, 1.445198, 0.308496, G
1.015411, 1.695566, 0.284545, H
0.465079, 6.406958, 0.981773, I
1.162011, 1.624441, 0.342815, J
amount produced/need, avg price, sd, char
 year: 3
0.873396, 1.747166, 0.228418, A
1.076404, 1.172620, 0.208166, B
0.552480, 6.467068, 1.595264, C
1.319914, 1.166413, 0.212603, D
0.998943, 1.455664, 0.257358, E
1.059761, 1.625850, 0.234574, F
1.241988, 0.971165, 0.199538, G
1.015411, 1.262425, 0.193198, H
0.465079, 8.798813, 1.178495, I
1.162011, 1.156614, 0.213474, J
amount produced/need, avg price, sd, char
 year: 4
0.873396, 1.424669, 0.181234, A
1.076404, 0.877393, 0.152588, B
0.552480, 7.065373, 1.726714, C
1.319914, 0.830057, 0.151030, D
0.998943, 1.141768, 0.191607, E
1.059761, 1.299838, 0.180124, F
1.241988, 0.668405, 0.121368, G
1.015411, 0.886298, 0.143157, H
0.465079, 12.247125, 1.694262, I
1.162011, 0.890953, 0.124304, J
amount produced/need, avg price, sd, char
 year: 5
0.873396, 1.129023, 0.163603, A
1.076404, 0.683402, 0.109558, B
0.552480, 7.955889, 1.621717, C
1.319914, 0.601777, 0.112775, D
0.998943, 0.871034, 0.207233, E
1.059761, 1.068518, 0.172834, F
1.241988, 0.475021, 0.095789, G
1.015411, 0.633447, 0.120447, H
0.465079, 17.287355, 2.139167, I
1.162011, 0.673132, 0.116951, J
amount produced/need, avg price, sd, char
 year: 6
0.873396, 0.957117, 0.126825, A
1.076404, 0.511569, 0.082349, B
0.552480, 9.078754, 1.807131, C
1.319914, 0.438389, 0.080943, D
0.998943, 0.681205, 0.132693, E
1.059761, 0.827095, 0.115971, F
1.241988, 0.333945, 0.069763, G
1.015411, 0.464560, 0.082908, H
0.465079, 23.904343, 3.670510, I
1.162011, 0.508476, 0.089165, J
amount produced/need, avg price, sd, char
 year: 7
0.873396, 0.788038, 0.146243, A
1.076404, 0.379250, 0.065756, B
0.552480, 9.836255, 1.796454, C
1.319914, 0.328220, 0.058188, D
0.998943, 0.530939, 0.102481, E
1.059761, 0.663084, 0.107376, F
1.241988, 0.247121, 0.060290, G
1.015411, 0.346589, 0.061964, H
0.465079, 34.241099, 4.741626, I
1.162011, 0.367462, 0.064152, J
amount produced/need, avg price, sd, char
 year: 8
0.873396, 0.641250, 0.084540, A
1.076404, 0.278979, 0.046117, B
0.552480, 11.331600, 2.885584, C
1.319914, 0.234695, 0.044947, D
0.998943, 0.428360, 0.059210, E
1.059761, 0.495617, 0.074258, F
1.241988, 0.170839, 0.037898, G
1.015411, 0.258876, 0.049286, H
0.465079, 47.830430, 6.460727, I
1.162011, 0.268087, 0.046737, J
amount produced/need, avg price, sd, char
 year: 9
0.873396, 0.532374, 0.064457, A
1.076404, 0.205714, 0.035424, B
0.552480, 13.605221, 3.910777, C
1.319914, 0.166496, 0.033790, D
0.998943, 0.320517, 0.047790, E
1.059761, 0.391860, 0.056304, F
1.241988, 0.118535, 0.023282, G
1.015411, 0.187579, 0.028840, H
0.465079, 68.553101, 8.839691, I
1.162011, 0.197333, 0.031564, J
amount produced/need, avg price, sd, char
 year: 10
0.873396, 0.419352, 0.066402, A
1.076404, 0.149735, 0.024417, B
0.552480, 15.067276, 3.311209, C
1.319914, 0.121062, 0.022385, D
0.998943, 0.255177, 0.037595, E
1.059761, 0.300566, 0.044072, F
1.241988, 0.084705, 0.016770, G
1.015411, 0.138436, 0.022004, H
0.465079, 100.208730, 14.936954, I
1.162011, 0.147475, 0.026555, J
amount produced/need, avg price, sd, char
 year: 11
0.873396, 0.342252, 0.052599, A
1.076404, 0.113317, 0.016232, B
0.552480, 16.144208, 3.258831, C
1.319914, 0.087542, 0.015993, D
0.998943, 0.199456, 0.024185, E
1.059761, 0.246664, 0.027520, F
1.241988, 0.058956, 0.011700, G
1.015411, 0.101354, 0.019042, H
0.465079, 148.404356, 23.067170, I
1.162011, 0.111527, 0.016994, J
amount produced/need, avg price, sd, char
 year: 12
0.873396, 0.272959, 0.041462, A
1.076404, 0.086874, 0.013395, B
0.552480, 16.877792, 2.745539, C
1.319914, 0.064098, 0.010974, D
0.998943, 0.152600, 0.019831, E
1.059761, 0.198032, 0.022463, F
1.241988, 0.041174, 0.008075, G
1.015411, 0.074249, 0.013477, H
0.465079, 217.296655, 34.041345, I
1.162011, 0.082004, 0.011438, J
amount produced/need, avg price, sd, char
 year: 13
0.873396, 0.234019, 0.045589, A
1.076404, 0.061277, 0.009838, B
0.552480, 18.028090, 4.003030, C
1.319914, 0.045423, 0.007438, D
0.998943, 0.115037, 0.016341, E
1.059761, 0.156469, 0.020572, F
1.241988, 0.030081, 0.005472, G
1.015411, 0.053288, 0.009202, H
0.465079, 308.733090, 42.007489, I
1.162011, 0.060235, 0.008939, J
amount produced/need, avg price, sd, char
 year: 14
0.873396, 0.196361, 0.032653, A
1.076404, 0.045474, 0.007577, B
0.552480, 18.323667, 3.106676, C
