amount_produced, need, avg_price, price_sd, char
342.371209, 392.000000, 3.264553, 0.260479, A
342.371209, 392.000000, 3.432964, 0.168100, A
342.371209, 392.000000, 3.717634, 0.189211, A
342.371209, 392.000000, 3.913485, 0.146361, A
342.371209, 392.000000, 4.108070, 0.175406, A
342.371209, 392.000000, 4.523418, 0.488924, A
342.371209, 392.000000, 4.876933, 0.250465, A
342.371209, 392.000000, 5.139026, 0.224526, A
342.371209, 392.000000, 5.309703, 0.245838, A
342.371209, 392.000000, 5.309703, 0.245838, A
342.371209, 392.000000, 5.522484, 0.197873, A
342.371209, 392.000000, 5.752793, 0.165530, A
342.371209, 392.000000, 6.141246, 0.234987, A
342.371209, 392.000000, 6.560963, 0.300207, A
342.371209, 392.000000, 6.834489, 0.281389, A
