amount produced, need, avg price, sd, char
 year: 1
342.371209, 392.000000, 3.264553, 0.260479, A
388.581971, 361.000000, 3.012581, 0.204434, B
192.815545, 349.000000, 4.731238, 0.882274, C
447.450814, 339.000000, 3.378956, 0.337539, D
347.632322, 348.000000, 3.225054, 0.391849, E
529.880527, 500.000000, 3.319560, 0.236273, F
491.827291, 396.000000, 3.097764, 0.178417, G
457.950278, 451.000000, 3.040983, 0.243802, H
208.820299, 449.000000, 3.860711, 0.537871, I
406.703970, 350.000000, 3.319495, 0.388707, J
amount produced, need, avg price, sd, char
 year: 2
342.371209, 392.000000, 3.432964, 0.168100, A
388.581971, 361.000000, 3.194173, 0.115343, B
192.815545, 349.000000, 6.556292, 1.108932, C
447.450814, 339.000000, 3.564341, 0.106079, D
347.632322, 348.000000, 3.456827, 0.177906, E
529.880527, 500.000000, 3.508845, 0.189457, F
491.827291, 396.000000, 3.136369, 0.087469, G
457.950278, 451.000000, 3.194212, 0.263910, H
208.820299, 449.000000, 4.978001, 0.522232, I
406.703970, 350.000000, 3.471050, 0.123743, J
amount produced, need, avg price, sd, char
 year: 3
342.371209, 392.000000, 3.717634, 0.189211, A
388.581971, 361.000000, 3.308152, 0.131729, B
192.815545, 349.000000, 8.944467, 1.517201, C
447.450814, 339.000000, 3.664604, 0.099672, D
347.632322, 348.000000, 3.697646, 0.195323, E
529.880527, 500.000000, 3.767245, 0.192895, F
491.827291, 396.000000, 3.205186, 0.055353, G
457.950278, 451.000000, 3.260018, 0.086021, H
208.820299, 449.000000, 6.262235, 0.580736, I
406.703970, 350.000000, 3.604572, 0.117706, J
amount produced, need, avg price, sd, char
 year: 4
342.371209, 392.000000, 3.913485, 0.146361, A
388.581971, 361.000000, 3.476955, 0.149192, B
192.815545, 349.000000, 12.617496, 1.789987, C
447.450814, 339.000000, 3.748366, 0.098280, D
347.632322, 348.000000, 3.926570, 0.173292, E
529.880527, 500.000000, 3.985246, 0.151463, F
491.827291, 396.000000, 3.273649, 0.070921, G
457.950278, 451.000000, 3.351514, 0.114622, H
208.820299, 449.000000, 7.764940, 0.647382, I
406.703970, 350.000000, 3.712838, 0.132710, J
amount produced, need, avg price, sd, char
 year: 5
342.371209, 392.000000, 4.108070, 0.175406, A
388.581971, 361.000000, 3.533805, 0.074220, B
192.815545, 349.000000, 15.596265, 1.168733, C
447.450814, 339.000000, 3.903420, 0.092375, D
347.632322, 348.000000, 4.127258, 0.190961, E
529.880527, 500.000000, 4.207950, 0.188912, F
491.827291, 396.000000, 3.315176, 0.073532, G
457.950278, 451.000000, 3.472239, 0.102638, H
208.820299, 449.000000, 10.241157, 1.223144, I
406.703970, 350.000000, 3.842936, 0.086605, J
amount produced, need, avg price, sd, char
 year: 6
342.371209, 392.000000, 4.523418, 0.488924, A
388.581971, 361.000000, 3.736201, 0.124689, B
192.815545, 349.000000, 19.113828, 1.800243, C
447.450814, 339.000000, 3.994928, 0.107058, D
347.632322, 348.000000, 4.404635, 0.186317, E
529.880527, 500.000000, 4.427448, 0.190363, F
491.827291, 396.000000, 3.450314, 0.139585, G
457.950278, 451.000000, 3.566957, 0.070779, H
208.820299, 449.000000, 12.734212, 1.104058, I
406.703970, 350.000000, 3.963348, 0.096091, J
amount produced, need, avg price, sd, char
 year: 7
342.371209, 392.000000, 4.876933, 0.250465, A
388.581971, 361.000000, 3.943399, 0.195874, B
192.815545, 349.000000, 23.950490, 2.680264, C
447.450814, 339.000000, 4.088129, 0.116893, D
347.632322, 348.000000, 4.794410, 0.295046, E
529.880527, 500.000000, 4.582183, 0.174723, F
491.827291, 396.000000, 3.485919, 0.069882, G
457.950278, 451.000000, 3.634512, 0.096140, H
208.820299, 449.000000, 16.328894, 1.753783, I
406.703970, 350.000000, 4.166382, 0.121038, J
amount produced, need, avg price, sd, char
 year: 8
342.371209, 392.000000, 5.139026, 0.224526, A
388.581971, 361.000000, 4.106859, 0.149960, B
192.815545, 349.000000, 31.800149, 5.335244, C
447.450814, 339.000000, 4.190935, 0.101322, D
347.632322, 348.000000, 4.929697, 0.155598, E
529.880527, 500.000000, 4.761000, 0.127744, F
491.827291, 396.000000, 3.611400, 0.080343, G
457.950278, 451.000000, 3.719727, 0.080699, H
208.820299, 449.000000, 21.139656, 1.956436, I
406.703970, 350.000000, 4.200522, 0.077366, J
amount produced, need, avg price, sd, char
 year: 9
342.371209, 392.000000, 5.309703, 0.245838, A
388.581971, 361.000000, 4.283173, 0.132841, B
192.815545, 349.000000, 41.312873, 4.841187, C
447.450814, 339.000000, 4.260042, 0.077372, D
347.632322, 348.000000, 5.167553, 0.176961, E
529.880527, 500.000000, 5.054402, 0.382137, F
491.827291, 396.000000, 3.669718, 0.107444, G
457.950278, 451.000000, 3.868832, 0.145424, H
208.820299, 449.000000, 26.934834, 2.796401, I
406.703970, 350.000000, 4.434287, 0.171734, J
amount produced, need, avg price, sd, char
 year: 10
342.371209, 392.000000, 5.309703, 0.245838, A
388.581971, 361.000000, 4.283173, 0.132841, B
192.815545, 349.000000, 41.312873, 4.841187, C
447.450814, 339.000000, 4.260042, 0.077372, D
347.632322, 348.000000, 5.167553, 0.176961, E
529.880527, 500.000000, 5.054402, 0.382137, F
491.827291, 396.000000, 3.669718, 0.107444, G
457.950278, 451.000000, 3.868832, 0.145424, H
208.820299, 449.000000, 26.934834, 2.796401, I
406.703970, 350.000000, 4.434287, 0.171734, J
amount produced, need, avg price, sd, char
 year: 11
342.371209, 392.000000, 5.522484, 0.197873, A
388.581971, 361.000000, 4.427741, 0.121878, B
192.815545, 349.000000, 51.904642, 6.454636, C
447.450814, 339.000000, 4.327868, 0.090037, D
347.632322, 348.000000, 5.366174, 0.163881, E
529.880527, 500.000000, 5.351899, 0.168684, F
491.827291, 396.000000, 3.684137, 0.089308, G
457.950278, 451.000000, 4.022447, 0.113111, H
208.820299, 449.000000, 34.410342, 2.661191, I
406.703970, 350.000000, 4.581013, 0.107648, J
amount produced, need, avg price, sd, char
 year: 12
342.371209, 392.000000, 5.752793, 0.165530, A
388.581971, 361.000000, 4.647365, 0.109972, B
192.815545, 349.000000, 64.392963, 6.897701, C
447.450814, 339.000000, 4.524838, 0.136042, D
347.632322, 348.000000, 5.762816, 0.163623, E
529.880527, 500.000000, 5.666061, 0.516020, F
491.827291, 396.000000, 3.762387, 0.088672, G
457.950278, 451.000000, 4.190467, 0.120968, H
208.820299, 449.000000, 42.517953, 4.808328, I
406.703970, 350.000000, 4.813216, 0.128190, J
amount produced, need, avg price, sd, char
 year: 13
342.371209, 392.000000, 6.141246, 0.234987, A
388.581971, 361.000000, 4.867453, 0.135956, B
192.815545, 349.000000, 80.201155, 5.919130, C
447.450814, 339.000000, 4.636282, 0.103522, D
347.632322, 348.000000, 6.164725, 0.267290, E
529.880527, 500.000000, 5.943784, 0.152112, F
491.827291, 396.000000, 3.855273, 0.087963, G
457.950278, 451.000000, 4.278239, 0.115469, H
208.820299, 449.000000, 53.154036, 4.054892, I
406.703970, 350.000000, 5.015372, 0.141911, J
amount produced, need, avg price, sd, char
 year: 14
342.371209, 392.000000, 6.560963, 0.300207, A
388.581971, 361.000000, 5.115762, 0.188760, B
192.815545, 349.000000, 99.817422, 12.383179, C
447.450814, 339.000000, 4.820838, 0.110252, D
347.632322, 348.000000, 6.600603, 0.239512, E
529.880527, 500.000000, 6.160246, 0.151859, F
491.827291, 396.000000, 3.919884, 0.112280, G
457.950278, 451.000000, 4.315828, 0.105744, H
208.820299, 449.000000, 66.843731, 5.669847, I
406.703970, 350.000000, 5.235700, 0.128804, J
amount produced, need, avg price, sd, char
 year: 15
342.371209, 392.000000, 6.834489, 0.281389, A
388.581971, 361.000000, 5.352889, 0.167292, B
192.815545, 349.000000, 139.875396, 24.363854, C
447.450814, 339.000000, 4.933619, 0.119428, D
347.632322, 348.000000, 6.919201, 0.243069, E
529.880527, 500.000000, 6.611881, 0.309507, F
491.827291, 396.000000, 3.980911, 0.077141, G
457.950278, 451.000000, 4.488247, 0.131493, H
208.820299, 449.000000, 84.475462, 7.108839, I
406.703970, 350.000000, 5.476022, 0.162519, J
