amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.387918, 3.157405, 1.052074, 2.978407, 9.250000, A
0.387918, 3.193229, 0.893905, 2.978407, 8.850000, A
0.387918, 3.243488, 0.795803, 2.978407, 8.590000, A
0.387918, 3.331857, 0.678343, 2.978407, 8.420000, A
0.387918, 3.435500, 0.629802, 2.978407, 8.280000, A
0.387918, 3.387577, 0.513086, 2.978407, 8.260000, A
0.387918, 3.336168, 0.434722, 2.978407, 8.100000, A
0.387918, 3.239937, 0.353081, 2.978407, 8.030000, A
0.387918, 3.297360, 0.350154, 2.978407, 7.920000, A
0.387918, 3.276146, 0.340797, 2.978407, 7.700000, A
0.387918, 3.221811, 0.309857, 2.978407, 7.650000, A
0.387918, 3.149610, 0.269161, 2.978407, 7.430000, A
0.387918, 3.077824, 0.251098, 2.978407, 7.280000, A
0.387918, 2.992592, 0.237027, 2.978407, 7.310000, A
0.387918, 2.901847, 0.225898, 2.978407, 7.210000, A
0.387918, 2.827927, 0.250132, 2.978407, 7.330000, A
0.387918, 2.778994, 0.241908, 2.978407, 7.220000, A
0.387918, 2.730644, 0.242638, 2.978407, 7.200000, A
0.387918, 2.643308, 0.227181, 2.978407, 7.230000, A
0.387918, 2.560324, 0.212728, 2.978407, 7.260000, A
0.387918, 2.471828, 0.207780, 2.978407, 7.340000, A
0.387918, 2.391510, 0.206053, 2.978407, 7.180000, A
0.387918, 2.392429, 0.201245, 2.978407, 7.230000, A
0.387918, 2.307629, 0.186517, 2.978407, 7.170000, A
0.387918, 2.213488, 0.188307, 2.978407, 7.080000, A
0.387918, 2.140998, 0.193404, 2.978407, 7.150000, A
0.387918, 2.071374, 0.197319, 2.978407, 7.150000, A
0.387918, 2.038401, 0.201675, 2.978407, 7.210000, A
0.387918, 2.021523, 0.198788, 2.978407, 7.040000, A
0.387918, 1.975318, 0.189289, 2.978407, 7.020000, A
0.387918, 1.908364, 0.169771, 2.978407, 7.090000, A
0.387918, 1.867717, 0.166999, 2.978407, 7.140000, A
0.387918, 1.811805, 0.165331, 2.978407, 7.130000, A
0.387918, 1.729076, 0.157342, 2.978407, 7.010000, A
0.387918, 1.668780, 0.158624, 2.978407, 6.980000, A
0.387918, 1.606273, 0.155125, 2.978407, 6.920000, A
0.387918, 1.556961, 0.158662, 2.978407, 7.070000, A
0.387918, 1.519296, 0.154947, 2.978407, 6.980000, A
0.387918, 1.484094, 0.139245, 2.978407, 7.040000, A
0.387918, 1.459647, 0.141091, 2.978407, 7.150000, A
0.387918, 1.408875, 0.154377, 2.978407, 7.140000, A
0.387918, 1.359384, 0.148862, 2.978407, 7.120000, A
0.387918, 1.313238, 0.145205, 2.978407, 7.180000, A
0.387918, 1.278079, 0.147259, 2.978407, 7.090000, A
0.387918, 1.265745, 0.146230, 2.978407, 7.110000, A
0.387918, 1.231211, 0.135661, 2.978407, 7.070000, A
0.387918, 1.191269, 0.119519, 2.978407, 7.070000, A
0.387918, 1.169475, 0.118548, 2.978407, 7.010000, A
0.387918, 1.171093, 0.124720, 2.978407, 6.930000, A
0.387918, 1.136640, 0.119712, 2.978407, 7.060000, A
0.387918, 1.087721, 0.116277, 2.978407, 7.070000, A
0.387918, 1.038360, 0.104008, 2.978407, 7.000000, A
0.387918, 0.999065, 0.104704, 2.978407, 6.920000, A
0.387918, 0.981659, 0.102571, 2.978407, 6.970000, A
0.387918, 0.975992, 0.103350, 2.978407, 6.890000, A
0.387918, 0.955146, 0.103781, 2.978407, 6.890000, A
0.387918, 0.915797, 0.099246, 2.978407, 6.930000, A
0.387918, 0.879301, 0.093588, 2.978407, 7.070000, A
0.387918, 0.829611, 0.088838, 2.978407, 6.930000, A
0.387918, 0.794252, 0.085422, 2.978407, 6.980000, A
0.387918, 0.762380, 0.084568, 2.978407, 6.950000, A
0.387918, 0.758377, 0.083153, 2.978407, 6.990000, A
0.387918, 0.760165, 0.081405, 2.978407, 6.950000, A
0.387918, 0.751024, 0.078980, 2.978407, 6.920000, A
0.387918, 0.731352, 0.078475, 2.978407, 6.900000, A
0.387918, 0.715965, 0.080089, 2.978407, 6.930000, A
0.387918, 0.679596, 0.073960, 2.978407, 6.940000, A
0.387918, 0.642006, 0.070427, 2.978407, 7.070000, A
0.387918, 0.611255, 0.068215, 2.978407, 7.000000, A
0.387918, 0.591252, 0.066306, 2.978407, 6.950000, A
0.387918, 0.580195, 0.073101, 2.978407, 6.920000, A
0.387918, 0.572963, 0.073045, 2.978407, 6.940000, A
0.387918, 0.561866, 0.071641, 2.978407, 6.890000, A
0.387918, 0.548960, 0.064336, 2.978407, 6.890000, A
0.387918, 0.531687, 0.058996, 2.978407, 6.870000, A
0.387918, 0.508597, 0.055330, 2.978407, 7.080000, A
0.387918, 0.488404, 0.050530, 2.978407, 7.000000, A
0.387918, 0.478272, 0.051962, 2.978407, 7.020000, A
0.387918, 0.462845, 0.052689, 2.978407, 7.030000, A
0.387918, 0.449827, 0.051515, 2.978407, 6.910000, A
0.387918, 0.436037, 0.046374, 2.978407, 6.890000, A
0.387918, 0.425889, 0.044701, 2.978407, 6.750000, A
0.387918, 0.412714, 0.044565, 2.978407, 6.680000, A
0.387918, 0.402319, 0.044688, 2.978407, 6.760000, A
0.387918, 0.389329, 0.042948, 2.978407, 6.830000, A
0.387918, 0.376066, 0.040691, 2.978407, 6.970000, A
0.387918, 0.366113, 0.040486, 2.978407, 6.850000, A
0.387918, 0.353867, 0.037037, 2.978407, 7.000000, A
0.387918, 0.342907, 0.035674, 2.978407, 6.990000, A
