amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.044679, 3.032122, 1.086951, 1.912332, 9.250000, B
1.044679, 3.107428, 0.961632, 1.912332, 8.850000, B
1.044679, 3.160758, 0.858036, 1.912332, 8.590000, B
1.044679, 3.082270, 0.691272, 1.912332, 8.420000, B
1.044679, 3.074345, 0.569805, 1.912332, 8.280000, B
1.044679, 3.007790, 0.484805, 1.912332, 8.260000, B
1.044679, 3.012080, 0.431604, 1.912332, 8.100000, B
1.044679, 2.982747, 0.376977, 1.912332, 8.030000, B
1.044679, 3.012130, 0.346375, 1.912332, 7.920000, B
1.044679, 3.108507, 0.325999, 1.912332, 7.700000, B
1.044679, 3.196423, 0.340835, 1.912332, 7.650000, B
1.044679, 3.109012, 0.270275, 1.912332, 7.430000, B
1.044679, 3.032506, 0.232966, 1.912332, 7.280000, B
1.044679, 2.934662, 0.227574, 1.912332, 7.310000, B
1.044679, 2.846139, 0.225896, 1.912332, 7.210000, B
1.044679, 2.759888, 0.224379, 1.912332, 7.330000, B
1.044679, 2.698321, 0.227749, 1.912332, 7.220000, B
1.044679, 2.636859, 0.215334, 1.912332, 7.200000, B
1.044679, 2.580693, 0.225885, 1.912332, 7.230000, B
1.044679, 2.514762, 0.229425, 1.912332, 7.260000, B
1.044679, 2.450035, 0.223584, 1.912332, 7.340000, B
1.044679, 2.399280, 0.231815, 1.912332, 7.180000, B
1.044679, 2.336891, 0.230036, 1.912332, 7.230000, B
1.044679, 2.270411, 0.234720, 1.912332, 7.170000, B
1.044679, 2.207616, 0.237624, 1.912332, 7.080000, B
1.044679, 2.140822, 0.222120, 1.912332, 7.150000, B
1.044679, 2.052091, 0.214044, 1.912332, 7.150000, B
1.044679, 1.994887, 0.213219, 1.912332, 7.210000, B
1.044679, 1.922557, 0.211472, 1.912332, 7.040000, B
1.044679, 1.852621, 0.210848, 1.912332, 7.020000, B
1.044679, 1.810281, 0.213396, 1.912332, 7.090000, B
1.044679, 1.767565, 0.217472, 1.912332, 7.140000, B
1.044679, 1.736528, 0.215833, 1.912332, 7.130000, B
1.044679, 1.715039, 0.208748, 1.912332, 7.010000, B
1.044679, 1.666897, 0.195242, 1.912332, 6.980000, B
1.044679, 1.612480, 0.176298, 1.912332, 6.920000, B
1.044679, 1.566593, 0.162519, 1.912332, 7.070000, B
1.044679, 1.522528, 0.162291, 1.912332, 6.980000, B
1.044679, 1.466175, 0.158756, 1.912332, 7.040000, B
1.044679, 1.387504, 0.146514, 1.912332, 7.150000, B
1.044679, 1.327128, 0.143479, 1.912332, 7.140000, B
1.044679, 1.289911, 0.144364, 1.912332, 7.120000, B
1.044679, 1.261036, 0.144746, 1.912332, 7.180000, B
1.044679, 1.229202, 0.140475, 1.912332, 7.090000, B
1.044679, 1.212127, 0.139701, 1.912332, 7.110000, B
1.044679, 1.199002, 0.126398, 1.912332, 7.070000, B
1.044679, 1.175761, 0.130141, 1.912332, 7.070000, B
1.044679, 1.152844, 0.133492, 1.912332, 7.010000, B
1.044679, 1.128792, 0.128418, 1.912332, 6.930000, B
1.044679, 1.092638, 0.120935, 1.912332, 7.060000, B
1.044679, 1.053954, 0.120105, 1.912332, 7.070000, B
1.044679, 1.016789, 0.114747, 1.912332, 7.000000, B
1.044679, 0.987360, 0.111736, 1.912332, 6.920000, B
1.044679, 0.937822, 0.105378, 1.912332, 6.970000, B
1.044679, 0.904380, 0.101007, 1.912332, 6.890000, B
1.044679, 0.879761, 0.103993, 1.912332, 6.890000, B
1.044679, 0.864808, 0.104613, 1.912332, 6.930000, B
1.044679, 0.850414, 0.103210, 1.912332, 7.070000, B
1.044679, 0.821192, 0.098675, 1.912332, 6.930000, B
1.044679, 0.801930, 0.100888, 1.912332, 6.980000, B
1.044679, 0.777944, 0.094519, 1.912332, 6.950000, B
1.044679, 0.757227, 0.086274, 1.912332, 6.990000, B
1.044679, 0.732229, 0.080045, 1.912332, 6.950000, B
1.044679, 0.721404, 0.083114, 1.912332, 6.920000, B
1.044679, 0.699069, 0.076601, 1.912332, 6.900000, B
1.044679, 0.688281, 0.073041, 1.912332, 6.930000, B
1.044679, 0.672032, 0.072050, 1.912332, 6.940000, B
1.044679, 0.649213, 0.066631, 1.912332, 7.070000, B
1.044679, 0.621033, 0.067292, 1.912332, 7.000000, B
1.044679, 0.597336, 0.069414, 1.912332, 6.950000, B
1.044679, 0.571821, 0.065324, 1.912332, 6.920000, B
1.044679, 0.547373, 0.062436, 1.912332, 6.940000, B
1.044679, 0.529889, 0.063121, 1.912332, 6.890000, B
1.044679, 0.515985, 0.063251, 1.912332, 6.890000, B
1.044679, 0.501502, 0.064545, 1.912332, 6.870000, B
1.044679, 0.485611, 0.060287, 1.912332, 7.080000, B
1.044679, 0.482361, 0.064773, 1.912332, 7.000000, B
1.044679, 0.473798, 0.065465, 1.912332, 7.020000, B
1.044679, 0.455052, 0.058508, 1.912332, 7.030000, B
1.044679, 0.438635, 0.055412, 1.912332, 6.910000, B
