amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.464701, 3.222291, 0.956980, 2.021896, 9.250000, C
1.464701, 3.354384, 0.918393, 2.021896, 8.850000, C
1.464701, 3.321187, 0.760616, 2.021896, 8.590000, C
1.464701, 3.279402, 0.633206, 2.021896, 8.420000, C
1.464701, 3.295903, 0.519471, 2.021896, 8.280000, C
1.464701, 3.279325, 0.442601, 2.021896, 8.260000, C
1.464701, 3.255472, 0.381825, 2.021896, 8.100000, C
1.464701, 3.230364, 0.331951, 2.021896, 8.030000, C
1.464701, 3.244171, 0.338969, 2.021896, 7.920000, C
1.464701, 3.224497, 0.335231, 2.021896, 7.700000, C
1.464701, 3.158072, 0.314100, 2.021896, 7.650000, C
1.464701, 3.112816, 0.293305, 2.021896, 7.430000, C
1.464701, 3.067843, 0.279086, 2.021896, 7.280000, C
1.464701, 2.979494, 0.259796, 2.021896, 7.310000, C
1.464701, 2.887040, 0.257704, 2.021896, 7.210000, C
1.464701, 2.783664, 0.246167, 2.021896, 7.330000, C
1.464701, 2.701515, 0.247117, 2.021896, 7.220000, C
1.464701, 2.619130, 0.249385, 2.021896, 7.200000, C
1.464701, 2.565735, 0.251690, 2.021896, 7.230000, C
1.464701, 2.503204, 0.250848, 2.021896, 7.260000, C
1.464701, 2.445433, 0.245564, 2.021896, 7.340000, C
1.464701, 2.357673, 0.240028, 2.021896, 7.180000, C
1.464701, 2.275925, 0.232651, 2.021896, 7.230000, C
1.464701, 2.224276, 0.233820, 2.021896, 7.170000, C
1.464701, 2.186903, 0.238492, 2.021896, 7.080000, C
1.464701, 2.132976, 0.220843, 2.021896, 7.150000, C
1.464701, 2.074096, 0.218399, 2.021896, 7.150000, C
1.464701, 2.028768, 0.212427, 2.021896, 7.210000, C
1.464701, 1.980674, 0.192791, 2.021896, 7.040000, C
1.464701, 1.919542, 0.191637, 2.021896, 7.020000, C
1.464701, 1.860457, 0.189270, 2.021896, 7.090000, C
1.464701, 1.793196, 0.195921, 2.021896, 7.140000, C
1.464701, 1.730155, 0.197140, 2.021896, 7.130000, C
1.464701, 1.686293, 0.199721, 2.021896, 7.010000, C
1.464701, 1.629737, 0.191749, 2.021896, 6.980000, C
1.464701, 1.582802, 0.176194, 2.021896, 6.920000, C
1.464701, 1.545090, 0.175972, 2.021896, 7.070000, C
1.464701, 1.508848, 0.175561, 2.021896, 6.980000, C
1.464701, 1.483986, 0.168323, 2.021896, 7.040000, C
1.464701, 1.437640, 0.153559, 2.021896, 7.150000, C
1.464701, 1.395893, 0.138602, 2.021896, 7.140000, C
1.464701, 1.359201, 0.130269, 2.021896, 7.120000, C
1.464701, 1.319550, 0.134627, 2.021896, 7.180000, C
1.464701, 1.274010, 0.126485, 2.021896, 7.090000, C
1.464701, 1.232314, 0.122195, 2.021896, 7.110000, C
1.464701, 1.197930, 0.121080, 2.021896, 7.070000, C
1.464701, 1.168129, 0.121970, 2.021896, 7.070000, C
1.464701, 1.138694, 0.118501, 2.021896, 7.010000, C
1.464701, 1.124627, 0.124224, 2.021896, 6.930000, C
1.464701, 1.097761, 0.129994, 2.021896, 7.060000, C
1.464701, 1.071620, 0.129497, 2.021896, 7.070000, C
1.464701, 1.024745, 0.119370, 2.021896, 7.000000, C
1.464701, 0.994207, 0.112276, 2.021896, 6.920000, C
1.464701, 0.954994, 0.109632, 2.021896, 6.970000, C
1.464701, 0.909788, 0.104109, 2.021896, 6.890000, C
1.464701, 0.877960, 0.101208, 2.021896, 6.890000, C
1.464701, 0.858995, 0.098198, 2.021896, 6.930000, C
1.464701, 0.852539, 0.101020, 2.021896, 7.070000, C
1.464701, 0.846260, 0.102506, 2.021896, 6.930000, C
1.464701, 0.817568, 0.098515, 2.021896, 6.980000, C
1.464701, 0.787153, 0.095528, 2.021896, 6.950000, C
1.464701, 0.755727, 0.093462, 2.021896, 6.990000, C
1.464701, 0.720466, 0.089828, 2.021896, 6.950000, C
1.464701, 0.690489, 0.088707, 2.021896, 6.920000, C
1.464701, 0.671603, 0.088027, 2.021896, 6.900000, C
1.464701, 0.661241, 0.089175, 2.021896, 6.930000, C
1.464701, 0.652526, 0.085107, 2.021896, 6.940000, C
1.464701, 0.639093, 0.082203, 2.021896, 7.070000, C
1.464701, 0.620366, 0.074354, 2.021896, 7.000000, C
1.464701, 0.595751, 0.066671, 2.021896, 6.950000, C
1.464701, 0.574183, 0.060601, 2.021896, 6.920000, C
1.464701, 0.555859, 0.058620, 2.021896, 6.940000, C
1.464701, 0.541329, 0.059002, 2.021896, 6.890000, C
1.464701, 0.527008, 0.057563, 2.021896, 6.890000, C
1.464701, 0.508371, 0.057683, 2.021896, 6.870000, C
1.464701, 0.490155, 0.055990, 2.021896, 7.080000, C
1.464701, 0.479929, 0.055527, 2.021896, 7.000000, C
1.464701, 0.477417, 0.056547, 2.021896, 7.020000, C
1.464701, 0.464164, 0.053443, 2.021896, 7.030000, C
1.464701, 0.445277, 0.049814, 2.021896, 6.910000, C
1.464701, 0.427314, 0.046085, 2.021896, 6.890000, C
1.464701, 0.411676, 0.041332, 2.021896, 6.750000, C
1.464701, 0.396522, 0.039867, 2.021896, 6.680000, C
1.464701, 0.387872, 0.040745, 2.021896, 6.760000, C
1.464701, 0.372327, 0.038193, 2.021896, 6.830000, C
1.464701, 0.358781, 0.038091, 2.021896, 6.970000, C
1.464701, 0.348368, 0.038129, 2.021896, 6.850000, C
1.464701, 0.340401, 0.039142, 2.021896, 7.000000, C
1.464701, 0.333014, 0.038424, 2.021896, 6.990000, C
1.464701, 0.329399, 0.038749, 2.021896, 6.930000, C
1.464701, 0.326188, 0.036538, 2.021896, 6.910000, C
1.464701, 0.318444, 0.033732, 2.021896, 6.870000, C
1.464701, 0.306490, 0.033371, 2.021896, 6.870000, C
1.464701, 0.289722, 0.031806, 2.021896, 6.850000, C
1.464701, 0.277846, 0.030155, 2.021896, 6.880000, C
1.464701, 0.267632, 0.030286, 2.021896, 6.850000, C
1.464701, 0.259061, 0.028156, 2.021896, 6.930000, C
1.464701, 0.252875, 0.029270, 2.021896, 6.870000, C
1.464701, 0.248058, 0.027610, 2.021896, 6.910000, C
1.464701, 0.240128, 0.026551, 2.021896, 6.990000, C
