amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.168551, 3.275981, 1.069065, 2.585320, 9.250000, D
1.168551, 3.310740, 0.908588, 2.585320, 8.850000, D
1.168551, 3.319522, 0.740997, 2.585320, 8.590000, D
1.168551, 3.376825, 0.636336, 2.585320, 8.420000, D
1.168551, 3.342827, 0.526516, 2.585320, 8.280000, D
1.168551, 3.343250, 0.465008, 2.585320, 8.260000, D
1.168551, 3.365813, 0.402380, 2.585320, 8.100000, D
1.168551, 3.354043, 0.340908, 2.585320, 8.030000, D
1.168551, 3.308857, 0.296414, 2.585320, 7.920000, D
1.168551, 3.247775, 0.257982, 2.585320, 7.700000, D
1.168551, 3.151262, 0.240625, 2.585320, 7.650000, D
1.168551, 3.126014, 0.254062, 2.585320, 7.430000, D
1.168551, 3.049733, 0.263305, 2.585320, 7.280000, D
1.168551, 2.954837, 0.265856, 2.585320, 7.310000, D
1.168551, 2.871678, 0.266448, 2.585320, 7.210000, D
1.168551, 2.781384, 0.252343, 2.585320, 7.330000, D
1.168551, 2.674667, 0.236163, 2.585320, 7.220000, D
1.168551, 2.592281, 0.237009, 2.585320, 7.200000, D
1.168551, 2.542066, 0.229169, 2.585320, 7.230000, D
1.168551, 2.516143, 0.234125, 2.585320, 7.260000, D
1.168551, 2.472052, 0.235726, 2.585320, 7.340000, D
1.168551, 2.430590, 0.227444, 2.585320, 7.180000, D
1.168551, 2.349636, 0.219461, 2.585320, 7.230000, D
1.168551, 2.247753, 0.203772, 2.585320, 7.170000, D
1.168551, 2.193160, 0.209419, 2.585320, 7.080000, D
1.168551, 2.148818, 0.203341, 2.585320, 7.150000, D
1.168551, 2.105262, 0.210832, 2.585320, 7.150000, D
1.168551, 2.047180, 0.206459, 2.585320, 7.210000, D
1.168551, 1.978679, 0.198630, 2.585320, 7.040000, D
1.168551, 1.946305, 0.192946, 2.585320, 7.020000, D
1.168551, 1.862377, 0.182221, 2.585320, 7.090000, D
1.168551, 1.795112, 0.178121, 2.585320, 7.140000, D
1.168551, 1.732166, 0.185190, 2.585320, 7.130000, D
1.168551, 1.706887, 0.180655, 2.585320, 7.010000, D
1.168551, 1.657586, 0.174878, 2.585320, 6.980000, D
1.168551, 1.615924, 0.167833, 2.585320, 6.920000, D
1.168551, 1.585303, 0.171567, 2.585320, 7.070000, D
1.168551, 1.538265, 0.155478, 2.585320, 6.980000, D
1.168551, 1.485541, 0.148742, 2.585320, 7.040000, D
1.168551, 1.423144, 0.134376, 2.585320, 7.150000, D
1.168551, 1.377870, 0.137915, 2.585320, 7.140000, D
1.168551, 1.347047, 0.142217, 2.585320, 7.120000, D
1.168551, 1.335563, 0.138396, 2.585320, 7.180000, D
1.168551, 1.343370, 0.132420, 2.585320, 7.090000, D
1.168551, 1.306538, 0.123548, 2.585320, 7.110000, D
1.168551, 1.276907, 0.109594, 2.585320, 7.070000, D
1.168551, 1.213543, 0.105478, 2.585320, 7.070000, D
1.168551, 1.163129, 0.109655, 2.585320, 7.010000, D
1.168551, 1.114190, 0.110889, 2.585320, 6.930000, D
1.168551, 1.063709, 0.111989, 2.585320, 7.060000, D
1.168551, 1.027771, 0.109973, 2.585320, 7.070000, D
1.168551, 1.013255, 0.114832, 2.585320, 7.000000, D
1.168551, 0.997453, 0.109776, 2.585320, 6.920000, D
1.168551, 0.982918, 0.103917, 2.585320, 6.970000, D
1.168551, 0.960110, 0.096194, 2.585320, 6.890000, D
1.168551, 0.937084, 0.090401, 2.585320, 6.890000, D
1.168551, 0.906139, 0.086373, 2.585320, 6.930000, D
1.168551, 0.876806, 0.079704, 2.585320, 7.070000, D
1.168551, 0.855712, 0.079498, 2.585320, 6.930000, D
1.168551, 0.845756, 0.075556, 2.585320, 6.980000, D
1.168551, 0.808439, 0.072742, 2.585320, 6.950000, D
1.168551, 0.777166, 0.071687, 2.585320, 6.990000, D
1.168551, 0.760592, 0.072277, 2.585320, 6.950000, D
1.168551, 0.734659, 0.073114, 2.585320, 6.920000, D
1.168551, 0.703762, 0.071752, 2.585320, 6.900000, D
1.168551, 0.679560, 0.076003, 2.585320, 6.930000, D
1.168551, 0.658248, 0.075026, 2.585320, 6.940000, D
1.168551, 0.637705, 0.069399, 2.585320, 7.070000, D
1.168551, 0.618725, 0.067725, 2.585320, 7.000000, D
1.168551, 0.609121, 0.065307, 2.585320, 6.950000, D
1.168551, 0.603075, 0.069633, 2.585320, 6.920000, D
1.168551, 0.585823, 0.068987, 2.585320, 6.940000, D
1.168551, 0.569268, 0.064092, 2.585320, 6.890000, D
1.168551, 0.555387, 0.060156, 2.585320, 6.890000, D
1.168551, 0.532459, 0.056261, 2.585320, 6.870000, D
1.168551, 0.507524, 0.053428, 2.585320, 7.080000, D
1.168551, 0.482542, 0.051670, 2.585320, 7.000000, D
1.168551, 0.465803, 0.053289, 2.585320, 7.020000, D
1.168551, 0.448625, 0.050244, 2.585320, 7.030000, D
1.168551, 0.435175, 0.045670, 2.585320, 6.910000, D
1.168551, 0.437093, 0.046459, 2.585320, 6.890000, D
1.168551, 0.427460, 0.044438, 2.585320, 6.750000, D
1.168551, 0.411223, 0.041699, 2.585320, 6.680000, D
1.168551, 0.396660, 0.043405, 2.585320, 6.760000, D
1.168551, 0.383450, 0.042372, 2.585320, 6.830000, D
1.168551, 0.374329, 0.040969, 2.585320, 6.970000, D
1.168551, 0.359938, 0.039847, 2.585320, 6.850000, D
1.168551, 0.345989, 0.037368, 2.585320, 7.000000, D
1.168551, 0.336843, 0.037345, 2.585320, 6.990000, D
1.168551, 0.331667, 0.037688, 2.585320, 6.930000, D
1.168551, 0.325242, 0.036807, 2.585320, 6.910000, D
1.168551, 0.317244, 0.033184, 2.585320, 6.870000, D
1.168551, 0.309767, 0.031609, 2.585320, 6.870000, D
1.168551, 0.297734, 0.030526, 2.585320, 6.850000, D
1.168551, 0.280947, 0.028239, 2.585320, 6.880000, D
1.168551, 0.264787, 0.028177, 2.585320, 6.850000, D
1.168551, 0.253182, 0.027904, 2.585320, 6.930000, D
1.168551, 0.244202, 0.028244, 2.585320, 6.870000, D
1.168551, 0.235722, 0.027471, 2.585320, 6.910000, D
1.168551, 0.237159, 0.028916, 2.585320, 6.990000, D
