amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.127113, 3.235321, 1.078733, 2.509260, 9.250000, E
1.127113, 3.238055, 0.893208, 2.509260, 8.850000, E
1.127113, 3.234670, 0.760883, 2.509260, 8.590000, E
1.127113, 3.254029, 0.641086, 2.509260, 8.420000, E
1.127113, 3.311643, 0.592481, 2.509260, 8.280000, E
1.127113, 3.397291, 0.533384, 2.509260, 8.260000, E
1.127113, 3.409219, 0.463163, 2.509260, 8.100000, E
1.127113, 3.327436, 0.387648, 2.509260, 8.030000, E
1.127113, 3.246705, 0.339293, 2.509260, 7.920000, E
1.127113, 3.170400, 0.302287, 2.509260, 7.700000, E
1.127113, 3.126890, 0.297577, 2.509260, 7.650000, E
1.127113, 3.052646, 0.300206, 2.509260, 7.430000, E
1.127113, 2.980379, 0.272936, 2.509260, 7.280000, E
1.127113, 2.933345, 0.279775, 2.509260, 7.310000, E
1.127113, 2.858323, 0.275520, 2.509260, 7.210000, E
1.127113, 2.796063, 0.267460, 2.509260, 7.330000, E
1.127113, 2.731173, 0.255982, 2.509260, 7.220000, E
1.127113, 2.656762, 0.246051, 2.509260, 7.200000, E
1.127113, 2.615689, 0.255160, 2.509260, 7.230000, E
1.127113, 2.527328, 0.235745, 2.509260, 7.260000, E
1.127113, 2.455972, 0.221140, 2.509260, 7.340000, E
1.127113, 2.397434, 0.213341, 2.509260, 7.180000, E
1.127113, 2.305423, 0.192129, 2.509260, 7.230000, E
1.127113, 2.243716, 0.207889, 2.509260, 7.170000, E
1.127113, 2.188754, 0.202305, 2.509260, 7.080000, E
1.127113, 2.152766, 0.205243, 2.509260, 7.150000, E
1.127113, 2.133343, 0.203798, 2.509260, 7.150000, E
1.127113, 2.089874, 0.188501, 2.509260, 7.210000, E
1.127113, 2.013883, 0.164330, 2.509260, 7.040000, E
1.127113, 1.940079, 0.167260, 2.509260, 7.020000, E
1.127113, 1.894468, 0.181793, 2.509260, 7.090000, E
1.127113, 1.849849, 0.193812, 2.509260, 7.140000, E
1.127113, 1.780249, 0.195071, 2.509260, 7.130000, E
1.127113, 1.726606, 0.190151, 2.509260, 7.010000, E
1.127113, 1.660277, 0.193686, 2.509260, 6.980000, E
1.127113, 1.589270, 0.175524, 2.509260, 6.920000, E
1.127113, 1.534635, 0.166012, 2.509260, 7.070000, E
1.127113, 1.493624, 0.151535, 2.509260, 6.980000, E
1.127113, 1.478237, 0.142441, 2.509260, 7.040000, E
1.127113, 1.480094, 0.126327, 2.509260, 7.150000, E
1.127113, 1.440216, 0.118864, 2.509260, 7.140000, E
1.127113, 1.400249, 0.118240, 2.509260, 7.120000, E
1.127113, 1.358219, 0.116700, 2.509260, 7.180000, E
1.127113, 1.293938, 0.118743, 2.509260, 7.090000, E
1.127113, 1.247064, 0.124422, 2.509260, 7.110000, E
1.127113, 1.197645, 0.119733, 2.509260, 7.070000, E
1.127113, 1.174416, 0.127339, 2.509260, 7.070000, E
1.127113, 1.155509, 0.130886, 2.509260, 7.010000, E
1.127113, 1.136664, 0.128482, 2.509260, 6.930000, E
