amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.671035, 3.177690, 1.039077, 4.986297, 9.250000, F
0.671035, 3.298768, 0.913039, 4.986297, 8.850000, F
0.671035, 3.389977, 0.784867, 4.986297, 8.590000, F
0.671035, 3.420397, 0.677912, 4.986297, 8.420000, F
0.671035, 3.454857, 0.580045, 4.986297, 8.280000, F
0.671035, 3.463110, 0.486459, 4.986297, 8.260000, F
0.671035, 3.550504, 0.430436, 4.986297, 8.100000, F
0.671035, 3.462345, 0.356316, 4.986297, 8.030000, F
0.671035, 3.378288, 0.327227, 4.986297, 7.920000, F
0.671035, 3.325254, 0.307789, 4.986297, 7.700000, F
0.671035, 3.303614, 0.295542, 4.986297, 7.650000, F
0.671035, 3.239723, 0.281980, 4.986297, 7.430000, F
0.671035, 3.155024, 0.251457, 4.986297, 7.280000, F
0.671035, 3.056803, 0.233142, 4.986297, 7.310000, F
0.671035, 2.987331, 0.223967, 4.986297, 7.210000, F
0.671035, 2.964479, 0.237187, 4.986297, 7.330000, F
0.671035, 2.827770, 0.208534, 4.986297, 7.220000, F
0.671035, 2.719064, 0.212938, 4.986297, 7.200000, F
0.671035, 2.660118, 0.214591, 4.986297, 7.230000, F
0.671035, 2.619355, 0.214461, 4.986297, 7.260000, F
0.671035, 2.594128, 0.210489, 4.986297, 7.340000, F
0.671035, 2.512370, 0.199734, 4.986297, 7.180000, F
0.671035, 2.415327, 0.184879, 4.986297, 7.230000, F
0.671035, 2.378188, 0.197342, 4.986297, 7.170000, F
0.671035, 2.282893, 0.190266, 4.986297, 7.080000, F
0.671035, 2.229049, 0.190638, 4.986297, 7.150000, F
0.671035, 2.182573, 0.187244, 4.986297, 7.150000, F
0.671035, 2.123720, 0.197576, 4.986297, 7.210000, F
0.671035, 2.061551, 0.189493, 4.986297, 7.040000, F
0.671035, 1.993335, 0.191489, 4.986297, 7.020000, F
0.671035, 1.972141, 0.194893, 4.986297, 7.090000, F
0.671035, 1.910862, 0.188832, 4.986297, 7.140000, F
0.671035, 1.863970, 0.188111, 4.986297, 7.130000, F
0.671035, 1.771551, 0.167044, 4.986297, 7.010000, F
0.671035, 1.717941, 0.165067, 4.986297, 6.980000, F
0.671035, 1.664675, 0.160346, 4.986297, 6.920000, F
0.671035, 1.632523, 0.154901, 4.986297, 7.070000, F
0.671035, 1.606795, 0.149455, 4.986297, 6.980000, F
0.671035, 1.550375, 0.147316, 4.986297, 7.040000, F
0.671035, 1.482486, 0.135820, 4.986297, 7.150000, F
0.671035, 1.444174, 0.141480, 4.986297, 7.140000, F
0.671035, 1.402524, 0.132798, 4.986297, 7.120000, F
0.671035, 1.386315, 0.133005, 4.986297, 7.180000, F
0.671035, 1.372504, 0.134141, 4.986297, 7.090000, F
0.671035, 1.317786, 0.132139, 4.986297, 7.110000, F
0.671035, 1.277082, 0.117824, 4.986297, 7.070000, F
0.671035, 1.241181, 0.111024, 4.986297, 7.070000, F
0.671035, 1.227132, 0.120793, 4.986297, 7.010000, F
0.671035, 1.176815, 0.111993, 4.986297, 6.930000, F
0.671035, 1.122746, 0.106610, 4.986297, 7.060000, F
0.671035, 1.085671, 0.104479, 4.986297, 7.070000, F
0.671035, 1.062045, 0.102500, 4.986297, 7.000000, F
0.671035, 1.044308, 0.096394, 4.986297, 6.920000, F
0.671035, 1.021812, 0.095657, 4.986297, 6.970000, F
0.671035, 0.993692, 0.091341, 4.986297, 6.890000, F
0.671035, 0.944267, 0.084047, 4.986297, 6.890000, F
0.671035, 0.901846, 0.081593, 4.986297, 6.930000, F
0.671035, 0.891809, 0.080196, 4.986297, 7.070000, F
0.671035, 0.882723, 0.078474, 4.986297, 6.930000, F
0.671035, 0.849583, 0.070831, 4.986297, 6.980000, F
0.671035, 0.817765, 0.069256, 4.986297, 6.950000, F
0.671035, 0.809114, 0.072509, 4.986297, 6.990000, F
0.671035, 0.777832, 0.072301, 4.986297, 6.950000, F
0.671035, 0.758284, 0.071277, 4.986297, 6.920000, F
0.671035, 0.742127, 0.068510, 4.986297, 6.900000, F
0.671035, 0.707921, 0.065775, 4.986297, 6.930000, F
0.671035, 0.690784, 0.070562, 4.986297, 6.940000, F
0.671035, 0.660004, 0.064451, 4.986297, 7.070000, F
0.671035, 0.648284, 0.067116, 4.986297, 7.000000, F
0.671035, 0.628039, 0.062890, 4.986297, 6.950000, F
0.671035, 0.610490, 0.063078, 4.986297, 6.920000, F
0.671035, 0.599556, 0.066435, 4.986297, 6.940000, F
0.671035, 0.587169, 0.061276, 4.986297, 6.890000, F
0.671035, 0.565913, 0.057046, 4.986297, 6.890000, F
0.671035, 0.540259, 0.054687, 4.986297, 6.870000, F
0.671035, 0.515893, 0.052176, 4.986297, 7.080000, F
0.671035, 0.498772, 0.052001, 4.986297, 7.000000, F
0.671035, 0.489105, 0.049808, 4.986297, 7.020000, F
0.671035, 0.475289, 0.049696, 4.986297, 7.030000, F
0.671035, 0.459877, 0.045694, 4.986297, 6.910000, F
0.671035, 0.447427, 0.045651, 4.986297, 6.890000, F
0.671035, 0.427525, 0.042305, 4.986297, 6.750000, F
0.671035, 0.416696, 0.041142, 4.986297, 6.680000, F
0.671035, 0.410179, 0.038816, 4.986297, 6.760000, F
0.671035, 0.413563, 0.041434, 4.986297, 6.830000, F
0.671035, 0.392284, 0.037935, 4.986297, 6.970000, F
0.671035, 0.372074, 0.036803, 4.986297, 6.850000, F
0.671035, 0.356583, 0.036447, 4.986297, 7.000000, F
0.671035, 0.342185, 0.036216, 4.986297, 6.990000, F
0.671035, 0.337791, 0.036087, 4.986297, 6.930000, F
0.671035, 0.334612, 0.037898, 4.986297, 6.910000, F
0.671035, 0.321367, 0.034671, 4.986297, 6.870000, F
0.671035, 0.312173, 0.032481, 4.986297, 6.870000, F
0.671035, 0.301703, 0.030781, 4.986297, 6.850000, F
0.671035, 0.292944, 0.030802, 4.986297, 6.880000, F
0.671035, 0.283018, 0.028976, 4.986297, 6.850000, F
0.671035, 0.276100, 0.029154, 4.986297, 6.930000, F
