amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.772478, 3.129325, 1.006092, 2.632789, 9.250000, G
0.772478, 3.213412, 0.887818, 2.632789, 8.850000, G
0.772478, 3.180881, 0.706138, 2.632789, 8.590000, G
0.772478, 3.198176, 0.598764, 2.632789, 8.420000, G
0.772478, 3.228604, 0.527901, 2.632789, 8.280000, G
0.772478, 3.286213, 0.459062, 2.632789, 8.260000, G
0.772478, 3.363365, 0.396371, 2.632789, 8.100000, G
0.772478, 3.429017, 0.393744, 2.632789, 8.030000, G
0.772478, 3.367138, 0.365105, 2.632789, 7.920000, G
0.772478, 3.284126, 0.318690, 2.632789, 7.700000, G
0.772478, 3.155504, 0.294613, 2.632789, 7.650000, G
0.772478, 3.038956, 0.274105, 2.632789, 7.430000, G
0.772478, 2.954241, 0.270033, 2.632789, 7.280000, G
0.772478, 2.925908, 0.270121, 2.632789, 7.310000, G
0.772478, 2.883786, 0.271669, 2.632789, 7.210000, G
0.772478, 2.825253, 0.248714, 2.632789, 7.330000, G
0.772478, 2.759028, 0.251321, 2.632789, 7.220000, G
0.772478, 2.707410, 0.241953, 2.632789, 7.200000, G
0.772478, 2.631361, 0.245417, 2.632789, 7.230000, G
0.772478, 2.544659, 0.242690, 2.632789, 7.260000, G
0.772478, 2.447230, 0.224152, 2.632789, 7.340000, G
0.772478, 2.371468, 0.213261, 2.632789, 7.180000, G
0.772478, 2.311201, 0.209779, 2.632789, 7.230000, G
0.772478, 2.251076, 0.205850, 2.632789, 7.170000, G
0.772478, 2.222481, 0.205676, 2.632789, 7.080000, G
0.772478, 2.198998, 0.208041, 2.632789, 7.150000, G
0.772478, 2.155276, 0.186735, 2.632789, 7.150000, G
0.772478, 2.084442, 0.175832, 2.632789, 7.210000, G
0.772478, 1.982640, 0.164158, 2.632789, 7.040000, G
0.772478, 1.905905, 0.166869, 2.632789, 7.020000, G
0.772478, 1.895758, 0.168103, 2.632789, 7.090000, G
0.772478, 1.858112, 0.180210, 2.632789, 7.140000, G
0.772478, 1.809290, 0.184968, 2.632789, 7.130000, G
0.772478, 1.771599, 0.178746, 2.632789, 7.010000, G
0.772478, 1.717775, 0.171346, 2.632789, 6.980000, G
0.772478, 1.632539, 0.158927, 2.632789, 6.920000, G
0.772478, 1.562295, 0.149084, 2.632789, 7.070000, G
0.772478, 1.484965, 0.151602, 2.632789, 6.980000, G
0.772478, 1.443847, 0.155140, 2.632789, 7.040000, G
0.772478, 1.426720, 0.147268, 2.632789, 7.150000, G
0.772478, 1.413081, 0.150806, 2.632789, 7.140000, G
0.772478, 1.398498, 0.151305, 2.632789, 7.120000, G
0.772478, 1.352589, 0.135759, 2.632789, 7.180000, G
0.772478, 1.315104, 0.126290, 2.632789, 7.090000, G
0.772478, 1.287805, 0.128388, 2.632789, 7.110000, G
0.772478, 1.246932, 0.126282, 2.632789, 7.070000, G
0.772478, 1.198538, 0.120152, 2.632789, 7.070000, G
0.772478, 1.166223, 0.129365, 2.632789, 7.010000, G
0.772478, 1.127918, 0.128208, 2.632789, 6.930000, G
0.772478, 1.111117, 0.121049, 2.632789, 7.060000, G
0.772478, 1.095367, 0.115546, 2.632789, 7.070000, G
0.772478, 1.046888, 0.109163, 2.632789, 7.000000, G
0.772478, 1.022366, 0.102314, 2.632789, 6.920000, G
0.772478, 0.982084, 0.099050, 2.632789, 6.970000, G
0.772478, 0.938388, 0.097084, 2.632789, 6.890000, G
0.772478, 0.898575, 0.096882, 2.632789, 6.890000, G
0.772478, 0.888832, 0.098349, 2.632789, 6.930000, G
0.772478, 0.874575, 0.098470, 2.632789, 7.070000, G
0.772478, 0.853094, 0.093875, 2.632789, 6.930000, G
0.772478, 0.826041, 0.090904, 2.632789, 6.980000, G
0.772478, 0.797012, 0.087841, 2.632789, 6.950000, G
0.772478, 0.776144, 0.086841, 2.632789, 6.990000, G
0.772478, 0.740739, 0.080936, 2.632789, 6.950000, G
0.772478, 0.717512, 0.086680, 2.632789, 6.920000, G
0.772478, 0.698820, 0.091285, 2.632789, 6.900000, G
0.772478, 0.676151, 0.085443, 2.632789, 6.930000, G
0.772478, 0.654724, 0.078381, 2.632789, 6.940000, G
0.772478, 0.643430, 0.073772, 2.632789, 7.070000, G
0.772478, 0.628314, 0.074747, 2.632789, 7.000000, G
0.772478, 0.612677, 0.070289, 2.632789, 6.950000, G
0.772478, 0.592968, 0.067365, 2.632789, 6.920000, G
0.772478, 0.578032, 0.064775, 2.632789, 6.940000, G
0.772478, 0.563079, 0.062330, 2.632789, 6.890000, G
0.772478, 0.549854, 0.059346, 2.632789, 6.890000, G
0.772478, 0.531702, 0.051645, 2.632789, 6.870000, G
0.772478, 0.510274, 0.046500, 2.632789, 7.080000, G
0.772478, 0.497837, 0.047981, 2.632789, 7.000000, G
0.772478, 0.478210, 0.049295, 2.632789, 7.020000, G
0.772478, 0.467372, 0.050949, 2.632789, 7.030000, G
0.772478, 0.448293, 0.046728, 2.632789, 6.910000, G
0.772478, 0.430225, 0.045055, 2.632789, 6.890000, G
0.772478, 0.415181, 0.044358, 2.632789, 6.750000, G
0.772478, 0.399032, 0.043876, 2.632789, 6.680000, G
0.772478, 0.393581, 0.046863, 2.632789, 6.760000, G
0.772478, 0.379721, 0.042773, 2.632789, 6.830000, G
0.772478, 0.372771, 0.043734, 2.632789, 6.970000, G
