amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.516535, 3.133444, 1.143562, 4.087576, 9.250000, H
0.516535, 3.287404, 1.060257, 4.087576, 8.850000, H
0.516535, 3.356998, 0.951577, 4.087576, 8.590000, H
0.516535, 3.348781, 0.782816, 4.087576, 8.420000, H
0.516535, 3.352787, 0.665936, 4.087576, 8.280000, H
0.516535, 3.353391, 0.552692, 4.087576, 8.260000, H
0.516535, 3.360886, 0.465174, 4.087576, 8.100000, H
0.516535, 3.420444, 0.420417, 4.087576, 8.030000, H
0.516535, 3.393952, 0.374405, 4.087576, 7.920000, H
0.516535, 3.291695, 0.341585, 4.087576, 7.700000, H
0.516535, 3.218755, 0.307726, 4.087576, 7.650000, H
0.516535, 3.149876, 0.300643, 4.087576, 7.430000, H
0.516535, 3.068774, 0.274275, 4.087576, 7.280000, H
0.516535, 3.008106, 0.261829, 4.087576, 7.310000, H
0.516535, 2.988564, 0.258840, 4.087576, 7.210000, H
0.516535, 2.907972, 0.221182, 4.087576, 7.330000, H
0.516535, 2.842795, 0.207205, 4.087576, 7.220000, H
0.516535, 2.757090, 0.202284, 4.087576, 7.200000, H
0.516535, 2.651674, 0.200899, 4.087576, 7.230000, H
0.516535, 2.549507, 0.193656, 4.087576, 7.260000, H
0.516535, 2.476009, 0.200786, 4.087576, 7.340000, H
0.516535, 2.428970, 0.202776, 4.087576, 7.180000, H
0.516535, 2.402901, 0.216037, 4.087576, 7.230000, H
0.516535, 2.385073, 0.211889, 4.087576, 7.170000, H
0.516535, 2.300031, 0.195033, 4.087576, 7.080000, H
0.516535, 2.232726, 0.178415, 4.087576, 7.150000, H
0.516535, 2.133352, 0.179623, 4.087576, 7.150000, H
0.516535, 2.074412, 0.177314, 4.087576, 7.210000, H
0.516535, 2.044384, 0.180261, 4.087576, 7.040000, H
0.516535, 1.994722, 0.184378, 4.087576, 7.020000, H
0.516535, 1.929204, 0.166427, 4.087576, 7.090000, H
0.516535, 1.856739, 0.159782, 4.087576, 7.140000, H
0.516535, 1.808023, 0.169582, 4.087576, 7.130000, H
0.516535, 1.769302, 0.169733, 4.087576, 7.010000, H
0.516535, 1.728446, 0.168913, 4.087576, 6.980000, H
0.516535, 1.664916, 0.160652, 4.087576, 6.920000, H
0.516535, 1.602987, 0.161073, 4.087576, 7.070000, H
0.516535, 1.544343, 0.141415, 4.087576, 6.980000, H
0.516535, 1.505815, 0.150364, 4.087576, 7.040000, H
0.516535, 1.468349, 0.144865, 4.087576, 7.150000, H
0.516535, 1.428819, 0.140509, 4.087576, 7.140000, H
0.516535, 1.387410, 0.138049, 4.087576, 7.120000, H
0.516535, 1.361483, 0.138556, 4.087576, 7.180000, H
0.516535, 1.348455, 0.139395, 4.087576, 7.090000, H
0.516535, 1.309687, 0.124689, 4.087576, 7.110000, H
0.516535, 1.272303, 0.120066, 4.087576, 7.070000, H
0.516535, 1.251672, 0.117003, 4.087576, 7.070000, H
0.516535, 1.187573, 0.110071, 4.087576, 7.010000, H
0.516535, 1.137728, 0.109998, 4.087576, 6.930000, H
0.516535, 1.087929, 0.110348, 4.087576, 7.060000, H
0.516535, 1.051647, 0.107540, 4.087576, 7.070000, H
0.516535, 1.061490, 0.104965, 4.087576, 7.000000, H
0.516535, 1.050311, 0.102489, 4.087576, 6.920000, H
0.516535, 1.003281, 0.090705, 4.087576, 6.970000, H
0.516535, 0.977715, 0.088933, 4.087576, 6.890000, H
0.516535, 0.958428, 0.089206, 4.087576, 6.890000, H
0.516535, 0.932045, 0.078047, 4.087576, 6.930000, H
0.516535, 0.895067, 0.070925, 4.087576, 7.070000, H
0.516535, 0.873627, 0.073006, 4.087576, 6.930000, H
0.516535, 0.845546, 0.073482, 4.087576, 6.980000, H
0.516535, 0.808713, 0.071366, 4.087576, 6.950000, H
0.516535, 0.784980, 0.067053, 4.087576, 6.990000, H
0.516535, 0.779619, 0.072048, 4.087576, 6.950000, H
0.516535, 0.765207, 0.071871, 4.087576, 6.920000, H
0.516535, 0.730047, 0.067988, 4.087576, 6.900000, H
0.516535, 0.696800, 0.070565, 4.087576, 6.930000, H
0.516535, 0.664600, 0.070950, 4.087576, 6.940000, H
0.516535, 0.650348, 0.071353, 4.087576, 7.070000, H
0.516535, 0.651807, 0.072025, 4.087576, 7.000000, H
0.516535, 0.644897, 0.063720, 4.087576, 6.950000, H
0.516535, 0.620956, 0.056353, 4.087576, 6.920000, H
0.516535, 0.587086, 0.054693, 4.087576, 6.940000, H
0.516535, 0.556548, 0.049705, 4.087576, 6.890000, H
0.516535, 0.534088, 0.049299, 4.087576, 6.890000, H
0.516535, 0.522250, 0.054791, 4.087576, 6.870000, H
0.516535, 0.521324, 0.054994, 4.087576, 7.080000, H
0.516535, 0.514254, 0.050412, 4.087576, 7.000000, H
0.516535, 0.492095, 0.047816, 4.087576, 7.020000, H
0.516535, 0.476081, 0.046787, 4.087576, 7.030000, H
0.516535, 0.457667, 0.044480, 4.087576, 6.910000, H
0.516535, 0.440537, 0.042866, 4.087576, 6.890000, H
0.516535, 0.439391, 0.043181, 4.087576, 6.750000, H
0.516535, 0.428579, 0.038090, 4.087576, 6.680000, H
0.516535, 0.408090, 0.035466, 4.087576, 6.760000, H
0.516535, 0.385400, 0.034218, 4.087576, 6.830000, H
0.516535, 0.369201, 0.034349, 4.087576, 6.970000, H
0.516535, 0.357202, 0.035568, 4.087576, 6.850000, H
0.516535, 0.354799, 0.037470, 4.087576, 7.000000, H
0.516535, 0.350369, 0.037637, 4.087576, 6.990000, H
0.516535, 0.350247, 0.035813, 4.087576, 6.930000, H
0.516535, 0.334937, 0.032958, 4.087576, 6.910000, H
0.516535, 0.318943, 0.032090, 4.087576, 6.870000, H
0.516535, 0.302864, 0.030189, 4.087576, 6.870000, H
0.516535, 0.290534, 0.030031, 4.087576, 6.850000, H
0.516535, 0.287171, 0.030558, 4.087576, 6.880000, H
0.516535, 0.283777, 0.029676, 4.087576, 6.850000, H
0.516535, 0.278496, 0.027209, 4.087576, 6.930000, H
0.516535, 0.267230, 0.024043, 4.087576, 6.870000, H
0.516535, 0.259314, 0.023000, 4.087576, 6.910000, H
0.516535, 0.247892, 0.023084, 4.087576, 6.990000, H
