amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.637623, 3.076140, 1.017886, 4.042147, 9.250000, I
0.637623, 3.260790, 0.977843, 4.042147, 8.850000, I
0.637623, 3.441225, 0.900092, 4.042147, 8.590000, I
0.637623, 3.502893, 0.779876, 4.042147, 8.420000, I
0.637623, 3.521427, 0.658912, 4.042147, 8.280000, I
0.637623, 3.418943, 0.516735, 4.042147, 8.260000, I
0.637623, 3.330967, 0.429004, 4.042147, 8.100000, I
0.637623, 3.345314, 0.387921, 4.042147, 8.030000, I
0.637623, 3.363039, 0.346666, 4.042147, 7.920000, I
0.637623, 3.325328, 0.321593, 4.042147, 7.700000, I
0.637623, 3.298859, 0.305578, 4.042147, 7.650000, I
0.637623, 3.239751, 0.287456, 4.042147, 7.430000, I
0.637623, 3.128540, 0.257833, 4.042147, 7.280000, I
0.637623, 3.053769, 0.277269, 4.042147, 7.310000, I
0.637623, 2.973216, 0.246238, 4.042147, 7.210000, I
0.637623, 2.897887, 0.225693, 4.042147, 7.330000, I
0.637623, 2.859185, 0.256770, 4.042147, 7.220000, I
0.637623, 2.764116, 0.244071, 4.042147, 7.200000, I
0.637623, 2.744320, 0.247243, 4.042147, 7.230000, I
0.637623, 2.614339, 0.234827, 4.042147, 7.260000, I
0.637623, 2.480943, 0.222515, 4.042147, 7.340000, I
0.637623, 2.402906, 0.224425, 4.042147, 7.180000, I
0.637623, 2.359288, 0.224565, 4.042147, 7.230000, I
0.637623, 2.332659, 0.225470, 4.042147, 7.170000, I
0.637623, 2.296665, 0.211962, 4.042147, 7.080000, I
0.637623, 2.216516, 0.195245, 4.042147, 7.150000, I
0.637623, 2.141548, 0.182577, 4.042147, 7.150000, I
0.637623, 2.100180, 0.200583, 4.042147, 7.210000, I
0.637623, 2.049314, 0.197747, 4.042147, 7.040000, I
0.637623, 1.972861, 0.195695, 4.042147, 7.020000, I
0.637623, 1.928617, 0.183667, 4.042147, 7.090000, I
0.637623, 1.894444, 0.180881, 4.042147, 7.140000, I
0.637623, 1.827184, 0.165832, 4.042147, 7.130000, I
0.637623, 1.777363, 0.152859, 4.042147, 7.010000, I
0.637623, 1.738958, 0.150493, 4.042147, 6.980000, I
0.637623, 1.674827, 0.148515, 4.042147, 6.920000, I
0.637623, 1.601995, 0.149349, 4.042147, 7.070000, I
0.637623, 1.559000, 0.146945, 4.042147, 6.980000, I
0.637623, 1.520302, 0.153201, 4.042147, 7.040000, I
0.637623, 1.474886, 0.145005, 4.042147, 7.150000, I
0.637623, 1.458474, 0.141409, 4.042147, 7.140000, I
0.637623, 1.418104, 0.134220, 4.042147, 7.120000, I
0.637623, 1.370462, 0.135390, 4.042147, 7.180000, I
0.637623, 1.311157, 0.126369, 4.042147, 7.090000, I
0.637623, 1.266885, 0.128391, 4.042147, 7.110000, I
0.637623, 1.249577, 0.134901, 4.042147, 7.070000, I
0.637623, 1.217971, 0.133863, 4.042147, 7.070000, I
0.637623, 1.182667, 0.118243, 4.042147, 7.010000, I
0.637623, 1.153450, 0.118549, 4.042147, 6.930000, I
0.637623, 1.126731, 0.115791, 4.042147, 7.060000, I
0.637623, 1.093688, 0.103776, 4.042147, 7.070000, I
0.637623, 1.070040, 0.101735, 4.042147, 7.000000, I
0.637623, 1.035365, 0.097045, 4.042147, 6.920000, I
0.637623, 1.027285, 0.097189, 4.042147, 6.970000, I
0.637623, 0.998781, 0.093845, 4.042147, 6.890000, I
0.637623, 0.968539, 0.093684, 4.042147, 6.890000, I
0.637623, 0.922743, 0.085600, 4.042147, 6.930000, I
0.637623, 0.885730, 0.081299, 4.042147, 7.070000, I
0.637623, 0.856196, 0.076301, 4.042147, 6.930000, I
0.637623, 0.824912, 0.075319, 4.042147, 6.980000, I
0.637623, 0.814556, 0.073607, 4.042147, 6.950000, I
0.637623, 0.792556, 0.067709, 4.042147, 6.990000, I
0.637623, 0.768039, 0.065731, 4.042147, 6.950000, I
0.637623, 0.740961, 0.066224, 4.042147, 6.920000, I
0.637623, 0.722733, 0.069657, 4.042147, 6.900000, I
0.637623, 0.711110, 0.067334, 4.042147, 6.930000, I
0.637623, 0.694539, 0.066583, 4.042147, 6.940000, I
0.637623, 0.669606, 0.064145, 4.042147, 7.070000, I
0.637623, 0.642503, 0.056362, 4.042147, 7.000000, I
0.637623, 0.615941, 0.053470, 4.042147, 6.950000, I
0.637623, 0.607721, 0.058875, 4.042147, 6.920000, I
0.637623, 0.591952, 0.059851, 4.042147, 6.940000, I
0.637623, 0.561693, 0.054776, 4.042147, 6.890000, I
0.637623, 0.545729, 0.051936, 4.042147, 6.890000, I
0.637623, 0.533305, 0.049225, 4.042147, 6.870000, I
0.637623, 0.524861, 0.052092, 4.042147, 7.080000, I
0.637623, 0.506293, 0.048108, 4.042147, 7.000000, I
0.637623, 0.482753, 0.044933, 4.042147, 7.020000, I
0.637623, 0.469892, 0.044345, 4.042147, 7.030000, I
0.637623, 0.458867, 0.043695, 4.042147, 6.910000, I
0.637623, 0.445619, 0.044625, 4.042147, 6.890000, I
0.637623, 0.435299, 0.044490, 4.042147, 6.750000, I
0.637623, 0.416232, 0.040801, 4.042147, 6.680000, I
0.637623, 0.398830, 0.040566, 4.042147, 6.760000, I
0.637623, 0.385165, 0.039038, 4.042147, 6.830000, I
0.637623, 0.382096, 0.041867, 4.042147, 6.970000, I
0.637623, 0.374401, 0.038943, 4.042147, 6.850000, I
0.637623, 0.366949, 0.037514, 4.042147, 7.000000, I
0.637623, 0.357826, 0.034828, 4.042147, 6.990000, I
0.637623, 0.336958, 0.032491, 4.042147, 6.930000, I
0.637623, 0.322038, 0.034229, 4.042147, 6.910000, I
0.637623, 0.309568, 0.034088, 4.042147, 6.870000, I
0.637623, 0.302651, 0.032814, 4.042147, 6.870000, I
0.637623, 0.299139, 0.031257, 4.042147, 6.850000, I
0.637623, 0.296486, 0.028753, 4.042147, 6.880000, I
0.637623, 0.286377, 0.025881, 4.042147, 6.850000, I
0.637623, 0.274639, 0.023673, 4.042147, 6.930000, I
0.637623, 0.268115, 0.025089, 4.042147, 6.870000, I
0.637623, 0.257641, 0.023474, 4.042147, 6.910000, I
0.637623, 0.245636, 0.023440, 4.042147, 6.990000, I
