amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
2.501958, 3.180637, 1.038190, 2.240037, 9.250000, J
2.501958, 3.171804, 0.850454, 2.240037, 8.850000, J
2.501958, 3.140445, 0.673008, 2.240037, 8.590000, J
2.501958, 3.192617, 0.583139, 2.240037, 8.420000, J
2.501958, 3.257308, 0.510036, 2.240037, 8.280000, J
2.501958, 3.338967, 0.462553, 2.240037, 8.260000, J
2.501958, 3.300380, 0.394019, 2.240037, 8.100000, J
2.501958, 3.270453, 0.353967, 2.240037, 8.030000, J
2.501958, 3.192703, 0.313424, 2.240037, 7.920000, J
2.501958, 3.164472, 0.319104, 2.240037, 7.700000, J
2.501958, 3.105498, 0.306484, 2.240037, 7.650000, J
2.501958, 3.109195, 0.319821, 2.240037, 7.430000, J
2.501958, 3.097429, 0.322451, 2.240037, 7.280000, J
2.501958, 2.994955, 0.305363, 2.240037, 7.310000, J
2.501958, 2.870550, 0.285707, 2.240037, 7.210000, J
2.501958, 2.753751, 0.268342, 2.240037, 7.330000, J
2.501958, 2.681528, 0.256694, 2.240037, 7.220000, J
2.501958, 2.617365, 0.267749, 2.240037, 7.200000, J
2.501958, 2.535223, 0.258574, 2.240037, 7.230000, J
2.501958, 2.501380, 0.269295, 2.240037, 7.260000, J
2.501958, 2.475476, 0.250921, 2.240037, 7.340000, J
2.501958, 2.430819, 0.235196, 2.240037, 7.180000, J
2.501958, 2.325484, 0.219346, 2.240037, 7.230000, J
2.501958, 2.257731, 0.214944, 2.240037, 7.170000, J
2.501958, 2.165427, 0.205501, 2.240037, 7.080000, J
2.501958, 2.092175, 0.209551, 2.240037, 7.150000, J
2.501958, 2.035726, 0.205699, 2.240037, 7.150000, J
2.501958, 2.011255, 0.215664, 2.240037, 7.210000, J
2.501958, 1.980644, 0.206955, 2.240037, 7.040000, J
2.501958, 1.940961, 0.205708, 2.240037, 7.020000, J
2.501958, 1.891186, 0.192793, 2.240037, 7.090000, J
2.501958, 1.833468, 0.183992, 2.240037, 7.140000, J
2.501958, 1.778391, 0.165934, 2.240037, 7.130000, J
2.501958, 1.708804, 0.148025, 2.240037, 7.010000, J
