amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
0.387918, 3.157405, 1.052074, 2.978407, 9.250000, A
1.044679, 3.032122, 1.086951, 1.912332, 9.250000, B
1.464701, 3.222291, 0.956980, 2.021896, 9.250000, C
1.168551, 3.275981, 1.069065, 2.585320, 9.250000, D
1.127113, 3.235321, 1.078733, 2.509260, 9.250000, E
0.671035, 3.177690, 1.039077, 4.986297, 9.250000, F
0.772478, 3.129325, 1.006092, 2.632789, 9.250000, G
0.516535, 3.133444, 1.143562, 4.087576, 9.250000, H
0.637623, 3.076140, 1.017886, 4.042147, 9.250000, I
2.501958, 3.180637, 1.038190, 2.240037, 9.250000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 2
0.387918, 3.193229, 0.893905, 2.978407, 8.850000, A
1.044679, 3.107428, 0.961632, 1.912332, 8.850000, B
1.464701, 3.354384, 0.918393, 2.021896, 8.850000, C
1.168551, 3.310740, 0.908588, 2.585320, 8.850000, D
1.127113, 3.238055, 0.893208, 2.509260, 8.850000, E
0.671035, 3.298768, 0.913039, 4.986297, 8.850000, F
0.772478, 3.213412, 0.887818, 2.632789, 8.850000, G
0.516535, 3.287404, 1.060257, 4.087576, 8.850000, H
0.637623, 3.260790, 0.977843, 4.042147, 8.850000, I
2.501958, 3.171804, 0.850454, 2.240037, 8.850000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 3
0.387918, 3.243488, 0.795803, 2.978407, 8.590000, A
1.044679, 3.160758, 0.858036, 1.912332, 8.590000, B
1.464701, 3.321187, 0.760616, 2.021896, 8.590000, C
1.168551, 3.319522, 0.740997, 2.585320, 8.590000, D
1.127113, 3.234670, 0.760883, 2.509260, 8.590000, E
0.671035, 3.389977, 0.784867, 4.986297, 8.590000, F
0.772478, 3.180881, 0.706138, 2.632789, 8.590000, G
0.516535, 3.356998, 0.951577, 4.087576, 8.590000, H
0.637623, 3.441225, 0.900092, 4.042147, 8.590000, I
2.501958, 3.140445, 0.673008, 2.240037, 8.590000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 4
0.387918, 3.331857, 0.678343, 2.978407, 8.420000, A
1.044679, 3.082270, 0.691272, 1.912332, 8.420000, B
1.464701, 3.279402, 0.633206, 2.021896, 8.420000, C
1.168551, 3.376825, 0.636336, 2.585320, 8.420000, D
1.127113, 3.254029, 0.641086, 2.509260, 8.420000, E
0.671035, 3.420397, 0.677912, 4.986297, 8.420000, F
0.772478, 3.198176, 0.598764, 2.632789, 8.420000, G
0.516535, 3.348781, 0.782816, 4.087576, 8.420000, H
0.637623, 3.502893, 0.779876, 4.042147, 8.420000, I
2.501958, 3.192617, 0.583139, 2.240037, 8.420000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 5
0.387918, 3.435500, 0.629802, 2.978407, 8.280000, A
1.044679, 3.074345, 0.569805, 1.912332, 8.280000, B
1.464701, 3.295903, 0.519471, 2.021896, 8.280000, C
1.168551, 3.342827, 0.526516, 2.585320, 8.280000, D
1.127113, 3.311643, 0.592481, 2.509260, 8.280000, E
0.671035, 3.454857, 0.580045, 4.986297, 8.280000, F
0.772478, 3.228604, 0.527901, 2.632789, 8.280000, G
