amount produced/need, avg price, sd, char
 year: 1
0.873396, 2.714180, 1.098566, A
1.076404, 2.080703, 0.690259, B
0.552480, 4.721095, 2.051565, C
1.319914, 2.229838, 0.823740, D
0.998943, 2.158764, 0.625940, E
1.059761, 2.292210, 0.780737, F
1.241988, 2.125685, 0.699324, G
1.015411, 2.202437, 0.903543, H
0.465079, 4.255135, 2.037983, I
1.162011, 2.268245, 0.574123, J
amount produced/need, avg price, sd, char
 year: 2
0.873396, 1.993913, 0.821887, A
1.076404, 1.372419, 0.452926, B
0.552480, 5.667965, 3.249980, C
1.319914, 1.494952, 0.517091, D
0.998943, 1.591246, 0.489863, E
1.059761, 1.667746, 0.572621, F
1.241988, 1.378085, 0.482156, G
1.015411, 1.582058, 0.544875, H
0.465079, 6.164556, 3.758518, I
1.162011, 1.632885, 0.528671, J
amount produced/need, avg price, sd, char
 year: 3
0.873396, 1.623971, 0.846833, A
1.076404, 0.953725, 0.313590, B
0.552480, 6.447710, 3.489380, C
1.319914, 1.005108, 0.355608, D
0.998943, 1.212501, 0.464163, E
1.059761, 1.272099, 0.529949, F
1.241988, 0.890782, 0.339740, G
1.015411, 1.106904, 0.427651, H
0.465079, 9.049564, 6.648345, I
1.162011, 1.143398, 0.380397, J
amount produced/need, avg price, sd, char
 year: 4
0.873396, 1.199885, 0.403174, A
1.076404, 0.692247, 0.265474, B
0.552480, 7.353412, 4.620937, C
1.319914, 0.664376, 0.235200, D
0.998943, 0.910324, 0.344309, E
1.059761, 0.923734, 0.361078, F
1.241988, 0.569217, 0.219615, G
1.015411, 0.779571, 0.306808, H
0.465079, 12.940232, 10.331266, I
1.162011, 0.820634, 0.294931, J
amount produced/need, avg price, sd, char
 year: 5
0.873396, 0.953770, 0.381008, A
1.076404, 0.481427, 0.170457, B
0.552480, 7.483315, 6.100087, C
1.319914, 0.451169, 0.165267, D
0.998943, 0.668499, 0.259810, E
1.059761, 0.689816, 0.278551, F
1.241988, 0.371525, 0.147961, G
1.015411, 0.549552, 0.217226, H
0.465079, 19.051144, 15.938115, I
1.162011, 0.581765, 0.222929, J
amount produced/need, avg price, sd, char
 year: 6
0.873396, 0.770370, 0.359516, A
1.076404, 0.348793, 0.127908, B
0.552480, 7.942060, 5.365634, C
1.319914, 0.312099, 0.120918, D
0.998943, 0.483197, 0.201390, E
1.059761, 0.510208, 0.202808, F
1.241988, 0.254124, 0.110480, G
1.015411, 0.386412, 0.165349, H
0.465079, 28.827159, 28.818403, I
1.162011, 0.419872, 0.159670, J
amount produced/need, avg price, sd, char
 year: 7
0.873396, 0.609194, 0.285467, A
1.076404, 0.253097, 0.123988, B
0.552480, 8.341924, 5.187643, C
1.319914, 0.214671, 0.090827, D
0.998943, 0.395123, 0.174834, E
1.059761, 0.383287, 0.154892, F
1.241988, 0.171231, 0.077431, G
1.015411, 0.273736, 0.115990, H
0.465079, 44.698819, 51.340718, I
1.162011, 0.289684, 0.109472, J
amount produced/need, avg price, sd, char
 year: 8
0.873396, 0.457331, 0.194610, A
1.076404, 0.179126, 0.086650, B
0.552480, 9.252234, 4.827911, C
1.319914, 0.145778, 0.061212, D
0.998943, 0.291114, 0.115774, E
1.059761, 0.302706, 0.145593, F
1.241988, 0.119417, 0.052701, G
1.015411, 0.183675, 0.080220, H
0.465079, 66.927444, 89.502006, I
1.162011, 0.198174, 0.077006, J
amount produced/need, avg price, sd, char
 year: 9
0.873396, 0.351302, 0.128927, A
1.076404, 0.129080, 0.055951, B
0.552480, 9.821268, 5.055710, C
1.319914, 0.097610, 0.039660, D
0.998943, 0.217500, 0.094052, E
1.059761, 0.242294, 0.127613, F
1.241988, 0.080292, 0.035204, G
1.015411, 0.127781, 0.055152, H
0.465079, 99.757128, 155.553114, I
1.162011, 0.138154, 0.054633, J
amount produced/need, avg price, sd, char
 year: 10
0.873396, 0.351302, 0.128927, A
1.076404, 0.129080, 0.055951, B
0.552480, 9.821268, 5.055710, C
1.319914, 0.097610, 0.039660, D
0.998943, 0.217500, 0.094052, E
1.059761, 0.242294, 0.127613, F
1.241988, 0.080292, 0.035204, G
1.015411, 0.127781, 0.055152, H
0.465079, 99.757128, 155.553114, I
1.162011, 0.138154, 0.054633, J
