amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 3.113648, 0.870783, 2.978407, 1.733612, A
0.883466, 3.067540, 0.631885, 2.978407, 2.436142, A
0.883466, 3.191716, 0.512728, 2.978407, 2.268298, A
0.883466, 3.453798, 0.486662, 2.978407, 2.116776, A
0.883466, 4.319712, 0.662738, 2.978407, 1.150641, A
0.883466, 4.223425, 0.507071, 2.978407, 2.533064, A
0.883466, 4.134596, 0.416989, 2.978407, 2.534519, A
0.883466, 5.044780, 0.613851, 2.978407, 1.308125, A
0.883466, 4.117949, 0.481337, 2.978407, 2.978407, A
0.883466, 3.307273, 0.434418, 2.978407, 2.978407, A
0.883466, 2.719245, 0.402011, 2.978407, 2.978407, A
0.883466, 2.309204, 0.359811, 2.978407, 2.977698, A
0.883466, 2.048242, 0.292783, 2.978407, 2.876771, A
0.883466, 2.090054, 0.314634, 2.978407, 2.432292, A
0.883466, 2.541654, 0.373996, 2.978407, 1.462205, A
0.883466, 3.256935, 0.472716, 2.978407, 0.875805, A
0.883466, 3.865205, 0.459999, 2.978407, 1.491844, A
0.883466, 3.315703, 0.385233, 2.978407, 2.948622, A
0.883466, 2.810530, 0.351255, 2.978407, 2.978407, A
0.883466, 2.348695, 0.312618, 2.978407, 2.978407, A
0.883466, 2.084294, 0.306357, 2.978407, 2.882223, A
0.883466, 2.148396, 0.274884, 2.978407, 2.354312, A
0.883466, 2.396141, 0.313055, 2.978407, 1.948037, A
0.883466, 2.475705, 0.272948, 2.978407, 2.260472, A
0.883466, 2.521750, 0.299890, 2.978407, 2.310483, A
0.883466, 2.423612, 0.262883, 2.978407, 2.776456, A
0.883466, 2.246495, 0.267038, 2.978407, 2.760819, A
0.883466, 2.030880, 0.225778, 2.978407, 2.978407, A
0.883466, 1.971086, 0.279305, 2.978407, 2.647861, A
0.883466, 1.906518, 0.201765, 2.978407, 2.764478, A
0.883466, 2.127472, 0.293811, 2.978407, 1.918004, A
0.883466, 2.567077, 0.334374, 2.978407, 1.384166, A
0.883466, 2.128493, 0.248744, 2.978407, 2.978407, A
0.883466, 1.723842, 0.203249, 2.978407, 2.978407, A
0.883466, 1.429756, 0.182864, 2.978407, 2.978407, A
0.883466, 1.245586, 0.171562, 2.978407, 2.945112, A
0.883466, 1.173817, 0.160477, 2.978407, 2.669406, A
0.883466, 1.157329, 0.171555, 2.978407, 2.710350, A
0.883466, 1.433846, 0.219029, 2.978407, 1.302608, A
0.883466, 1.901929, 0.283737, 2.978407, 0.759542, A
0.883466, 1.532968, 0.210949, 2.978407, 2.978407, A
0.883466, 1.232357, 0.163931, 2.978407, 2.978407, A
0.883466, 1.019621, 0.137380, 2.978407, 2.978407, A
0.883466, 0.864028, 0.122413, 2.978407, 2.963984, A
0.883466, 0.744543, 0.106342, 2.978407, 2.948622, A
0.883466, 0.666715, 0.095980, 2.978407, 2.932219, A
0.883466, 0.638567, 0.087986, 2.978407, 2.652070, A
0.883466, 0.660464, 0.098984, 2.978407, 2.400419, A
0.883466, 0.802708, 0.124584, 2.978407, 1.434456, A
0.883466, 0.943196, 0.158715, 2.978407, 1.727476, A
0.883466, 0.988850, 0.160332, 2.978407, 2.342717, A
0.883466, 0.836902, 0.122260, 2.978407, 2.978407, A
0.883466, 0.709661, 0.095160, 2.978407, 2.971823, A
0.883466, 0.615230, 0.081900, 2.978407, 2.918838, A
0.883466, 0.562457, 0.066611, 2.978407, 2.856185, A
0.883466, 0.568889, 0.071531, 2.978407, 2.421498, A
0.883466, 0.768535, 0.099512, 2.978407, 0.670282, A
0.883466, 0.655722, 0.071061, 2.978407, 2.978407, A
0.883466, 0.542831, 0.058056, 2.978407, 2.978407, A
0.883466, 0.456839, 0.053489, 2.978407, 2.978407, A
0.883466, 0.401494, 0.050770, 2.978407, 2.978407, A
0.883466, 0.376977, 0.052619, 2.978407, 2.735011, A
0.883466, 0.390764, 0.056203, 2.978407, 2.281331, A
0.883466, 0.465990, 0.069556, 2.978407, 1.428596, A
0.883466, 0.435223, 0.055669, 2.978407, 2.807481, A
0.883466, 0.373684, 0.037585, 2.978407, 2.948622, A
0.883466, 0.331752, 0.036495, 2.978407, 2.859363, A
0.883466, 0.311764, 0.038542, 2.978407, 2.655792, A
0.883466, 0.309806, 0.037169, 2.978407, 2.486995, A
0.883466, 0.359741, 0.046379, 2.978407, 1.606393, A
0.883466, 0.303330, 0.032946, 2.978407, 2.978407, A
0.883466, 0.262821, 0.028633, 2.978407, 2.948622, A
0.883466, 0.236830, 0.030877, 2.978407, 2.875596, A
0.883466, 0.230140, 0.030416, 2.978407, 2.762957, A
0.883466, 0.250408, 0.033742, 2.978407, 2.076701, A
0.883466, 0.239563, 0.027597, 2.978407, 2.600047, A
0.883466, 0.242903, 0.028859, 2.978407, 2.340979, A
0.883466, 0.233319, 0.027478, 2.978407, 2.710350, A
0.883466, 0.212547, 0.024296, 2.978407, 2.903970, A
0.883466, 0.191860, 0.023566, 2.978407, 2.859270, A
0.883466, 0.196109, 0.027222, 2.978407, 2.483247, A
0.883466, 0.201140, 0.023636, 2.978407, 2.419372, A
0.883466, 0.229242, 0.027106, 2.978407, 1.753263, A
0.883466, 0.225052, 0.021351, 2.978407, 2.605053, A
0.883466, 0.188962, 0.018787, 2.978407, 2.978407, A
0.883466, 0.162632, 0.018252, 2.978407, 2.978407, A
0.883466, 0.159987, 0.022977, 2.978407, 2.687147, A
0.883466, 0.172462, 0.023601, 2.978407, 2.097849, A
0.883466, 0.197633, 0.031732, 2.978407, 1.855798, A
0.883466, 0.171931, 0.020137, 2.978407, 2.951528, A
0.883466, 0.147445, 0.015832, 2.978407, 2.948622, A
0.883466, 0.129489, 0.014757, 2.978407, 2.931312, A
0.883466, 0.121199, 0.015201, 2.978407, 2.799702, A
0.883466, 0.114929, 0.012403, 2.978407, 2.808555, A
0.883466, 0.126350, 0.017283, 2.978407, 2.032621, A
0.883466, 0.137399, 0.019778, 2.978407, 1.937968, A
0.883466, 0.129722, 0.017004, 2.978407, 2.775387, A
0.883466, 0.122791, 0.012314, 2.978407, 2.790682, A
0.883466, 0.119007, 0.014046, 2.978407, 2.591214, A
0.883466, 0.115962, 0.014143, 2.978407, 2.518500, A
