amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.690001, 2.783928, 0.871211, 1.912332, 1.721099, B
1.690001, 2.719094, 0.627859, 1.912332, 1.723077, B
1.690001, 2.770403, 0.536559, 1.912332, 1.551558, B
1.690001, 2.899957, 0.474300, 1.912332, 1.510743, B
1.690001, 3.020417, 0.588611, 1.912332, 1.472496, B
1.690001, 3.390996, 0.553614, 1.912332, 1.256686, B
1.690001, 4.154664, 0.794944, 1.912332, 0.877869, B
1.690001, 3.988466, 0.538554, 1.912332, 1.759346, B
1.690001, 3.801899, 0.394901, 1.912332, 1.721099, B
1.690001, 4.273352, 0.481164, 1.912332, 1.154036, B
1.690001, 5.061519, 0.601795, 1.912332, 0.998574, B
1.690001, 4.366064, 0.463053, 1.912332, 1.893209, B
1.690001, 3.835389, 0.436670, 1.912332, 1.874086, B
1.690001, 3.424586, 0.401590, 1.912332, 1.854962, B
1.690001, 3.126364, 0.390773, 1.912332, 1.835839, B
1.690001, 3.169371, 0.458222, 1.912332, 1.606359, B
1.690001, 3.073432, 0.415849, 1.912332, 1.757858, B
1.690001, 2.999104, 0.369885, 1.912332, 1.740223, B
1.690001, 3.094694, 0.395493, 1.912332, 1.521235, B
1.690001, 2.676509, 0.347203, 1.912332, 1.910952, B
1.690001, 2.385045, 0.266422, 1.912332, 1.893209, B
1.690001, 2.144324, 0.265097, 1.912332, 1.894319, B
1.690001, 2.086471, 0.333988, 1.912332, 1.682853, B
1.690001, 2.073830, 0.282005, 1.912332, 1.601240, B
1.690001, 2.393920, 0.346190, 1.912332, 1.130753, B
1.690001, 2.795450, 0.395485, 1.912332, 1.008938, B
1.690001, 2.336918, 0.360121, 1.912332, 1.909661, B
1.690001, 1.902157, 0.271123, 1.912332, 1.912332, B
1.690001, 1.558990, 0.229518, 1.912332, 1.912332, B
1.690001, 1.332873, 0.194817, 1.912332, 1.894390, B
1.690001, 1.154702, 0.168590, 1.912332, 1.912332, B
1.690001, 1.047194, 0.156047, 1.912332, 1.828307, B
1.690001, 0.972609, 0.141046, 1.912332, 1.816716, B
1.690001, 1.019735, 0.136337, 1.912332, 1.490773, B
1.690001, 1.186800, 0.183987, 1.912332, 1.080836, B
1.690001, 1.474242, 0.255732, 1.912332, 0.806120, B
1.690001, 1.826113, 0.264840, 1.912332, 0.697520, B
1.690001, 1.573127, 0.199839, 1.912332, 1.912332, B
