amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.793129, 3.083008, 0.732664, 2.021896, 1.708236, C
0.793129, 2.937278, 0.561786, 2.021896, 1.876709, C
0.793129, 2.966045, 0.425665, 2.021896, 1.665320, C
0.793129, 3.114618, 0.562094, 2.021896, 1.637783, C
0.793129, 3.731018, 0.776236, 2.021896, 1.112043, C
0.793129, 4.725163, 0.902623, 2.021896, 0.649793, C
0.793129, 4.589023, 0.740591, 2.021896, 1.798870, C
0.793129, 3.808515, 0.476607, 2.021896, 2.021896, C
0.793129, 3.186961, 0.376497, 2.021896, 2.021896, C
0.793129, 2.719680, 0.339670, 2.021896, 1.986871, C
0.793129, 2.351608, 0.297205, 2.021896, 2.021896, C
0.793129, 2.164306, 0.272129, 2.021896, 1.936556, C
0.793129, 2.133946, 0.274948, 2.021896, 1.759049, C
0.793129, 2.208045, 0.292314, 2.021896, 1.657954, C
0.793129, 2.363399, 0.312024, 2.021896, 1.436779, C
0.793129, 2.743095, 0.375115, 2.021896, 1.122472, C
0.793129, 3.596665, 0.559263, 2.021896, 0.701104, C
0.793129, 3.352449, 0.491601, 2.021896, 1.892723, C
0.793129, 2.865836, 0.351646, 2.021896, 2.021896, C
0.793129, 2.473636, 0.314069, 2.021896, 1.992576, C
0.793129, 2.179849, 0.235830, 2.021896, 2.001677, C
0.793129, 2.037290, 0.245579, 2.021896, 1.941020, C
0.793129, 2.047372, 0.267915, 2.021896, 1.695531, C
0.793129, 2.305230, 0.319331, 2.021896, 1.308863, C
0.793129, 2.560787, 0.381031, 2.021896, 1.349443, C
0.793129, 2.321421, 0.287351, 2.021896, 1.975004, C
0.793129, 2.171560, 0.241484, 2.021896, 1.889477, C
0.793129, 2.062853, 0.218239, 2.021896, 1.914902, C
0.793129, 1.982986, 0.213444, 2.021896, 1.779221, C
0.793129, 2.090113, 0.236838, 2.021896, 1.456231, C
0.793129, 2.298588, 0.312042, 2.021896, 1.362155, C
0.793129, 2.279535, 0.286881, 2.021896, 1.667420, C
0.793129, 2.249296, 0.264324, 2.021896, 1.762515, C
0.793129, 2.070407, 0.217880, 2.021896, 1.900582, C
0.793129, 1.870377, 0.176056, 2.021896, 1.941020, C
0.793129, 1.705883, 0.198086, 2.021896, 1.911060, C
0.793129, 1.553210, 0.160447, 2.021896, 1.961239, C
0.793129, 1.469507, 0.157654, 2.021896, 1.880158, C
0.793129, 1.437240, 0.183739, 2.021896, 1.783614, C
0.793129, 1.420236, 0.173268, 2.021896, 1.655500, C
0.793129, 1.506823, 0.209744, 2.021896, 1.618017, C
0.793129, 1.491584, 0.184687, 2.021896, 1.718611, C
0.793129, 1.531819, 0.182482, 2.021896, 1.623535, C
0.793129, 1.380202, 0.167318, 2.021896, 1.961239, C
0.793129, 1.267467, 0.149509, 2.021896, 1.900582, C
0.793129, 1.097966, 0.117017, 2.021896, 1.981458, C
0.793129, 0.984107, 0.115705, 2.021896, 1.982818, C
0.793129, 0.900235, 0.110921, 2.021896, 1.941020, C
0.793129, 0.816536, 0.103869, 2.021896, 1.981253, C
0.793129, 0.791395, 0.107374, 2.021896, 1.753841, C
0.793129, 0.793721, 0.105858, 2.021896, 1.772814, C
0.793129, 0.788713, 0.102865, 2.021896, 1.782493, C
0.793129, 0.801390, 0.109828, 2.021896, 1.650678, C
0.793129, 0.733782, 0.093683, 2.021896, 1.920801, C
0.793129, 0.686066, 0.090778, 2.021896, 1.885952, C
0.793129, 0.633552, 0.083708, 2.021896, 1.941020, C
0.793129, 0.624162, 0.081077, 2.021896, 1.830532, C
0.793129, 0.701428, 0.123886, 2.021896, 1.285056, C
0.793129, 0.594276, 0.090534, 2.021896, 2.021896, C
0.793129, 0.499423, 0.070418, 2.021896, 2.021896, C
0.793129, 0.417580, 0.059533, 2.021896, 2.021896, C
0.793129, 0.366769, 0.053201, 2.021896, 1.978457, C
0.793129, 0.323591, 0.047788, 2.021896, 2.001677, C
0.793129, 0.299538, 0.041627, 2.021896, 1.960655, C
0.793129, 0.285320, 0.038158, 2.021896, 1.860144, C
0.793129, 0.285099, 0.036356, 2.021896, 1.766740, C
0.793129, 0.312060, 0.052480, 2.021896, 1.437329, C
0.793129, 0.342667, 0.050511, 2.021896, 1.486995, C
0.793129, 0.342003, 0.038128, 2.021896, 1.724006, C
0.793129, 0.315479, 0.041387, 2.021896, 1.860144, C
0.793129, 0.277991, 0.031955, 2.021896, 1.981458, C
0.793129, 0.257649, 0.029905, 2.021896, 1.900582, C
0.793129, 0.249973, 0.031830, 2.021896, 1.790290, C
0.793129, 0.248992, 0.034337, 2.021896, 1.657954, C
0.793129, 0.261834, 0.037343, 2.021896, 1.512567, C
0.793129, 0.285336, 0.039030, 2.021896, 1.321246, C
0.793129, 0.238652, 0.027817, 2.021896, 2.021896, C
0.793129, 0.202496, 0.024589, 2.021896, 2.001677, C
0.793129, 0.173126, 0.022680, 2.021896, 2.021896, C
0.793129, 0.149106, 0.021216, 2.021896, 2.021896, C
0.793129, 0.136520, 0.021172, 2.021896, 1.913362, C
0.793129, 0.130154, 0.019176, 2.021896, 1.885258, C
0.793129, 0.134266, 0.018143, 2.021896, 1.579702, C
0.793129, 0.148987, 0.021661, 2.021896, 1.405926, C
0.793129, 0.171676, 0.024843, 2.021896, 1.213137, C
0.793129, 0.203425, 0.028025, 2.021896, 1.068918, C
0.793129, 0.198637, 0.022831, 2.021896, 1.740311, C
0.793129, 0.176026, 0.019602, 2.021896, 1.998802, C
0.793129, 0.164867, 0.017980, 2.021896, 1.863513, C
0.793129, 0.161398, 0.021952, 2.021896, 1.759049, C
0.793129, 0.152856, 0.019891, 2.021896, 1.824849, C
0.793129, 0.137832, 0.014125, 2.021896, 1.920801, C
0.793129, 0.128883, 0.013764, 2.021896, 1.886120, C
0.793129, 0.158056, 0.019623, 2.021896, 0.892632, C
0.793129, 0.153619, 0.019139, 2.021896, 1.696525, C
0.793129, 0.130958, 0.017539, 2.021896, 2.001677, C
0.793129, 0.109708, 0.014414, 2.021896, 2.021896, C
0.793129, 0.091869, 0.012411, 2.021896, 2.021896, C
0.793129, 0.077003, 0.011800, 2.021896, 2.001677, C
0.793129, 0.068179, 0.010044, 2.021896, 2.001677, C
