amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.124094, 2.956177, 0.775510, 2.585320, 2.291751, D
1.124094, 2.943798, 0.493606, 2.585320, 2.072545, D
1.124094, 3.198065, 0.483908, 2.585320, 1.760190, D
1.124094, 3.667985, 0.593344, 2.585320, 1.493299, D
1.124094, 4.108249, 0.606472, 2.585320, 1.602898, D
1.124094, 4.393878, 0.556425, 2.585320, 1.726080, D
1.124094, 4.110132, 0.490963, 2.585320, 2.389369, D
1.124094, 3.807244, 0.398539, 2.585320, 2.403887, D
1.124094, 4.286708, 0.530803, 2.585320, 1.521910, D
1.124094, 5.102767, 0.686750, 2.585320, 1.248569, D
1.124094, 4.636514, 0.504310, 2.585320, 2.481907, D
1.124094, 4.288904, 0.495843, 2.585320, 2.470780, D
1.124094, 4.091663, 0.512060, 2.585320, 2.352641, D
1.124094, 3.968613, 0.544608, 2.585320, 2.275081, D
1.124094, 3.695981, 0.477508, 2.585320, 2.481907, D
1.124094, 3.294207, 0.387188, 2.585320, 2.548340, D
1.124094, 2.916748, 0.334980, 2.585320, 2.546183, D
1.124094, 2.789324, 0.302021, 2.585320, 2.430200, D
1.124094, 3.057490, 0.386256, 2.585320, 1.801286, D
1.124094, 2.777601, 0.249873, 2.585320, 2.501041, D
1.124094, 2.483252, 0.226307, 2.585320, 2.507760, D
1.124094, 2.365652, 0.281046, 2.585320, 2.363737, D
1.124094, 2.315668, 0.294228, 2.585320, 2.264057, D
1.124094, 2.309415, 0.344686, 2.585320, 2.100483, D
1.124094, 2.235138, 0.307213, 2.585320, 2.331196, D
1.124094, 2.285940, 0.281566, 2.585320, 1.952916, D
1.124094, 2.447665, 0.308193, 2.585320, 1.891632, D
1.124094, 2.323613, 0.295147, 2.585320, 2.254617, D
1.124094, 2.315290, 0.324832, 2.585320, 2.231560, D
1.124094, 1.982769, 0.273354, 2.585320, 2.542017, D
1.124094, 1.679262, 0.226522, 2.585320, 2.585320, D
1.124094, 1.454127, 0.188927, 2.585320, 2.553634, D
1.124094, 1.346246, 0.192394, 2.585320, 2.430200, D
1.124094, 1.279647, 0.169500, 2.585320, 2.339267, D
1.124094, 1.348735, 0.187440, 2.585320, 2.069801, D
1.124094, 1.616975, 0.226656, 2.585320, 1.272876, D
1.124094, 1.671464, 0.205059, 2.585320, 1.969936, D
1.124094, 1.658919, 0.237039, 2.585320, 2.249228, D
1.124094, 1.750930, 0.222191, 2.585320, 1.988331, D
1.124094, 1.441813, 0.165741, 2.585320, 2.585320, D
1.124094, 1.195803, 0.148214, 2.585320, 2.585320, D
1.124094, 1.021307, 0.137185, 2.585320, 2.585320, D
