amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.412168, 3.193283, 0.840902, 2.509260, 1.958282, E
1.412168, 3.140045, 0.547913, 2.509260, 2.036140, E
1.412168, 3.268856, 0.368019, 2.509260, 1.830652, E
1.412168, 4.711872, 0.604660, 2.509260, 0.175959, E
1.412168, 3.783894, 0.483892, 2.509260, 2.509260, E
1.412168, 3.030966, 0.409710, 2.509260, 2.509260, E
1.412168, 2.479070, 0.359246, 2.509260, 2.509260, E
1.412168, 2.032300, 0.314597, 2.509260, 2.509260, E
1.412168, 1.716551, 0.266554, 2.509260, 2.509260, E
1.412168, 1.533537, 0.261041, 2.509260, 2.459075, E
1.412168, 1.387430, 0.266371, 2.509260, 2.459075, E
1.412168, 1.353418, 0.216532, 2.509260, 2.161938, E
1.412168, 1.366945, 0.192446, 2.509260, 2.077566, E
1.412168, 1.505279, 0.234356, 2.509260, 1.731390, E
1.412168, 1.737129, 0.269545, 2.509260, 1.480936, E
1.412168, 2.125198, 0.361789, 2.509260, 1.229537, E
1.412168, 2.775344, 0.480943, 2.509260, 0.745529, E
1.412168, 3.463550, 0.600396, 2.509260, 1.044606, E
1.412168, 2.956312, 0.429244, 2.509260, 2.509260, E
1.412168, 2.525960, 0.343454, 2.509260, 2.499598, E
1.412168, 2.230146, 0.277049, 2.509260, 2.484168, E
1.412168, 2.068471, 0.237812, 2.509260, 2.408890, E
1.412168, 2.133950, 0.270657, 2.509260, 2.004643, E
1.412168, 2.413793, 0.324550, 2.509260, 1.524656, E
1.412168, 2.382940, 0.276819, 2.509260, 2.168656, E
1.412168, 2.495538, 0.324029, 2.509260, 2.041659, E
1.412168, 2.310176, 0.304180, 2.509260, 2.332751, E
1.412168, 2.066720, 0.250695, 2.509260, 2.433983, E
1.412168, 1.969907, 0.199687, 2.509260, 2.247307, E
1.412168, 2.151384, 0.271744, 2.509260, 1.733054, E
1.412168, 2.629596, 0.351151, 2.509260, 1.289628, E
1.412168, 2.173684, 0.268076, 2.509260, 2.509260, E
1.412168, 1.778276, 0.210723, 2.509260, 2.509260, E
1.412168, 1.497660, 0.180948, 2.509260, 2.484168, E
1.412168, 1.344941, 0.173204, 2.509260, 2.459075, E
1.412168, 1.275543, 0.160559, 2.509260, 2.334875, E
1.412168, 1.529170, 0.225232, 2.509260, 1.252880, E
1.412168, 1.876669, 0.279383, 2.509260, 0.967046, E
1.412168, 1.512584, 0.206229, 2.509260, 2.509260, E
1.412168, 1.226040, 0.167534, 2.509260, 2.509260, E
1.412168, 1.001029, 0.152076, 2.509260, 2.509260, E
1.412168, 0.820480, 0.131220, 2.509260, 2.509260, E
1.412168, 0.692538, 0.107482, 2.509260, 2.509260, E
1.412168, 0.607027, 0.093549, 2.509260, 2.432141, E
1.412168, 0.615898, 0.102570, 2.509260, 2.073407, E
1.412168, 0.722155, 0.118438, 2.509260, 1.428636, E
1.412168, 0.920775, 0.148549, 2.509260, 0.912776, E
1.412168, 1.028523, 0.152297, 2.509260, 1.736513, E
1.412168, 0.926068, 0.109228, 2.509260, 2.433983, E
1.412168, 0.818850, 0.083632, 2.509260, 2.446453, E
1.412168, 0.766631, 0.083678, 2.509260, 2.280214, E
