amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.586988, 0.963704, 4.986297, 2.019341, F
0.453340, 4.027846, 0.737931, 4.986297, 2.530894, F
0.453340, 3.520044, 0.498860, 4.986297, 4.801401, F
0.453340, 3.399967, 0.375226, 4.986297, 4.267797, F
0.453340, 4.275824, 0.612035, 4.986297, 1.949584, F
0.453340, 4.034906, 0.453472, 4.986297, 4.477611, F
0.453340, 4.069999, 0.446505, 4.986297, 3.942876, F
0.453340, 4.495582, 0.516197, 4.986297, 3.079639, F
0.453340, 4.962815, 0.569867, 4.986297, 2.945173, F
0.453340, 4.780867, 0.476111, 4.986297, 4.635942, F
0.453340, 4.735727, 0.578569, 4.986297, 4.264384, F
0.453340, 5.293005, 0.711494, 4.986297, 3.061941, F
0.453340, 4.571410, 0.549060, 4.986297, 4.911853, F
0.453340, 4.112679, 0.510574, 4.986297, 4.792399, F
0.453340, 3.534407, 0.443832, 4.986297, 4.937705, F
0.453340, 3.106065, 0.375544, 4.986297, 4.936434, F
0.453340, 2.988378, 0.344451, 4.986297, 4.556339, F
0.453340, 3.200159, 0.433623, 4.986297, 3.590299, F
0.453340, 3.118947, 0.325494, 4.986297, 4.251566, F
0.453340, 2.788151, 0.240696, 4.986297, 4.886571, F
0.453340, 2.502732, 0.241996, 4.986297, 4.741485, F
0.453340, 2.373174, 0.250855, 4.986297, 4.457937, F
0.453340, 2.270057, 0.271493, 4.986297, 4.486876, F
0.453340, 2.492848, 0.291207, 4.986297, 3.064843, F
0.453340, 2.380174, 0.290686, 4.986297, 4.356538, F
0.453340, 2.180784, 0.235694, 4.986297, 4.676397, F
0.453340, 2.314038, 0.288255, 4.986297, 3.449984, F
0.453340, 2.665116, 0.394992, 4.986297, 2.723953, F
0.453340, 2.194724, 0.291010, 4.986297, 4.986297, F
0.453340, 1.858024, 0.229745, 4.986297, 4.986297, F
0.453340, 1.607578, 0.200913, 4.986297, 4.895843, F
0.453340, 1.529773, 0.197100, 4.986297, 4.589167, F
0.453340, 1.608594, 0.212872, 4.986297, 3.776629, F
0.453340, 1.944100, 0.273572, 4.986297, 2.297356, F
0.453340, 2.381893, 0.366029, 4.986297, 1.970027, F
0.453340, 1.914159, 0.278586, 4.986297, 4.986297, F
0.453340, 1.494925, 0.215151, 4.986297, 4.986297, F
0.453340, 1.190726, 0.180901, 4.986297, 4.986297, F
0.453340, 1.004635, 0.152115, 4.986297, 4.986069, F
0.453340, 0.887522, 0.132274, 4.986297, 4.936434, F
0.453340, 0.880294, 0.128263, 4.986297, 4.351201, F
0.453340, 1.100506, 0.163224, 4.986297, 1.720465, F
0.453340, 1.602761, 0.256697, 4.986297, 0.244327, F
0.453340, 1.487236, 0.165194, 4.986297, 4.508047, F
0.453340, 1.321376, 0.120914, 4.986297, 4.906798, F
0.453340, 1.136407, 0.107715, 4.986297, 4.986297, F
0.453340, 0.981464, 0.098385, 4.986297, 4.951059, F
0.453340, 0.959025, 0.110327, 4.986297, 4.175673, F
0.453340, 1.053260, 0.119869, 4.986297, 3.116242, F
0.453340, 0.890063, 0.098903, 4.986297, 4.936434, F
0.453340, 0.782676, 0.088577, 4.986297, 4.927563, F
0.453340, 0.744841, 0.100745, 4.986297, 4.457464, F
0.453340, 0.838381, 0.115924, 4.986297, 2.696518, F
0.453340, 0.975634, 0.129582, 4.986297, 2.473378, F
0.453340, 0.760274, 0.102875, 4.986297, 4.986297, F
0.453340, 0.592500, 0.086825, 4.986297, 4.986297, F
0.453340, 0.473275, 0.075232, 4.986297, 4.986297, F
0.453340, 0.391954, 0.061035, 4.986297, 4.986297, F
0.453340, 0.347206, 0.055937, 4.986297, 4.887453, F
0.453340, 0.352691, 0.048889, 4.986297, 3.720995, F
0.453340, 0.456155, 0.067414, 4.986297, 1.555939, F
0.453340, 0.618102, 0.085769, 4.986297, 0.844864, F
0.453340, 0.498579, 0.065562, 4.986297, 4.986297, F
0.453340, 0.401355, 0.052842, 4.986297, 4.986297, F
0.453340, 0.329120, 0.043633, 4.986297, 4.986297, F
0.453340, 0.285880, 0.035460, 4.986297, 4.971793, F
0.453340, 0.282818, 0.037125, 4.986297, 4.189604, F
0.453340, 0.334728, 0.051596, 4.986297, 2.453933, F
0.453340, 0.367574, 0.047080, 4.986297, 3.025903, F
0.453340, 0.335409, 0.039748, 4.986297, 4.496620, F
0.453340, 0.339464, 0.036930, 4.986297, 4.057166, F
0.453340, 0.300751, 0.030696, 4.986297, 4.698264, F
0.453340, 0.270653, 0.029309, 4.986297, 4.837084, F
0.453340, 0.256382, 0.030909, 4.986297, 4.564089, F
0.453340, 0.273222, 0.038043, 4.986297, 3.548373, F
0.453340, 0.256587, 0.033033, 4.986297, 4.547156, F
0.453340, 0.279526, 0.032950, 4.986297, 2.971914, F
0.453340, 0.240501, 0.026059, 4.986297, 4.923141, F
0.453340, 0.207812, 0.021745, 4.986297, 4.969354, F
0.453340, 0.197582, 0.024579, 4.986297, 4.535159, F
0.453340, 0.215939, 0.030593, 4.986297, 3.237353, F
0.453340, 0.266539, 0.042544, 4.986297, 2.076633, F
0.453340, 0.220251, 0.032363, 4.986297, 4.936434, F
0.453340, 0.185898, 0.025466, 4.986297, 4.946448, F
0.453340, 0.164703, 0.020870, 4.986297, 4.848642, F
0.453340, 0.169416, 0.022676, 4.986297, 3.864800, F
0.453340, 0.192787, 0.026446, 4.986297, 2.893815, F
0.453340, 0.216288, 0.023920, 4.986297, 2.806119, F
0.453340, 0.182108, 0.019248, 4.986297, 4.986297, F
0.453340, 0.159444, 0.018696, 4.986297, 4.941996, F
0.453340, 0.150141, 0.017432, 4.986297, 4.637560, F
0.453340, 0.151198, 0.020387, 4.986297, 4.234837, F
0.453340, 0.155769, 0.019337, 4.986297, 3.782798, F
0.453340, 0.129543, 0.013156, 4.986297, 4.986297, F
0.453340, 0.113132, 0.011194, 4.986297, 4.936434, F
0.453340, 0.115105, 0.013750, 4.986297, 3.995344, F
0.453340, 0.136850, 0.019366, 4.986297, 2.361871, F
0.453340, 0.157127, 0.020668, 4.986297, 2.514296, F
0.453340, 0.131089, 0.017288, 4.986297, 4.986297, F
0.453340, 0.108253, 0.014156, 4.986297, 4.936434, F
