amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.724490, 2.985942, 0.808426, 2.632789, 2.318734, G
0.724490, 2.899164, 0.588501, 2.632789, 2.422166, G
0.724490, 3.129586, 0.500678, 2.632789, 1.998150, G
0.724490, 3.447751, 0.543499, 2.632789, 1.819128, G
0.724490, 4.228199, 0.726645, 2.632789, 1.229935, G
0.724490, 4.620586, 0.652726, 2.632789, 1.761564, G
0.724490, 4.098475, 0.505574, 2.632789, 2.580133, G
0.724490, 3.657484, 0.428428, 2.632789, 2.459552, G
0.724490, 3.498625, 0.429344, 2.632789, 2.303484, G
0.724490, 3.971302, 0.527084, 2.632789, 1.584931, G
0.724490, 5.403047, 0.795544, 2.632789, 0.469442, G
0.724490, 4.780192, 0.596056, 2.632789, 2.632789, G
0.724490, 4.084576, 0.453897, 2.632789, 2.612154, G
0.724490, 3.623950, 0.374549, 2.632789, 2.580133, G
0.724490, 3.541146, 0.394218, 2.632789, 2.323691, G
0.724490, 3.643066, 0.459285, 2.632789, 2.109485, G
0.724490, 3.013895, 0.378129, 2.632789, 2.632789, G
0.724490, 2.574616, 0.328583, 2.632789, 2.606461, G
0.724490, 2.215709, 0.308427, 2.632789, 2.632789, G
0.724490, 2.033368, 0.262718, 2.632789, 2.500545, G
0.724490, 2.094838, 0.318067, 2.632789, 2.132559, G
0.724490, 2.134715, 0.228866, 2.632789, 2.212506, G
0.724490, 2.619496, 0.344373, 2.632789, 1.152597, G
0.724490, 2.310951, 0.243855, 2.632789, 2.577316, G
0.724490, 2.072180, 0.219285, 2.632789, 2.544713, G
0.724490, 1.970335, 0.254978, 2.632789, 2.354417, G
0.724490, 1.999046, 0.302831, 2.632789, 2.144022, G
0.724490, 2.182034, 0.298510, 2.632789, 1.975897, G
0.724490, 2.128512, 0.273450, 2.632789, 2.198517, G
0.724490, 2.107659, 0.267915, 2.632789, 2.264149, G
0.724490, 2.046751, 0.247869, 2.632789, 2.322231, G
0.724490, 2.093607, 0.275425, 2.632789, 2.121047, G
0.724490, 2.233169, 0.318994, 2.632789, 1.905426, G
0.724490, 2.149374, 0.326999, 2.632789, 2.290526, G
0.724490, 1.854511, 0.240540, 2.632789, 2.632789, G
0.724490, 1.577948, 0.200100, 2.632789, 2.631947, G
0.724490, 1.325060, 0.157895, 2.632789, 2.632789, G
0.724490, 1.174886, 0.148961, 2.632789, 2.606461, G
0.724490, 1.101311, 0.140566, 2.632789, 2.452770, G
0.724490, 1.170757, 0.160757, 2.632789, 1.874691, G
0.724490, 1.383326, 0.215692, 2.632789, 1.389162, G
0.724490, 1.596447, 0.240266, 2.632789, 1.560565, G
0.724490, 1.520461, 0.181809, 2.632789, 2.391995, G
0.724490, 1.428561, 0.168969, 2.632789, 2.430445, G
0.724490, 1.379002, 0.181202, 2.632789, 2.302538, G
0.724490, 1.185409, 0.142501, 2.632789, 2.632789, G
0.724490, 1.015799, 0.124029, 2.632789, 2.606461, G
0.724490, 0.833961, 0.111200, 2.632789, 2.632789, G
0.724490, 0.712108, 0.103090, 2.632789, 2.580133, G
0.724490, 0.624893, 0.089490, 2.632789, 2.563623, G
0.724490, 0.559172, 0.079764, 2.632789, 2.527477, G
0.724490, 0.523276, 0.074244, 2.632789, 2.421210, G
0.724490, 0.562141, 0.086739, 2.632789, 1.890043, G
0.724490, 0.653238, 0.100705, 2.632789, 1.492351, G
0.724490, 0.779538, 0.102257, 2.632789, 1.331948, G
0.724490, 0.799225, 0.097448, 2.632789, 2.085141, G
0.724490, 0.670410, 0.080692, 2.632789, 2.614613, G
0.724490, 0.560310, 0.067401, 2.632789, 2.632789, G
0.724490, 0.491710, 0.060558, 2.632789, 2.589810, G
