amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.736620, 3.687380, 0.964320, 4.087576, 1.361374, H
0.736620, 3.841027, 0.625362, 4.087576, 2.898597, H
0.736620, 3.792624, 0.458774, 4.087576, 3.388019, H
0.736620, 3.920096, 0.478169, 4.087576, 3.347715, H
0.736620, 4.459366, 0.564138, 4.087576, 2.392226, H
0.736620, 3.983317, 0.443789, 4.087576, 3.906294, H
0.736620, 3.978311, 0.444228, 4.087576, 3.344480, H
0.736620, 4.398809, 0.537143, 4.087576, 2.297897, H
0.736620, 5.227440, 0.728959, 4.087576, 1.880556, H
0.736620, 4.448299, 0.546153, 4.087576, 4.087576, H
0.736620, 3.829233, 0.462407, 4.087576, 4.046700, H
0.736620, 3.608962, 0.458495, 4.087576, 3.795717, H
0.736620, 4.154100, 0.545411, 4.087576, 2.108379, H
0.736620, 4.735473, 0.539781, 4.087576, 2.283813, H
0.736620, 3.910146, 0.438339, 4.087576, 4.087576, H
0.736620, 3.165078, 0.379198, 4.087576, 4.087576, H
0.736620, 2.644812, 0.331570, 4.087576, 4.087576, H
0.736620, 2.374057, 0.318423, 4.087576, 3.935798, H
0.736620, 2.265516, 0.302509, 4.087576, 3.716103, H
0.736620, 2.479315, 0.359624, 4.087576, 2.660547, H
0.736620, 3.297558, 0.441037, 4.087576, 1.202384, H
0.736620, 2.670343, 0.338098, 4.087576, 4.087576, H
0.736620, 2.090125, 0.279182, 4.087576, 4.087576, H
0.736620, 1.621769, 0.232628, 4.087576, 4.087576, H
0.736620, 1.293358, 0.213397, 4.087576, 4.087576, H
0.736620, 1.059583, 0.181965, 4.087576, 4.087576, H
0.736620, 0.916693, 0.156134, 4.087576, 4.046700, H
0.736620, 0.850157, 0.133513, 4.087576, 3.923340, H
0.736620, 0.829763, 0.117828, 4.087576, 3.645853, H
0.736620, 0.977360, 0.138648, 4.087576, 2.071031, H
0.736620, 1.234880, 0.197802, 4.087576, 1.597600, H
0.736620, 1.735989, 0.285843, 4.087576, 0.654012, H
0.736620, 2.455871, 0.433507, 4.087576, 0.613136, H
0.736620, 2.088163, 0.277868, 4.087576, 4.087576, H
0.736620, 1.901355, 0.222995, 4.087576, 4.000524, H
0.736620, 1.929778, 0.223122, 4.087576, 3.466131, H
0.736620, 1.627315, 0.186238, 4.087576, 4.087576, H
0.736620, 1.398783, 0.162883, 4.087576, 4.087576, H
0.736620, 1.308521, 0.166984, 4.087576, 3.765039, H
0.736620, 1.363262, 0.199196, 4.087576, 3.283449, H
0.736620, 1.573311, 0.192330, 4.087576, 2.264874, H
0.736620, 1.963574, 0.266333, 4.087576, 1.562972, H
0.736620, 1.586081, 0.197183, 4.087576, 4.087576, H
0.736620, 1.309969, 0.170472, 4.087576, 4.086496, H
0.736620, 1.095823, 0.150850, 4.087576, 4.087576, H
0.736620, 0.960073, 0.138465, 4.087576, 4.018813, H
0.736620, 0.945046, 0.131905, 4.087576, 3.636270, H
0.736620, 1.093642, 0.148177, 4.087576, 2.164160, H
0.736620, 0.986487, 0.120686, 4.087576, 3.904577, H
0.736620, 0.861224, 0.099136, 4.087576, 4.046700, H
0.736620, 0.768380, 0.085472, 4.087576, 3.924073, H
0.736620, 0.946766, 0.120812, 4.087576, 1.719932, H
0.736620, 0.798086, 0.085095, 4.087576, 4.076521, H
