amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.688203, 2.993366, 0.659425, 4.042147, 2.895881, I
0.688203, 3.674581, 0.709771, 4.042147, 1.567481, I
0.688203, 4.612265, 0.733609, 4.042147, 1.379347, I
0.688203, 3.726227, 0.550999, 4.042147, 4.042147, I
0.688203, 3.060389, 0.421970, 4.042147, 4.042147, I
0.688203, 2.587148, 0.331073, 4.042147, 4.042147, I
0.688203, 2.368590, 0.319054, 4.042147, 3.874132, I
0.688203, 2.727466, 0.455242, 4.042147, 2.124347, I
0.688203, 3.966557, 0.602136, 4.042147, 0.169606, I
0.688203, 5.814491, 0.891631, 4.042147, 0.081556, I
0.688203, 5.020741, 0.637835, 4.042147, 4.001725, I
0.688203, 4.491545, 0.503631, 4.042147, 3.817071, I
0.688203, 4.352263, 0.516172, 4.042147, 3.552213, I
0.688203, 4.130883, 0.470737, 4.042147, 3.718775, I
0.688203, 4.161856, 0.645376, 4.042147, 3.426156, I
0.688203, 3.497818, 0.526408, 4.042147, 4.042147, I
0.688203, 2.903086, 0.415357, 4.042147, 4.034869, I
0.688203, 2.632251, 0.334424, 4.042147, 3.839443, I
0.688203, 2.671947, 0.385810, 4.042147, 3.241789, I
0.688203, 2.917257, 0.414023, 4.042147, 2.703682, I
0.688203, 2.555513, 0.313723, 4.042147, 3.989925, I
0.688203, 2.318370, 0.288700, 4.042147, 3.768472, I
0.688203, 2.215877, 0.249394, 4.042147, 3.753255, I
0.688203, 2.462151, 0.316605, 4.042147, 2.514815, I
0.688203, 2.615467, 0.287523, 4.042147, 2.794158, I
0.688203, 2.363315, 0.217096, 4.042147, 3.920882, I
0.688203, 2.444563, 0.247247, 4.042147, 3.059577, I
0.688203, 2.310471, 0.227828, 4.042147, 3.581633, I
0.688203, 2.229944, 0.247921, 4.042147, 3.342779, I
0.688203, 2.044189, 0.213574, 4.042147, 3.662734, I
0.688203, 2.242780, 0.267252, 4.042147, 2.655100, I
0.688203, 2.345323, 0.270412, 4.042147, 3.010491, I
0.688203, 2.156554, 0.229016, 4.042147, 3.779126, I
0.688203, 2.131102, 0.245557, 4.042147, 3.406560, I
0.688203, 1.833349, 0.173294, 4.042147, 4.042147, I
