amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.726488, 3.632075, 0.966497, 2.240037, 1.185973, J
0.726488, 3.732717, 0.749890, 2.240037, 1.837370, J
0.726488, 3.486561, 0.570204, 2.240037, 2.111397, J
0.726488, 3.185637, 0.455610, 2.240037, 2.163882, J
0.726488, 3.113768, 0.480039, 2.240037, 1.948833, J
0.726488, 3.358392, 0.429738, 2.240037, 1.463270, J
0.726488, 4.184521, 0.603584, 2.240037, 0.908780, J
0.726488, 4.143158, 0.550969, 2.240037, 1.928493, J
0.726488, 4.646147, 0.636526, 2.240037, 1.437114, J
0.726488, 4.479211, 0.480196, 2.240037, 2.045961, J
0.726488, 4.400637, 0.525952, 2.240037, 1.960229, J
0.726488, 5.037968, 0.636134, 2.240037, 1.288738, J
0.726488, 4.661127, 0.462347, 2.240037, 2.038434, J
0.726488, 4.013893, 0.413695, 2.240037, 2.217637, J
0.726488, 3.408220, 0.389126, 2.240037, 2.240037, J
0.726488, 2.995705, 0.368010, 2.240037, 2.217637, J
0.726488, 2.736474, 0.388262, 2.240037, 2.128036, J
0.726488, 2.481436, 0.321539, 2.240037, 2.195237, J
0.726488, 2.488947, 0.297019, 2.240037, 1.923518, J
0.726488, 2.580641, 0.333217, 2.240037, 1.779248, J
0.726488, 2.576585, 0.302101, 2.240037, 1.971233, J
0.726488, 2.672746, 0.305175, 2.240037, 1.606657, J
0.726488, 2.359015, 0.231221, 2.240037, 2.234597, J
0.726488, 2.089095, 0.215769, 2.240037, 2.170293, J
0.726488, 1.864630, 0.197687, 2.240037, 2.217637, J
0.726488, 1.737825, 0.227294, 2.240037, 2.120139, J
0.726488, 1.667143, 0.242446, 2.240037, 2.083235, J
0.726488, 1.709931, 0.241782, 2.240037, 1.770715, J
0.726488, 1.968663, 0.316605, 2.240037, 1.325238, J
0.726488, 2.776938, 0.491311, 2.240037, 0.265772, J
0.726488, 2.270662, 0.356360, 2.240037, 2.240037, J
0.726488, 1.797439, 0.220629, 2.240037, 2.240037, J
0.726488, 1.460188, 0.187948, 2.240037, 2.240037, J
0.726488, 1.207121, 0.171085, 2.240037, 2.240037, J
0.726488, 1.018652, 0.153489, 2.240037, 2.240037, J
0.726488, 0.882855, 0.134976, 2.240037, 2.231624, J
0.726488, 0.824274, 0.110592, 2.240037, 2.104637, J
0.726488, 0.848875, 0.129996, 2.240037, 1.812299, J
0.726488, 0.951679, 0.154143, 2.240037, 1.404309, J
0.726488, 1.250295, 0.200922, 2.240037, 0.673856, J
0.726488, 1.748068, 0.274902, 2.240037, 0.274672, J
0.726488, 1.522604, 0.211572, 2.240037, 2.217637, J
0.726488, 1.327500, 0.169999, 2.240037, 2.216030, J
0.726488, 1.182842, 0.160387, 2.240037, 2.195237, J
0.726488, 1.126751, 0.155471, 2.240037, 2.144060, J
0.726488, 1.242293, 0.165141, 2.240037, 1.528210, J
0.726488, 1.042901, 0.119755, 2.240037, 2.240037, J
0.726488, 0.860606, 0.100331, 2.240037, 2.240037, J
0.726488, 0.720903, 0.099781, 2.240037, 2.217637, J
0.726488, 0.602955, 0.083287, 2.240037, 2.240037, J
