amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.793129, 3.231180, 0.784715, 2.021896, 1.582173, C
0.793129, 3.295739, 0.630174, 2.021896, 1.541735, C
0.793129, 3.381654, 0.669083, 2.021896, 1.625077, C
0.793129, 3.565236, 0.678997, 2.021896, 1.637736, C
0.793129, 3.730438, 0.657657, 2.021896, 1.623019, C
0.793129, 4.027326, 0.706014, 2.021896, 1.456998, C
0.793129, 4.042672, 0.666699, 2.021896, 1.719844, C
0.793129, 4.156449, 0.583114, 2.021896, 1.598531, C
0.793129, 4.430370, 0.604125, 2.021896, 1.475984, C
0.793129, 4.700599, 0.717414, 2.021896, 1.497436, C
0.793129, 5.117778, 0.809283, 2.021896, 1.493317, C
0.793129, 5.677379, 0.895363, 2.021896, 1.406655, C
0.793129, 6.292816, 0.954059, 2.021896, 1.334451, C
0.793129, 7.370422, 1.142028, 2.021896, 1.223451, C
0.793129, 8.443977, 1.149272, 2.021896, 1.173933, C
0.793129, 10.088406, 1.668317, 2.021896, 1.012792, C
0.793129, 11.106381, 1.786567, 2.021896, 1.282516, C
0.793129, 11.104647, 1.787452, 2.021896, 1.721704, C
0.793129, 11.551982, 1.704911, 2.021896, 1.605152, C
0.793129, 11.312373, 1.586573, 2.021896, 1.720359, C
0.793129, 10.773824, 1.490252, 2.021896, 1.839925, C
0.793129, 10.485284, 1.605510, 2.021896, 1.835002, C
0.793129, 10.458497, 1.590385, 2.021896, 1.701485, C
0.793129, 10.723691, 1.746362, 2.021896, 1.564508, C
0.793129, 10.807938, 1.948174, 2.021896, 1.597298, C
0.793129, 11.025925, 1.572006, 2.021896, 1.678173, C
0.793129, 11.252686, 1.723507, 2.021896, 1.628257, C
0.793129, 11.666690, 1.694150, 2.021896, 1.597298, C
0.793129, 12.176327, 2.186315, 2.021896, 1.563267, C
0.793129, 11.951012, 2.524990, 2.021896, 1.746684, C
0.793129, 12.011309, 3.087539, 2.021896, 1.741761, C
0.793129, 12.377010, 2.903633, 2.021896, 1.597298, C
0.793129, 12.718503, 2.463737, 2.021896, 1.665602, C
0.793129, 13.514998, 2.470378, 2.021896, 1.657954, C
0.793129, 13.829265, 2.325521, 2.021896, 1.604946, C
0.793129, 14.232118, 2.187374, 2.021896, 1.664572, C
0.793129, 15.454717, 2.949106, 2.021896, 1.443194, C
0.793129, 15.907781, 2.736936, 2.021896, 1.691454, C
0.793129, 16.285526, 2.286509, 2.021896, 1.665602, C
0.793129, 16.869304, 2.433658, 2.021896, 1.651016, C
0.793129, 18.493346, 2.597589, 2.021896, 1.463413, C
0.793129, 18.318092, 3.448664, 2.021896, 1.738830, C
