amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.124094, 3.022979, 0.795105, 2.585320, 2.164499, D
1.124094, 2.951056, 0.595392, 2.585320, 2.244910, D
1.124094, 2.804810, 0.503508, 2.585320, 2.378868, D
1.124094, 2.787541, 0.412527, 2.585320, 2.123958, D
1.124094, 2.765242, 0.397386, 2.585320, 2.112792, D
1.124094, 2.757631, 0.363860, 2.585320, 2.159160, D
1.124094, 2.707704, 0.378681, 2.585320, 2.243828, D
1.124094, 2.677202, 0.409668, 2.585320, 2.151374, D
1.124094, 2.752036, 0.435472, 2.585320, 2.089435, D
1.124094, 2.972291, 0.462790, 2.585320, 1.619154, D
1.124094, 3.234892, 0.506925, 2.585320, 1.822391, D
1.124094, 3.733395, 0.586787, 2.585320, 1.550514, D
1.124094, 4.085869, 0.615583, 2.585320, 1.638307, D
1.124094, 4.903856, 0.790201, 2.585320, 1.322509, D
1.124094, 6.144475, 1.102680, 2.585320, 1.074034, D
1.124094, 7.358950, 1.244372, 2.585320, 1.217020, D
1.124094, 9.042751, 1.675422, 2.585320, 1.069009, D
1.124094, 10.615495, 1.755219, 2.585320, 1.430953, D
1.124094, 12.323124, 2.065814, 2.585320, 1.538996, D
1.124094, 12.481017, 1.708647, 2.585320, 2.070078, D
1.124094, 11.636618, 1.382044, 2.585320, 2.433985, D
1.124094, 11.078921, 1.546685, 2.585320, 2.264456, D
1.124094, 9.967347, 1.305917, 2.585320, 2.456535, D
1.124094, 9.348281, 1.312200, 2.585320, 2.431406, D
1.124094, 9.040889, 1.192525, 2.585320, 2.186762, D
1.124094, 8.947136, 1.198113, 2.585320, 2.243253, D
1.124094, 9.393768, 1.570304, 2.585320, 1.855700, D
1.124094, 9.537030, 1.391429, 2.585320, 2.112029, D
1.124094, 9.627090, 1.362812, 2.585320, 2.061530, D
1.124094, 10.004293, 1.273781, 2.585320, 1.950204, D
1.124094, 10.783817, 1.580208, 2.585320, 1.704410, D
1.124094, 12.369475, 1.863832, 2.585320, 1.466079, D
1.124094, 14.651131, 2.027609, 2.585320, 1.265758, D
1.124094, 17.429521, 2.566299, 2.585320, 1.170005, D
1.124094, 18.302063, 2.743140, 2.585320, 1.905389, D
1.124094, 17.912185, 2.917488, 2.585320, 2.279594, D
1.124094, 17.489568, 2.628135, 2.585320, 2.171668, D
1.124094, 16.488616, 2.344310, 2.585320, 2.357309, D
1.124094, 15.375144, 2.123914, 2.585320, 2.309561, D
1.124094, 14.596863, 2.221518, 2.585320, 2.356637, D
1.124094, 13.583062, 1.994162, 2.585320, 2.456054, D
1.124094, 13.009018, 2.102847, 2.585320, 2.283485, D
1.124094, 12.417301, 2.076596, 2.585320, 2.227948, D
1.124094, 11.647565, 1.891526, 2.585320, 2.357049, D
1.124094, 11.107992, 1.539042, 2.585320, 2.326788, D
1.124094, 10.695856, 1.350258, 2.585320, 2.408343, D
1.124094, 10.188451, 1.384730, 2.585320, 2.384587, D
1.124094, 9.653684, 1.171107, 2.585320, 2.350469, D
1.124094, 9.021447, 1.124843, 2.585320, 2.378494, D
1.124094, 8.662522, 1.025196, 2.585320, 2.253699, D
1.124094, 8.608098, 1.208136, 2.585320, 2.220686, D
1.124094, 8.397654, 1.217308, 2.585320, 2.203614, D
