amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.736620, 3.327490, 0.841859, 4.087576, 2.311482, H
0.736620, 4.138441, 0.876233, 4.087576, 1.599447, H
0.736620, 4.955377, 0.924511, 4.087576, 1.845783, H
0.736620, 5.648346, 0.928090, 4.087576, 2.204975, H
0.736620, 5.981238, 0.894741, 4.087576, 2.727166, H
0.736620, 6.522457, 1.148477, 4.087576, 2.648306, H
0.736620, 6.385298, 0.829111, 4.087576, 3.404344, H
0.736620, 6.474611, 0.955573, 4.087576, 3.157747, H
0.736620, 6.674935, 0.822748, 4.087576, 2.825191, H
0.736620, 6.826328, 0.818585, 4.087576, 3.134137, H
0.736620, 6.925269, 0.884340, 4.087576, 3.161115, H
0.736620, 7.482793, 1.011496, 4.087576, 2.696937, H
0.736620, 7.910912, 1.064176, 4.087576, 2.756554, H
0.736620, 7.740664, 1.087102, 4.087576, 3.448220, H
0.736620, 7.574003, 1.020890, 4.087576, 3.454801, H
0.736620, 7.598804, 1.006212, 4.087576, 3.094283, H
0.736620, 7.536742, 0.969439, 4.087576, 3.253901, H
0.736620, 7.719534, 1.187545, 4.087576, 3.163048, H
0.736620, 7.884413, 1.167752, 4.087576, 3.000691, H
0.736620, 7.939020, 1.120906, 4.087576, 3.182947, H
0.736620, 8.143622, 1.154303, 4.087576, 3.142438, H
0.736620, 8.189757, 1.098651, 4.087576, 3.217224, H
0.736620, 8.593597, 1.345324, 4.087576, 2.916622, H
0.736620, 9.564949, 1.518393, 4.087576, 2.643323, H
0.736620, 10.776205, 1.512127, 4.087576, 2.441474, H
0.736620, 11.964929, 1.696231, 4.087576, 2.397377, H
0.736620, 13.174192, 1.619708, 4.087576, 2.360510, H
0.736620, 14.275789, 2.046393, 4.087576, 2.674187, H
0.736620, 15.559045, 2.146677, 4.087576, 2.674187, H
0.736620, 16.037581, 2.146157, 4.087576, 3.193258, H
0.736620, 14.678346, 1.881057, 4.087576, 3.904899, H
0.736620, 12.801173, 1.617801, 4.087576, 4.005069, H
0.736620, 11.144561, 1.500009, 4.087576, 3.924073, H
0.736620, 9.811463, 1.329183, 4.087576, 4.005824, H
0.736620, 8.789791, 1.233325, 4.087576, 4.005824, H
0.736620, 7.893653, 1.292606, 4.087576, 3.924073, H
0.736620, 6.742942, 1.103433, 4.087576, 4.005824, H
0.736620, 6.138495, 0.913078, 4.087576, 3.933326, H
0.736620, 5.519542, 0.767227, 4.087576, 3.964949, H
0.736620, 5.161652, 0.744177, 4.087576, 3.809614, H
0.736620, 4.915543, 0.692715, 4.087576, 3.597067, H
0.736620, 4.916084, 0.628239, 4.087576, 3.487548, H
0.736620, 5.038350, 0.736441, 4.087576, 3.433186, H
0.736620, 5.155290, 0.728562, 4.087576, 3.118189, H
0.736620, 5.273202, 0.749332, 4.087576, 3.248090, H
0.736620, 5.487257, 0.653655, 4.087576, 3.092850, H
0.736620, 6.079710, 0.726584, 4.087576, 2.674104, H
0.736620, 7.330663, 0.956181, 4.087576, 1.982434, H
0.736620, 9.046646, 1.288308, 4.087576, 1.696304, H
0.736620, 11.302121, 1.841222, 4.087576, 1.627882, H
0.736620, 14.453621, 2.581228, 4.087576, 1.429567, H
0.736620, 18.201713, 3.441164, 4.087576, 1.621007, H
0.736620, 22.192321, 3.815683, 4.087576, 1.738826, H
0.736620, 26.969591, 3.992285, 4.087576, 1.738826, H
0.736620, 27.341463, 3.514930, 4.087576, 3.192329, H
