amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.688203, 3.100050, 0.771646, 4.042147, 2.718742, I
0.688203, 3.261458, 0.559307, 4.042147, 2.982692, I
0.688203, 3.237588, 0.433962, 4.042147, 3.230933, I
0.688203, 3.393760, 0.470125, 4.042147, 2.952247, I
0.688203, 3.527910, 0.573347, 4.042147, 3.051753, I
0.688203, 3.472451, 0.499231, 4.042147, 3.405960, I
0.688203, 3.454428, 0.457173, 4.042147, 3.453931, I
0.688203, 3.431114, 0.423869, 4.042147, 3.290934, I
0.688203, 3.566446, 0.488568, 4.042147, 3.063728, I
0.688203, 3.707843, 0.467962, 4.042147, 2.834184, I
0.688203, 3.978560, 0.538730, 4.042147, 2.664485, I
0.688203, 4.185998, 0.638461, 4.042147, 2.923997, I
0.688203, 4.550836, 0.714163, 4.042147, 2.892991, I
0.688203, 5.178746, 0.891440, 4.042147, 2.445904, I
0.688203, 6.035615, 0.984243, 4.042147, 2.187694, I
0.688203, 6.653466, 0.865360, 4.042147, 2.511066, I
0.688203, 7.417011, 0.941695, 4.042147, 2.421948, I
0.688203, 8.405023, 1.113246, 4.042147, 2.280175, I
0.688203, 9.443442, 1.281403, 4.042147, 2.470645, I
0.688203, 10.554437, 1.532635, 4.042147, 2.407963, I
0.688203, 12.092012, 1.742195, 4.042147, 2.305008, I
0.688203, 13.424294, 1.837175, 4.042147, 2.302859, I
0.688203, 15.957546, 2.512899, 4.042147, 2.004936, I
0.688203, 15.540657, 2.260421, 4.042147, 3.392926, I
0.688203, 14.020218, 2.025869, 4.042147, 3.859660, I
0.688203, 12.028104, 1.820595, 4.042147, 3.920882, I
0.688203, 10.263749, 1.671654, 4.042147, 4.035611, I
0.688203, 8.780613, 1.316390, 4.042147, 3.998918, I
0.688203, 7.611151, 1.153907, 4.042147, 3.992309, I
0.688203, 6.787199, 1.037732, 4.042147, 3.842327, I
0.688203, 6.108672, 0.956605, 4.042147, 3.920709, I
0.688203, 5.273111, 0.773336, 4.042147, 3.961304, I
0.688203, 4.833188, 0.696693, 4.042147, 3.800900, I
0.688203, 4.276539, 0.580887, 4.042147, 3.855844, I
0.688203, 4.044193, 0.632578, 4.042147, 3.717597, I
0.688203, 3.796270, 0.630616, 4.042147, 3.628987, I
0.688203, 3.464776, 0.491654, 4.042147, 3.766702, I
0.688203, 3.382398, 0.433896, 4.042147, 3.561811, I
0.688203, 3.624490, 0.540315, 4.042147, 2.901279, I
0.688203, 3.835577, 0.559587, 4.042147, 2.994132, I
0.688203, 4.372805, 0.647893, 4.042147, 2.261735, I
0.688203, 5.057574, 0.783434, 4.042147, 2.062724, I
0.688203, 5.727301, 0.921249, 4.042147, 2.196798, I
0.688203, 6.819022, 1.011791, 4.042147, 1.946917, I
0.688203, 7.907206, 1.118766, 4.042147, 2.027760, I
0.688203, 9.223564, 1.335028, 4.042147, 2.068181, I
0.688203, 10.787062, 1.625056, 4.042147, 1.906495, I
0.688203, 12.871351, 1.908097, 4.042147, 1.855832, I
0.688203, 14.964157, 2.329915, 4.042147, 1.878954, I
0.688203, 17.532191, 2.435417, 4.042147, 1.937568, I
0.688203, 20.809750, 3.251700, 4.042147, 1.937568, I
0.688203, 23.858840, 4.062298, 4.042147, 2.151200, I
0.688203, 25.295495, 3.668077, 4.042147, 2.705748, I
0.688203, 24.303705, 3.290023, 4.042147, 3.263862, I
0.688203, 22.877855, 3.154965, 4.042147, 3.558874, I
0.688203, 20.613428, 2.399818, 4.042147, 3.759196, I
0.688203, 19.271660, 2.471456, 4.042147, 3.759853, I
0.688203, 18.406745, 2.751040, 4.042147, 3.479980, I
0.688203, 18.510435, 2.950154, 4.042147, 3.026314, I
0.688203, 19.030823, 2.904657, 4.042147, 3.134795, I
0.688203, 18.769510, 2.581152, 4.042147, 3.202219, I
0.688203, 21.286432, 2.941747, 4.042147, 2.344865, I
0.688203, 24.945579, 3.773569, 4.042147, 2.139256, I
0.688203, 28.427696, 4.999656, 4.042147, 2.340133, I
0.688203, 30.331856, 4.756826, 4.042147, 2.797351, I
0.688203, 30.490009, 4.353894, 4.042147, 3.102070, I
0.688203, 28.882653, 3.801970, 4.042147, 3.584221, I
0.688203, 26.231580, 4.083170, 4.042147, 3.919064, I
0.688203, 24.788529, 3.894245, 4.042147, 3.676439, I
0.688203, 22.700067, 3.488023, 4.042147, 3.905002, I
0.688203, 20.846976, 2.853020, 4.042147, 3.659534, I
0.688203, 19.250540, 2.756171, 4.042147, 3.787532, I
0.688203, 17.236017, 2.389911, 4.042147, 3.911348, I
0.688203, 15.347133, 2.050203, 4.042147, 3.961304, I
0.688203, 14.019798, 2.040923, 4.042147, 3.878471, I
0.688203, 13.008404, 1.779841, 4.042147, 3.826731, I
0.688203, 11.827276, 1.605247, 4.042147, 3.818105, I
0.688203, 11.376099, 1.680780, 4.042147, 3.658050, I
0.688203, 10.827083, 1.578796, 4.042147, 3.535852, I
0.688203, 10.595210, 1.551342, 4.042147, 3.535396, I
0.688203, 11.235316, 1.795936, 4.042147, 2.859372, I
0.688203, 12.215019, 2.039274, 4.042147, 2.619793, I
0.688203, 13.454172, 2.275349, 4.042147, 2.662761, I
0.688203, 15.234180, 2.845432, 4.042147, 2.358636, I
0.688203, 17.746572, 2.988269, 4.042147, 2.283720, I
0.688203, 20.721148, 3.706371, 4.042147, 2.301003, I
0.688203, 24.820160, 4.784902, 4.042147, 1.796023, I
0.688203, 27.497690, 4.558164, 4.042147, 2.542736, I
0.688203, 30.577604, 4.453721, 4.042147, 2.655270, I
0.688203, 31.663725, 3.858135, 4.042147, 2.986119, I
0.688203, 29.555193, 3.555280, 4.042147, 3.681924, I
0.688203, 27.467072, 3.354200, 4.042147, 3.712896, I
0.688203, 23.649671, 2.866830, 4.042147, 4.001725, I
0.688203, 20.239569, 2.817852, 4.042147, 3.973307, I
0.688203, 17.110961, 2.400592, 4.042147, 4.042147, I
0.688203, 15.052121, 2.367399, 4.042147, 3.976459, I
0.688203, 13.262832, 1.957100, 4.042147, 3.961304, I
0.688203, 11.485086, 1.691746, 4.042147, 4.001725, I
0.688203, 10.250397, 1.378125, 4.042147, 3.899326, I
0.688203, 9.370775, 1.269677, 4.042147, 3.796100, I
