amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.124094, 3.184207, 0.812562, 2.585320, 4283024063391114800.000000, D
1.124094, 2.903477, 0.509567, 2.585320, 12760550809482731000000.000000, D
1.124094, 3.267064, 0.430899, 2.585320, 514479733481789.400000, D
1.124094, 4.220746, 0.558459, 2.585320, 94705.014418, D
1.124094, 3.163437, 0.379780, 2.585320, 0.000000, D
1.124094, 2.406453, 0.292254, 2.585320, 0.000000, D
1.124094, 1.841687, 0.264642, 2.585320, 0.000000, D
1.124094, 1.463452, 0.241760, 2.585320, 0.000000, D
1.124094, 1.238218, 0.197664, 2.585320, 0.000000, D
1.124094, 1.464113, 0.224298, 2.585320, 5130683738.565195, D
1.124094, 2.183141, 0.350407, 2.585320, 0.000000, D
1.124094, 3.251930, 0.535674, 2.585320, 0.000000, D
1.124094, 4.531788, 0.790165, 2.585320, 101.079538, D
1.124094, 4.039844, 0.516892, 2.585320, 86.971354, D
1.124094, 3.466967, 0.359674, 2.585320, 333.022722, D
1.124094, 2.784141, 0.272467, 2.585320, 0.000000, D
1.124094, 2.216029, 0.261279, 2.585320, 0.000000, D
1.124094, 1.819461, 0.232859, 2.585320, 0.000000, D
1.124094, 1.558813, 0.208456, 2.585320, 0.000000, D
1.124094, 1.368476, 0.168269, 2.585320, 0.000000, D
1.124094, 1.355203, 0.180335, 2.585320, 27085356207725277000.000000, D
1.124094, 1.699061, 0.248836, 2.585320, 254546878.759151, D
1.124094, 1.218212, 0.181626, 2.585320, 0.000000, D
1.124094, 0.867127, 0.142479, 2.585320, 0.000000, D
1.124094, 0.630556, 0.122548, 2.585320, 0.000000, D
1.124094, 0.470821, 0.098550, 2.585320, 0.000000, D
1.124094, 0.357593, 0.079795, 2.585320, 0.000000, D
1.124094, 0.284414, 0.066787, 2.585320, 0.000000, D
1.124094, 0.240122, 0.049918, 2.585320, 0.000000, D
1.124094, 0.285767, 0.050172, 2.585320, 79930.254218, D
1.124094, 0.426262, 0.078821, 2.585320, 0.000000, D
1.124094, 0.435670, 0.051980, 2.585320, 826564218148398.100000, D
1.124094, 0.312699, 0.039875, 2.585320, 0.000000, D
1.124094, 0.231630, 0.034181, 2.585320, 0.000000, D
1.124094, 0.170979, 0.031368, 2.585320, 0.000000, D
1.124094, 0.132880, 0.028502, 2.585320, 0.000000, D
1.124094, 0.102639, 0.023842, 2.585320, 0.000000, D
1.124094, 0.083244, 0.018519, 2.585320, 0.000000, D
1.124094, 0.079637, 0.015022, 2.585320, 19487448289904808000.000000, D
1.124094, 0.111793, 0.022046, 2.585320, 45.967092, D
1.124094, 0.104088, 0.017848, 2.585320, 141945308476448.400000, D
1.124094, 0.081398, 0.012784, 2.585320, 0.000000, D
1.124094, 0.063106, 0.010232, 2.585320, 0.000000, D
1.124094, 0.049152, 0.008248, 2.585320, 0.000000, D
1.124094, 0.039649, 0.006424, 2.585320, 0.000000, D
1.124094, 0.034386, 0.005196, 2.585320, 0.000000, D
1.124094, 0.028083, 0.004145, 2.585320, 0.000000, D
1.124094, 0.022208, 0.003284, 2.585320, 0.000000, D
1.124094, 0.017330, 0.002897, 2.585320, 0.000000, D
1.124094, 0.013671, 0.002491, 2.585320, 0.000000, D
1.124094, 0.011085, 0.002047, 2.585320, 0.000000, D
1.124094, 0.009481, 0.001595, 2.585320, 1232.955782, D
1.124094, 0.008829, 0.001236, 2.585320, 46565748703491104.000000, D
1.124094, 0.010688, 0.001521, 2.585320, 172882.460075, D
1.124094, 0.007570, 0.001080, 2.585320, 0.000000, D
1.124094, 0.005410, 0.000819, 2.585320, 0.000000, D
1.124094, 0.003913, 0.000687, 2.585320, 0.000000, D
1.124094, 0.002846, 0.000592, 2.585320, 0.000000, D
1.124094, 0.002158, 0.000507, 2.585320, 0.000000, D
1.124094, 0.001654, 0.000426, 2.585320, 0.000000, D
1.124094, 0.001389, 0.000329, 2.585320, 0.000000, D
1.124094, 0.001453, 0.000253, 2.585320, 220142686040752256.000000, D
1.124094, 0.002103, 0.000360, 2.585320, 0.361771, D
1.124094, 0.003134, 0.000550, 2.585320, 0.000000, D
1.124094, 0.004175, 0.000750, 2.585320, 43315.043609, D
1.124094, 0.002886, 0.000546, 2.585320, 0.000000, D
1.124094, 0.002005, 0.000424, 2.585320, 0.000000, D
1.124094, 0.001416, 0.000327, 2.585320, 0.000000, D
1.124094, 0.000998, 0.000252, 2.585320, 0.000000, D
1.124094, 0.000727, 0.000202, 2.585320, 0.000000, D
1.124094, 0.000549, 0.000161, 2.585320, 0.000000, D
1.124094, 0.000424, 0.000128, 2.585320, 0.000000, D
1.124094, 0.000346, 0.000099, 2.585320, 0.000000, D
1.124094, 0.000295, 0.000073, 2.585320, 2248806.830226, D
1.124094, 0.000332, 0.000062, 2.585320, 91001709375697.940000, D
1.124094, 0.000481, 0.000089, 2.585320, 0.051677, D
1.124094, 0.000717, 0.000135, 2.585320, 0.000000, D
1.124094, 0.000583, 0.000092, 2.585320, 0.000000, D
1.124094, 0.000471, 0.000071, 2.585320, 0.000000, D
1.124094, 0.000383, 0.000058, 2.585320, 0.000000, D
1.124094, 0.000307, 0.000047, 2.585320, 0.000000, D
1.124094, 0.000231, 0.000038, 2.585320, 0.000000, D
1.124094, 0.000180, 0.000030, 2.585320, 0.000000, D
1.124094, 0.000142, 0.000026, 2.585320, 0.000000, D
1.124094, 0.000119, 0.000022, 2.585320, 5747081535.791250, D
1.124094, 0.000107, 0.000020, 2.585320, 2.957128, D
1.124094, 0.000115, 0.000020, 2.585320, 196318337.300329, D
1.124094, 0.000118, 0.000016, 2.585320, 466983979873022600000.000000, D
1.124094, 0.000103, 0.000010, 2.585320, 3761754325450304000000.000000, D
1.124094, 0.000098, 0.000011, 2.585320, 1743905224501226750.000000, D
1.124094, 0.000074, 0.000008, 2.585320, 0.000000, D
1.124094, 0.000056, 0.000007, 2.585320, 0.000000, D
1.124094, 0.000042, 0.000006, 2.585320, 0.000000, D
1.124094, 0.000031, 0.000006, 2.585320, 0.000000, D
1.124094, 0.000024, 0.000005, 2.585320, 0.000000, D
1.124094, 0.000019, 0.000004, 2.585320, 0.000000, D
1.124094, 0.000016, 0.000004, 2.585320, 0.000000, D
1.124094, 0.000014, 0.000003, 2.585320, 3559714766695345000000.000000, D
