amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.660540, 1.047197, 4.986297, 747141.328606, F
0.453340, 2.968029, 0.675045, 4.986297, 0.000000, F
0.453340, 2.877589, 0.439722, 4.986297, 187903458320168320000.000000, F
0.453340, 3.893359, 0.610391, 4.986297, 668.620459, F
0.453340, 3.352110, 0.381900, 4.986297, 6146778968877.528000, F
0.453340, 4.378962, 0.536029, 4.986297, 6274.943181, F
0.453340, 3.699341, 0.419720, 4.986297, 3150945491899.867700, F
0.453340, 4.150758, 0.593893, 4.986297, 105681654648.998890, F
0.453340, 4.548149, 0.518002, 4.986297, 4569490985642.262000, F
0.453340, 3.825536, 0.343123, 4.986297, 0.026865, F
0.453340, 3.741690, 0.406816, 4.986297, 2838195736282596400000.000000, F
0.453340, 5.139852, 0.625896, 4.986297, 1089.133830, F
0.453340, 3.541744, 0.423253, 4.986297, 0.000000, F
0.453340, 2.494307, 0.355505, 4.986297, 0.000000, F
0.453340, 1.842283, 0.305448, 4.986297, 0.000000, F
0.453340, 1.438615, 0.258010, 4.986297, 0.000000, F
0.453340, 1.452766, 0.207273, 4.986297, 3299483744496882.000000, F
0.453340, 2.164532, 0.323321, 4.986297, 0.000000, F
0.453340, 1.825608, 0.228645, 4.986297, 0.000000, F
0.453340, 1.508706, 0.174364, 4.986297, 0.000000, F
0.453340, 1.759472, 0.248527, 4.986297, 181668425301.794740, F
0.453340, 1.384099, 0.186741, 4.986297, 0.000000, F
0.453340, 1.163622, 0.161403, 4.986297, 6685525378.621734, F
0.453340, 1.291105, 0.186737, 4.986297, 15978930940.050990, F
0.453340, 1.297853, 0.161010, 4.986297, 2092629378082846210.000000, F
0.453340, 0.907881, 0.122153, 4.986297, 0.000000, F
0.453340, 0.649685, 0.099105, 4.986297, 0.000000, F
0.453340, 0.484617, 0.090183, 4.986297, 0.000000, F
0.453340, 0.385029, 0.071293, 4.986297, 0.000000, F
0.453340, 0.402391, 0.059122, 4.986297, 148836085913656864.000000, F
0.453340, 0.442536, 0.053401, 4.986297, 1604477126683.042700, F
0.453340, 0.396094, 0.040286, 4.986297, 4538297316154777000000000.000000, F
0.453340, 0.329608, 0.032362, 4.986297, 0.000000, F
0.453340, 0.312880, 0.031345, 4.986297, 22656270939731700000000.000000, F
0.453340, 0.226056, 0.026064, 4.986297, 0.000000, F
0.453340, 0.167664, 0.024528, 4.986297, 0.000000, F
0.453340, 0.128155, 0.020576, 4.986297, 0.000000, F
0.453340, 0.114007, 0.015811, 4.986297, 3129733612330719000000.000000, F
0.453340, 0.160835, 0.023220, 4.986297, 5.394609, F
0.453340, 0.132576, 0.016685, 4.986297, 0.000000, F
0.453340, 0.097716, 0.013715, 4.986297, 0.000000, F
0.453340, 0.072920, 0.012354, 4.986297, 0.000000, F
0.453340, 0.055172, 0.010367, 4.986297, 0.000000, F
0.453340, 0.046789, 0.008178, 4.986297, 5229323.275344, F
0.453340, 0.048586, 0.008000, 4.986297, 5265975269562591200.000000, F
0.453340, 0.036073, 0.005676, 4.986297, 0.000000, F
0.453340, 0.026809, 0.004645, 4.986297, 0.000000, F
0.453340, 0.020820, 0.003832, 4.986297, 0.000000, F
0.453340, 0.016765, 0.003066, 4.986297, 0.000000, F
0.453340, 0.017738, 0.003027, 4.986297, 10070300970.767345, F
0.453340, 0.012834, 0.002181, 4.986297, 0.000000, F
0.453340, 0.009461, 0.001636, 4.986297, 0.000000, F
0.453340, 0.007212, 0.001269, 4.986297, 0.000000, F
0.453340, 0.006066, 0.000960, 4.986297, 4751133086124694300000000000.000000, F
0.453340, 0.006671, 0.000937, 4.986297, 167099185104804.200000, F
0.453340, 0.009716, 0.001449, 4.986297, 0.493426, F
0.453340, 0.007588, 0.000976, 4.986297, 0.000000, F
0.453340, 0.006502, 0.000790, 4.986297, 9595.410271, F
0.453340, 0.008749, 0.001098, 4.986297, 4361.135975, F
0.453340, 0.006041, 0.000876, 4.986297, 0.000000, F
0.453340, 0.004246, 0.000726, 4.986297, 0.000000, F
0.453340, 0.003058, 0.000624, 4.986297, 0.000000, F
