amtProduced_need, avg_price, sd, consumption_rate, char
1.236869, 3.187020, 0.911360, 2.978407,A
1.236869, 3.190055, 0.722325, 2.978407,A
1.236869, 3.035329, 0.531706, 2.978407,A
1.236869, 3.069317, 0.451556, 2.978407,A
1.236869, 2.857571, 0.331964, 2.978407,A
1.236869, 2.664953, 0.270350, 2.978407,A
1.236869, 2.542374, 0.265374, 2.978407,A
1.236869, 2.370023, 0.243558, 2.978407,A
1.236869, 2.245477, 0.231249, 2.978407,A
1.236869, 2.110364, 0.216468, 2.978407,A
1.236869, 2.024349, 0.200119, 2.978407,A
1.236869, 1.795436, 0.171356, 2.978407,A
1.236869, 1.610556, 0.162116, 2.978407,A
1.236869, 1.426523, 0.147604, 2.978407,A
1.236869, 1.271320, 0.141228, 2.978407,A
1.236869, 1.145934, 0.134092, 2.978407,A
1.236869, 1.024113, 0.125627, 2.978407,A
1.236869, 0.966603, 0.117679, 2.978407,A
1.236869, 0.887719, 0.103275, 2.978407,A
1.236869, 0.807216, 0.092699, 2.978407,A
1.236869, 0.752537, 0.087908, 2.978407,A
1.236869, 0.683074, 0.072373, 2.978407,A
1.236869, 0.629364, 0.064229, 2.978407,A
1.236869, 0.555962, 0.061719, 2.978407,A
1.236869, 0.482562, 0.053804, 2.978407,A
1.236869, 0.418006, 0.049657, 2.978407,A
1.236869, 0.361087, 0.046521, 2.978407,A
1.236869, 0.314819, 0.044241, 2.978407,A
1.236869, 0.279314, 0.041424, 2.978407,A
1.236869, 0.249263, 0.038239, 2.978407,A
1.236869, 0.223232, 0.034682, 2.978407,A
1.236869, 0.201754, 0.031328, 2.978407,A
1.236869, 0.185105, 0.028348, 2.978407,A
1.236869, 0.168532, 0.023941, 2.978407,A
1.236869, 0.150819, 0.020700, 2.978407,A
1.236869, 0.132621, 0.017913, 2.978407,A
1.236869, 0.115937, 0.016527, 2.978407,A
1.236869, 0.100930, 0.014724, 2.978407,A
1.236869, 0.087986, 0.013101, 2.978407,A
1.236869, 0.077235, 0.011725, 2.978407,A
1.236869, 0.067956, 0.010193, 2.978407,A
1.236869, 0.059801, 0.008852, 2.978407,A
1.236869, 0.053254, 0.008037, 2.978407,A
1.236869, 0.047099, 0.007189, 2.978407,A
1.236869, 0.041752, 0.006708, 2.978407,A
1.236869, 0.035972, 0.005943, 2.978407,A
1.236869, 0.031051, 0.005277, 2.978407,A
1.236869, 0.026913, 0.004773, 2.978407,A
1.236869, 0.023363, 0.004210, 2.978407,A
1.236869, 0.020218, 0.003776, 2.978407,A
1.236869, 0.017588, 0.003345, 2.978407,A
