amtProduced_need, avg_price, sd, consumption_rate, char
2.009290, 2.983062, 0.876131, 1.912332,B
2.009290, 2.947062, 0.662759, 1.912332,B
2.009290, 2.843639, 0.523010, 1.912332,B
2.009290, 2.809269, 0.430433, 1.912332,B
2.009290, 3.025995, 0.447729, 1.912332,B
2.009290, 2.759684, 0.331887, 1.912332,B
2.009290, 2.567933, 0.298395, 1.912332,B
2.009290, 2.374218, 0.258863, 1.912332,B
2.009290, 2.175281, 0.238582, 1.912332,B
2.009290, 1.971268, 0.227625, 1.912332,B
2.009290, 1.804540, 0.236628, 1.912332,B
2.009290, 1.674244, 0.223633, 1.912332,B
2.009290, 1.551383, 0.201915, 1.912332,B
2.009290, 1.440819, 0.181775, 1.912332,B
2.009290, 1.341962, 0.166957, 1.912332,B
2.009290, 1.231146, 0.150169, 1.912332,B
2.009290, 1.129901, 0.143261, 1.912332,B
2.009290, 1.019678, 0.126683, 1.912332,B
2.009290, 0.900561, 0.112655, 1.912332,B
2.009290, 0.793657, 0.108269, 1.912332,B
2.009290, 0.698748, 0.097734, 1.912332,B
2.009290, 0.618956, 0.087704, 1.912332,B
2.009290, 0.544277, 0.078913, 1.912332,B
2.009290, 0.487132, 0.075234, 1.912332,B
2.009290, 0.436927, 0.068443, 1.912332,B
2.009290, 0.391882, 0.062983, 1.912332,B
2.009290, 0.358387, 0.062420, 1.912332,B
2.009290, 0.319684, 0.055339, 1.912332,B
2.009290, 0.285072, 0.050740, 1.912332,B
2.009290, 0.252302, 0.044070, 1.912332,B
2.009290, 0.226069, 0.037640, 1.912332,B
2.009290, 0.200347, 0.032910, 1.912332,B
2.009290, 0.180206, 0.028332, 1.912332,B
2.009290, 0.161409, 0.024812, 1.912332,B
2.009290, 0.143658, 0.022054, 1.912332,B
2.009290, 0.126394, 0.019257, 1.912332,B
2.009290, 0.111941, 0.017497, 1.912332,B
2.009290, 0.099184, 0.015795, 1.912332,B
2.009290, 0.086874, 0.013750, 1.912332,B
2.009290, 0.075752, 0.012618, 1.912332,B
2.009290, 0.066541, 0.011113, 1.912332,B
2.009290, 0.057879, 0.010096, 1.912332,B
2.009290, 0.050537, 0.008829, 1.912332,B
2.009290, 0.044250, 0.007848, 1.912332,B
2.009290, 0.038713, 0.007020, 1.912332,B
2.009290, 0.033899, 0.006012, 1.912332,B
2.009290, 0.029771, 0.005157, 1.912332,B
2.009290, 0.026659, 0.004882, 1.912332,B
2.009290, 0.023710, 0.004274, 1.912332,B
2.009290, 0.021337, 0.003729, 1.912332,B
2.009290, 0.019281, 0.003299, 1.912332,B
2.009290, 0.016853, 0.002795, 1.912332,B
2.009290, 0.014796, 0.002446, 1.912332,B
2.009290, 0.012806, 0.002188, 1.912332,B
2.009290, 0.011133, 0.001952, 1.912332,B
2.009290, 0.009636, 0.001768, 1.912332,B
2.009290, 0.008350, 0.001572, 1.912332,B
2.009290, 0.007192, 0.001402, 1.912332,B
2.009290, 0.006226, 0.001257, 1.912332,B
2.009290, 0.005356, 0.001095, 1.912332,B
2.009290, 0.004646, 0.000954, 1.912332,B
2.009290, 0.004068, 0.000876, 1.912332,B
2.009290, 0.003589, 0.000780, 1.912332,B
2.009290, 0.003134, 0.000699, 1.912332,B
2.009290, 0.002733, 0.000624, 1.912332,B
2.009290, 0.002417, 0.000558, 1.912332,B
2.009290, 0.002142, 0.000485, 1.912332,B
2.009290, 0.001872, 0.000417, 1.912332,B
