amtProduced_need, avg_price, sd, consumption_rate, char
1.427492, 3.278164, 1.093270, 2.021896,C
1.427492, 3.144124, 0.802817, 2.021896,C
1.427492, 3.001494, 0.599599, 2.021896,C
1.427492, 2.821233, 0.432007, 2.021896,C
1.427492, 2.765856, 0.361929, 2.021896,C
1.427492, 2.793141, 0.301645, 2.021896,C
1.427492, 2.544190, 0.261657, 2.021896,C
1.427492, 2.330024, 0.216518, 2.021896,C
1.427492, 2.154106, 0.212166, 2.021896,C
1.427492, 2.009449, 0.230551, 2.021896,C
1.427492, 1.901281, 0.224726, 2.021896,C
1.427492, 1.780503, 0.204034, 2.021896,C
1.427492, 1.631061, 0.171237, 2.021896,C
1.427492, 1.473882, 0.140470, 2.021896,C
1.427492, 1.360017, 0.115888, 2.021896,C
1.427492, 1.215037, 0.108419, 2.021896,C
1.427492, 1.081723, 0.114938, 2.021896,C
1.427492, 0.956690, 0.111557, 2.021896,C
1.427492, 0.868148, 0.115654, 2.021896,C
1.427492, 0.773699, 0.108315, 2.021896,C
1.427492, 0.703952, 0.105409, 2.021896,C
1.427492, 0.631928, 0.098471, 2.021896,C
1.427492, 0.579999, 0.087674, 2.021896,C
1.427492, 0.527131, 0.073367, 2.021896,C
1.427492, 0.468510, 0.065439, 2.021896,C
1.427492, 0.415738, 0.055401, 2.021896,C
1.427492, 0.370501, 0.049950, 2.021896,C
1.427492, 0.328021, 0.044910, 2.021896,C
1.427492, 0.291784, 0.040594, 2.021896,C
1.427492, 0.256945, 0.038121, 2.021896,C
1.427492, 0.229634, 0.035760, 2.021896,C
1.427492, 0.203679, 0.032552, 2.021896,C
1.427492, 0.183175, 0.028490, 2.021896,C
1.427492, 0.162786, 0.024883, 2.021896,C
1.427492, 0.142829, 0.022629, 2.021896,C
1.427492, 0.125881, 0.020053, 2.021896,C
1.427492, 0.110861, 0.018170, 2.021896,C
1.427492, 0.096907, 0.016086, 2.021896,C
1.427492, 0.085055, 0.013962, 2.021896,C
1.427492, 0.075001, 0.012704, 2.021896,C
1.427492, 0.066315, 0.011552, 2.021896,C
1.427492, 0.058035, 0.010098, 2.021896,C
1.427492, 0.050977, 0.008948, 2.021896,C
1.427492, 0.045374, 0.008026, 2.021896,C
1.427492, 0.039550, 0.007034, 2.021896,C
1.427492, 0.034798, 0.006202, 2.021896,C
1.427492, 0.030659, 0.005299, 2.021896,C
1.427492, 0.027061, 0.004936, 2.021896,C
1.427492, 0.023967, 0.004427, 2.021896,C
1.427492, 0.021145, 0.003907, 2.021896,C
1.427492, 0.018559, 0.003390, 2.021896,C
1.427492, 0.016358, 0.003051, 2.021896,C
1.427492, 0.014328, 0.002801, 2.021896,C
1.427492, 0.012596, 0.002606, 2.021896,C
1.427492, 0.010951, 0.002212, 2.021896,C
1.427492, 0.009497, 0.001922, 2.021896,C
1.427492, 0.008205, 0.001677, 2.021896,C
1.427492, 0.007133, 0.001452, 2.021896,C
1.427492, 0.006260, 0.001320, 2.021896,C
1.427492, 0.005465, 0.001157, 2.021896,C
1.427492, 0.004787, 0.001043, 2.021896,C
1.427492, 0.004205, 0.000947, 2.021896,C
1.427492, 0.003714, 0.000843, 2.021896,C
1.427492, 0.003251, 0.000729, 2.021896,C
1.427492, 0.002806, 0.000641, 2.021896,C
1.427492, 0.002441, 0.000569, 2.021896,C
1.427492, 0.002109, 0.000480, 2.021896,C
1.427492, 0.001808, 0.000416, 2.021896,C
1.427492, 0.001602, 0.000370, 2.021896,C
1.427492, 0.001408, 0.000309, 2.021896,C
1.427492, 0.001234, 0.000269, 2.021896,C
1.427492, 0.001078, 0.000235, 2.021896,C
1.427492, 0.000952, 0.000207, 2.021896,C
1.427492, 0.000834, 0.000186, 2.021896,C
1.427492, 0.000737, 0.000165, 2.021896,C
1.427492, 0.000653, 0.000148, 2.021896,C
1.427492, 0.000568, 0.000130, 2.021896,C
1.427492, 0.000493, 0.000113, 2.021896,C
1.427492, 0.000424, 0.000100, 2.021896,C
1.427492, 0.000365, 0.000085, 2.021896,C
1.427492, 0.000313, 0.000074, 2.021896,C
1.427492, 0.000271, 0.000065, 2.021896,C
1.427492, 0.000233, 0.000056, 2.021896,C
1.427492, 0.000200, 0.000047, 2.021896,C
1.427492, 0.000174, 0.000039, 2.021896,C
1.427492, 0.000152, 0.000034, 2.021896,C
1.427492, 0.000134, 0.000031, 2.021896,C
1.427492, 0.000118, 0.000027, 2.021896,C
1.427492, 0.000103, 0.000023, 2.021896,C
1.427492, 0.000089, 0.000020, 2.021896,C
1.427492, 0.000077, 0.000018, 2.021896,C
1.427492, 0.000067, 0.000016, 2.021896,C
1.427492, 0.000058, 0.000014, 2.021896,C
1.427492, 0.000050, 0.000012, 2.021896,C
1.427492, 0.000043, 0.000010, 2.021896,C
1.427492, 0.000037, 0.000009, 2.021896,C
1.427492, 0.000032, 0.000008, 2.021896,C
1.427492, 0.000028, 0.000007, 2.021896,C
1.427492, 0.000024, 0.000006, 2.021896,C
1.427492, 0.000020, 0.000005, 2.021896,C
1.427492, 0.000018, 0.000004, 2.021896,C
1.427492, 0.000015, 0.000004, 2.021896,C
1.427492, 0.000013, 0.000003, 2.021896,C
1.427492, 0.000012, 0.000003, 2.021896,C
1.427492, 0.000010, 0.000003, 2.021896,C
1.427492, 0.000009, 0.000002, 2.021896,C
1.427492, 0.000007, 0.000002, 2.021896,C
1.427492, 0.000007, 0.000002, 2.021896,C
1.427492, 0.000006, 0.000001, 2.021896,C
1.427492, 0.000005, 0.000001, 2.021896,C
1.427492, 0.000004, 0.000001, 2.021896,C
1.427492, 0.000004, 0.000001, 2.021896,C
1.427492, 0.000003, 0.000001, 2.021896,C
1.427492, 0.000003, 0.000001, 2.021896,C
1.427492, 0.000002, 0.000001, 2.021896,C
1.427492, 0.000002, 0.000001, 2.021896,C
1.427492, 0.000002, 0.000000, 2.021896,C
1.427492, 0.000002, 0.000000, 2.021896,C
1.427492, 0.000001, 0.000000, 2.021896,C
1.427492, 0.000001, 0.000000, 2.021896,C
1.427492, 0.000001, 0.000000, 2.021896,C
1.427492, 0.000001, 0.000000, 2.021896,C
1.427492, 0.000001, 0.000000, 2.021896,C
1.427492, 0.000001, 0.000000, 2.021896,C
1.427492, 0.000001, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
1.427492, 0.000000, 0.000000, 2.021896,C
