amtProduced_need, avg_price, sd, consumption_rate, char
1.315148, 3.028313, 0.955867, 2.585320,D
1.315148, 3.063694, 0.734698, 2.585320,D
1.315148, 3.052161, 0.572315, 2.585320,D
1.315148, 2.986082, 0.432389, 2.585320,D
1.315148, 2.807554, 0.334285, 2.585320,D
1.315148, 2.657007, 0.283234, 2.585320,D
1.315148, 2.568734, 0.259057, 2.585320,D
1.315148, 2.438765, 0.242281, 2.585320,D
1.315148, 2.279329, 0.210760, 2.585320,D
1.315148, 2.094016, 0.180047, 2.585320,D
1.315148, 1.906788, 0.174648, 2.585320,D
1.315148, 1.721738, 0.169758, 2.585320,D
1.315148, 1.567891, 0.167004, 2.585320,D
1.315148, 1.492848, 0.161613, 2.585320,D
1.315148, 1.388966, 0.144743, 2.585320,D
1.315148, 1.243584, 0.119109, 2.585320,D
1.315148, 1.113708, 0.102030, 2.585320,D
1.315148, 0.998846, 0.093943, 2.585320,D
1.315148, 0.883596, 0.094761, 2.585320,D
1.315148, 0.782325, 0.089033, 2.585320,D
1.315148, 0.703420, 0.090631, 2.585320,D
1.315148, 0.627584, 0.086746, 2.585320,D
1.315148, 0.564235, 0.082959, 2.585320,D
1.315148, 0.499834, 0.075190, 2.585320,D
1.315148, 0.446324, 0.070215, 2.585320,D
1.315148, 0.399210, 0.059950, 2.585320,D
1.315148, 0.366690, 0.055631, 2.585320,D
1.315148, 0.335204, 0.047655, 2.585320,D
1.315148, 0.301356, 0.042523, 2.585320,D
1.315148, 0.269918, 0.038138, 2.585320,D
1.315148, 0.238118, 0.032357, 2.585320,D
1.315148, 0.209745, 0.028421, 2.585320,D
1.315148, 0.184020, 0.024927, 2.585320,D
1.315148, 0.160328, 0.022487, 2.585320,D
1.315148, 0.141148, 0.020379, 2.585320,D
1.315148, 0.123804, 0.018944, 2.585320,D
1.315148, 0.110316, 0.016865, 2.585320,D
1.315148, 0.098777, 0.015279, 2.585320,D
1.315148, 0.088296, 0.013447, 2.585320,D
1.315148, 0.078591, 0.012199, 2.585320,D
1.315148, 0.069098, 0.010740, 2.585320,D
1.315148, 0.061110, 0.010103, 2.585320,D
1.315148, 0.053383, 0.008496, 2.585320,D
1.315148, 0.046857, 0.007556, 2.585320,D
1.315148, 0.041266, 0.006742, 2.585320,D
1.315148, 0.036891, 0.006020, 2.585320,D
1.315148, 0.032667, 0.005163, 2.585320,D
1.315148, 0.028468, 0.004513, 2.585320,D
1.315148, 0.025053, 0.003879, 2.585320,D
1.315148, 0.021798, 0.003367, 2.585320,D
1.315148, 0.018817, 0.002964, 2.585320,D
1.315148, 0.016379, 0.002699, 2.585320,D
1.315148, 0.014229, 0.002521, 2.585320,D
1.315148, 0.012385, 0.002328, 2.585320,D
1.315148, 0.010849, 0.002074, 2.585320,D
1.315148, 0.009545, 0.001883, 2.585320,D
1.315148, 0.008516, 0.001729, 2.585320,D
1.315148, 0.007544, 0.001512, 2.585320,D
1.315148, 0.006605, 0.001339, 2.585320,D
1.315148, 0.005731, 0.001153, 2.585320,D
1.315148, 0.005030, 0.001019, 2.585320,D
1.315148, 0.004401, 0.000869, 2.585320,D
1.315148, 0.003863, 0.000759, 2.585320,D
1.315148, 0.003354, 0.000637, 2.585320,D
1.315148, 0.002916, 0.000560, 2.585320,D
1.315148, 0.002543, 0.000504, 2.585320,D
1.315148, 0.002200, 0.000444, 2.585320,D
1.315148, 0.001881, 0.000388, 2.585320,D
1.315148, 0.001641, 0.000351, 2.585320,D
1.315148, 0.001449, 0.000304, 2.585320,D
1.315148, 0.001259, 0.000271, 2.585320,D
1.315148, 0.001106, 0.000246, 2.585320,D
1.315148, 0.000967, 0.000215, 2.585320,D
1.315148, 0.000831, 0.000181, 2.585320,D
1.315148, 0.000720, 0.000153, 2.585320,D
1.315148, 0.000629, 0.000135, 2.585320,D
1.315148, 0.000547, 0.000121, 2.585320,D
1.315148, 0.000475, 0.000106, 2.585320,D
1.315148, 0.000411, 0.000094, 2.585320,D
1.315148, 0.000358, 0.000083, 2.585320,D
1.315148, 0.000313, 0.000073, 2.585320,D
1.315148, 0.000274, 0.000065, 2.585320,D
1.315148, 0.000241, 0.000057, 2.585320,D
1.315148, 0.000212, 0.000048, 2.585320,D
1.315148, 0.000184, 0.000042, 2.585320,D
1.315148, 0.000160, 0.000036, 2.585320,D
1.315148, 0.000138, 0.000031, 2.585320,D
1.315148, 0.000119, 0.000027, 2.585320,D
1.315148, 0.000103, 0.000024, 2.585320,D
1.315148, 0.000089, 0.000021, 2.585320,D
1.315148, 0.000076, 0.000019, 2.585320,D
1.315148, 0.000066, 0.000017, 2.585320,D
1.315148, 0.000057, 0.000015, 2.585320,D
1.315148, 0.000050, 0.000013, 2.585320,D
1.315148, 0.000043, 0.000011, 2.585320,D
1.315148, 0.000038, 0.000010, 2.585320,D
1.315148, 0.000033, 0.000008, 2.585320,D
1.315148, 0.000029, 0.000007, 2.585320,D
1.315148, 0.000025, 0.000006, 2.585320,D
1.315148, 0.000022, 0.000006, 2.585320,D
1.315148, 0.000019, 0.000005, 2.585320,D
1.315148, 0.000016, 0.000004, 2.585320,D
1.315148, 0.000014, 0.000004, 2.585320,D
1.315148, 0.000012, 0.000003, 2.585320,D
1.315148, 0.000011, 0.000003, 2.585320,D
1.315148, 0.000009, 0.000002, 2.585320,D
1.315148, 0.000008, 0.000002, 2.585320,D
1.315148, 0.000007, 0.000002, 2.585320,D
1.315148, 0.000006, 0.000002, 2.585320,D
1.315148, 0.000005, 0.000001, 2.585320,D
1.315148, 0.000004, 0.000001, 2.585320,D
1.315148, 0.000004, 0.000001, 2.585320,D
1.315148, 0.000003, 0.000001, 2.585320,D
1.315148, 0.000003, 0.000001, 2.585320,D
1.315148, 0.000002, 0.000001, 2.585320,D
1.315148, 0.000002, 0.000001, 2.585320,D
1.315148, 0.000002, 0.000000, 2.585320,D
1.315148, 0.000002, 0.000000, 2.585320,D
1.315148, 0.000001, 0.000000, 2.585320,D
1.315148, 0.000001, 0.000000, 2.585320,D
1.315148, 0.000001, 0.000000, 2.585320,D
1.315148, 0.000001, 0.000000, 2.585320,D
1.315148, 0.000001, 0.000000, 2.585320,D
1.315148, 0.000001, 0.000000, 2.585320,D
1.315148, 0.000001, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
1.315148, 0.000000, 0.000000, 2.585320,D
