amtProduced_need, avg_price, sd, consumption_rate, char
1.174297, 2.908196, 0.865811, 2.509260,E
1.174297, 3.019967, 0.710613, 2.509260,E
1.174297, 3.143594, 0.645811, 2.509260,E
1.174297, 2.980774, 0.469783, 2.509260,E
1.174297, 2.811833, 0.332212, 2.509260,E
1.174297, 2.673489, 0.278606, 2.509260,E
1.174297, 2.596055, 0.248049, 2.509260,E
1.174297, 2.491496, 0.227595, 2.509260,E
1.174297, 2.324932, 0.219146, 2.509260,E
1.174297, 2.084337, 0.188560, 2.509260,E
1.174297, 1.864631, 0.168921, 2.509260,E
1.174297, 1.697009, 0.180001, 2.509260,E
1.174297, 1.602305, 0.186876, 2.509260,E
1.174297, 1.480257, 0.180116, 2.509260,E
1.174297, 1.369673, 0.151611, 2.509260,E
1.174297, 1.239083, 0.129563, 2.509260,E
1.174297, 1.120819, 0.116860, 2.509260,E
1.174297, 0.996870, 0.110889, 2.509260,E
1.174297, 0.879128, 0.101358, 2.509260,E
1.174297, 0.796623, 0.096486, 2.509260,E
1.174297, 0.722704, 0.092435, 2.509260,E
1.174297, 0.647304, 0.088589, 2.509260,E
1.174297, 0.574251, 0.077654, 2.509260,E
1.174297, 0.513974, 0.076252, 2.509260,E
1.174297, 0.461594, 0.065842, 2.509260,E
1.174297, 0.415134, 0.059357, 2.509260,E
1.174297, 0.373154, 0.052738, 2.509260,E
1.174297, 0.340104, 0.048473, 2.509260,E
1.174297, 0.302410, 0.044074, 2.509260,E
1.174297, 0.266785, 0.037547, 2.509260,E
1.174297, 0.235768, 0.032954, 2.509260,E
1.174297, 0.208209, 0.029884, 2.509260,E
1.174297, 0.181728, 0.027363, 2.509260,E
1.174297, 0.158453, 0.024467, 2.509260,E
1.174297, 0.138277, 0.022184, 2.509260,E
1.174297, 0.121617, 0.019863, 2.509260,E
1.174297, 0.107254, 0.018522, 2.509260,E
1.174297, 0.094569, 0.016662, 2.509260,E
1.174297, 0.084336, 0.014143, 2.509260,E
1.174297, 0.076054, 0.013064, 2.509260,E
1.174297, 0.068249, 0.010986, 2.509260,E
1.174297, 0.060635, 0.009838, 2.509260,E
1.174297, 0.053704, 0.008545, 2.509260,E
1.174297, 0.046823, 0.007825, 2.509260,E
1.174297, 0.040912, 0.006812, 2.509260,E
1.174297, 0.035925, 0.005713, 2.509260,E
1.174297, 0.031389, 0.004966, 2.509260,E
1.174297, 0.027694, 0.004367, 2.509260,E
1.174297, 0.024418, 0.003976, 2.509260,E
1.174297, 0.021251, 0.003593, 2.509260,E
1.174297, 0.018536, 0.003243, 2.509260,E
1.174297, 0.016210, 0.002804, 2.509260,E
1.174297, 0.014157, 0.002563, 2.509260,E
1.174297, 0.012517, 0.002402, 2.509260,E
1.174297, 0.011100, 0.002113, 2.509260,E
1.174297, 0.009846, 0.001915, 2.509260,E
1.174297, 0.008740, 0.001638, 2.509260,E
1.174297, 0.007600, 0.001433, 2.509260,E
1.174297, 0.006647, 0.001321, 2.509260,E
1.174297, 0.005768, 0.001140, 2.509260,E
1.174297, 0.004913, 0.001008, 2.509260,E
1.174297, 0.004199, 0.000866, 2.509260,E
1.174297, 0.003637, 0.000764, 2.509260,E
1.174297, 0.003184, 0.000664, 2.509260,E
1.174297, 0.002783, 0.000594, 2.509260,E
1.174297, 0.002454, 0.000527, 2.509260,E
1.174297, 0.002153, 0.000456, 2.509260,E
1.174297, 0.001889, 0.000399, 2.509260,E
1.174297, 0.001674, 0.000349, 2.509260,E
1.174297, 0.001475, 0.000299, 2.509260,E
1.174297, 0.001292, 0.000267, 2.509260,E
1.174297, 0.001115, 0.000237, 2.509260,E
1.174297, 0.000962, 0.000208, 2.509260,E
1.174297, 0.000829, 0.000179, 2.509260,E
1.174297, 0.000721, 0.000157, 2.509260,E
1.174297, 0.000627, 0.000137, 2.509260,E
1.174297, 0.000545, 0.000121, 2.509260,E
1.174297, 0.000477, 0.000104, 2.509260,E
1.174297, 0.000415, 0.000093, 2.509260,E
1.174297, 0.000361, 0.000082, 2.509260,E
1.174297, 0.000314, 0.000073, 2.509260,E
1.174297, 0.000273, 0.000063, 2.509260,E
1.174297, 0.000238, 0.000056, 2.509260,E
1.174297, 0.000210, 0.000049, 2.509260,E
1.174297, 0.000184, 0.000044, 2.509260,E
1.174297, 0.000159, 0.000039, 2.509260,E
1.174297, 0.000138, 0.000034, 2.509260,E
1.174297, 0.000119, 0.000029, 2.509260,E
1.174297, 0.000104, 0.000025, 2.509260,E
1.174297, 0.000091, 0.000022, 2.509260,E
1.174297, 0.000079, 0.000019, 2.509260,E
1.174297, 0.000068, 0.000017, 2.509260,E
1.174297, 0.000059, 0.000014, 2.509260,E
1.174297, 0.000052, 0.000012, 2.509260,E
1.174297, 0.000044, 0.000010, 2.509260,E
1.174297, 0.000038, 0.000009, 2.509260,E
1.174297, 0.000033, 0.000008, 2.509260,E
1.174297, 0.000029, 0.000007, 2.509260,E
1.174297, 0.000025, 0.000006, 2.509260,E
1.174297, 0.000022, 0.000005, 2.509260,E
1.174297, 0.000019, 0.000005, 2.509260,E
1.174297, 0.000016, 0.000004, 2.509260,E
1.174297, 0.000014, 0.000004, 2.509260,E
1.174297, 0.000013, 0.000003, 2.509260,E
1.174297, 0.000011, 0.000003, 2.509260,E
1.174297, 0.000010, 0.000002, 2.509260,E
1.174297, 0.000008, 0.000002, 2.509260,E
1.174297, 0.000007, 0.000002, 2.509260,E
1.174297, 0.000006, 0.000001, 2.509260,E
1.174297, 0.000005, 0.000001, 2.509260,E
1.174297, 0.000004, 0.000001, 2.509260,E
1.174297, 0.000004, 0.000001, 2.509260,E
1.174297, 0.000003, 0.000001, 2.509260,E
1.174297, 0.000003, 0.000001, 2.509260,E
1.174297, 0.000002, 0.000001, 2.509260,E
1.174297, 0.000002, 0.000001, 2.509260,E
1.174297, 0.000002, 0.000000, 2.509260,E
1.174297, 0.000002, 0.000000, 2.509260,E
1.174297, 0.000001, 0.000000, 2.509260,E
1.174297, 0.000001, 0.000000, 2.509260,E
1.174297, 0.000001, 0.000000, 2.509260,E
1.174297, 0.000001, 0.000000, 2.509260,E
1.174297, 0.000001, 0.000000, 2.509260,E
1.174297, 0.000001, 0.000000, 2.509260,E
1.174297, 0.000001, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
1.174297, 0.000000, 0.000000, 2.509260,E
