amtProduced_need, avg_price, sd, consumption_rate, char
0.437581, 3.298672, 1.119955, 4.986297,F
0.437581, 3.218386, 0.819281, 4.986297,F
0.437581, 3.182449, 0.609470, 4.986297,F
0.437581, 3.091840, 0.433386, 4.986297,F
0.437581, 2.947574, 0.343607, 4.986297,F
0.437581, 2.935232, 0.312172, 4.986297,F
0.437581, 2.629781, 0.232262, 4.986297,F
0.437581, 2.407718, 0.207291, 4.986297,F
0.437581, 2.305739, 0.208397, 4.986297,F
0.437581, 2.237794, 0.221897, 4.986297,F
0.437581, 1.966003, 0.168232, 4.986297,F
0.437581, 1.741374, 0.155646, 4.986297,F
0.437581, 1.572190, 0.156851, 4.986297,F
0.437581, 1.490912, 0.160983, 4.986297,F
0.437581, 1.421258, 0.160995, 4.986297,F
0.437581, 1.319813, 0.139024, 4.986297,F
0.437581, 1.161908, 0.113232, 4.986297,F
0.437581, 1.014392, 0.092815, 4.986297,F
0.437581, 0.921284, 0.097664, 4.986297,F
0.437581, 0.839225, 0.093130, 4.986297,F
0.437581, 0.746672, 0.079222, 4.986297,F
0.437581, 0.681382, 0.078145, 4.986297,F
0.437581, 0.614380, 0.071281, 4.986297,F
0.437581, 0.553551, 0.062264, 4.986297,F
0.437581, 0.499260, 0.056052, 4.986297,F
0.437581, 0.446301, 0.050924, 4.986297,F
0.437581, 0.385895, 0.040919, 4.986297,F
0.437581, 0.349419, 0.038613, 4.986297,F
0.437581, 0.308717, 0.034917, 4.986297,F
0.437581, 0.272099, 0.030524, 4.986297,F
0.437581, 0.242393, 0.029207, 4.986297,F
0.437581, 0.218832, 0.026727, 4.986297,F
0.437581, 0.199153, 0.024627, 4.986297,F
0.437581, 0.172307, 0.021504, 4.986297,F
0.437581, 0.149349, 0.018937, 4.986297,F
0.437581, 0.130841, 0.017413, 4.986297,F
0.437581, 0.117019, 0.015448, 4.986297,F
0.437581, 0.104795, 0.014240, 4.986297,F
0.437581, 0.092079, 0.012653, 4.986297,F
0.437581, 0.080764, 0.011503, 4.986297,F
0.437581, 0.071149, 0.010129, 4.986297,F
0.437581, 0.062633, 0.009287, 4.986297,F
0.437581, 0.055223, 0.007830, 4.986297,F
0.437581, 0.049134, 0.006631, 4.986297,F
0.437581, 0.042795, 0.005945, 4.986297,F
0.437581, 0.038110, 0.005228, 4.986297,F
0.437581, 0.033620, 0.004499, 4.986297,F
0.437581, 0.030009, 0.004107, 4.986297,F
0.437581, 0.025863, 0.003573, 4.986297,F
0.437581, 0.022592, 0.003268, 4.986297,F
0.437581, 0.019644, 0.002840, 4.986297,F
0.437581, 0.017152, 0.002551, 4.986297,F
0.437581, 0.015074, 0.002397, 4.986297,F
0.437581, 0.013376, 0.002210, 4.986297,F
0.437581, 0.011968, 0.001913, 4.986297,F
0.437581, 0.010416, 0.001685, 4.986297,F
0.437581, 0.009181, 0.001446, 4.986297,F
0.437581, 0.008138, 0.001249, 4.986297,F
0.437581, 0.007076, 0.001116, 4.986297,F
0.437581, 0.006215, 0.000965, 4.986297,F
0.437581, 0.005386, 0.000855, 4.986297,F
0.437581, 0.004601, 0.000753, 4.986297,F
0.437581, 0.003932, 0.000660, 4.986297,F
0.437581, 0.003365, 0.000590, 4.986297,F
0.437581, 0.002945, 0.000532, 4.986297,F
0.437581, 0.002655, 0.000464, 4.986297,F
0.437581, 0.002356, 0.000398, 4.986297,F
0.437581, 0.002064, 0.000360, 4.986297,F
0.437581, 0.001780, 0.000320, 4.986297,F
0.437581, 0.001542, 0.000270, 4.986297,F
0.437581, 0.001322, 0.000233, 4.986297,F
0.437581, 0.001139, 0.000210, 4.986297,F
0.437581, 0.001001, 0.000188, 4.986297,F
0.437581, 0.000880, 0.000161, 4.986297,F
0.437581, 0.000763, 0.000135, 4.986297,F
0.437581, 0.000664, 0.000121, 4.986297,F
0.437581, 0.000580, 0.000112, 4.986297,F
0.437581, 0.000510, 0.000100, 4.986297,F
0.437581, 0.000440, 0.000088, 4.986297,F
0.437581, 0.000389, 0.000078, 4.986297,F
0.437581, 0.000340, 0.000069, 4.986297,F
0.437581, 0.000296, 0.000059, 4.986297,F
0.437581, 0.000255, 0.000053, 4.986297,F
0.437581, 0.000221, 0.000045, 4.986297,F
