amtProduced_need, avg_price, sd, consumption_rate, char
1.703011, 2.995917, 0.879184, 2.632789,G
1.703011, 3.012817, 0.651141, 2.632789,G
1.703011, 3.034241, 0.536036, 2.632789,G
1.703011, 2.970484, 0.464328, 2.632789,G
1.703011, 3.062355, 0.395227, 2.632789,G
1.703011, 2.822243, 0.308542, 2.632789,G
1.703011, 2.617972, 0.247528, 2.632789,G
1.703011, 2.410446, 0.228223, 2.632789,G
1.703011, 2.197844, 0.224832, 2.632789,G
1.703011, 2.008343, 0.228065, 2.632789,G
1.703011, 1.863863, 0.210452, 2.632789,G
1.703011, 1.762771, 0.187145, 2.632789,G
1.703011, 1.682600, 0.173949, 2.632789,G
1.703011, 1.517880, 0.154108, 2.632789,G
1.703011, 1.331453, 0.132941, 2.632789,G
1.703011, 1.192098, 0.122669, 2.632789,G
1.703011, 1.066733, 0.124002, 2.632789,G
1.703011, 0.961324, 0.122406, 2.632789,G
1.703011, 0.872843, 0.123317, 2.632789,G
1.703011, 0.801731, 0.114364, 2.632789,G
1.703011, 0.743237, 0.100722, 2.632789,G
1.703011, 0.676318, 0.092199, 2.632789,G
1.703011, 0.587420, 0.079815, 2.632789,G
1.703011, 0.512608, 0.070820, 2.632789,G
1.703011, 0.452982, 0.066215, 2.632789,G
1.703011, 0.400639, 0.058206, 2.632789,G
1.703011, 0.363901, 0.054606, 2.632789,G
1.703011, 0.329972, 0.046331, 2.632789,G
1.703011, 0.298502, 0.039692, 2.632789,G
1.703011, 0.272508, 0.037338, 2.632789,G
1.703011, 0.239467, 0.030795, 2.632789,G
1.703011, 0.209049, 0.027402, 2.632789,G
1.703011, 0.183382, 0.024842, 2.632789,G
1.703011, 0.164226, 0.022949, 2.632789,G
1.703011, 0.145800, 0.021590, 2.632789,G
1.703011, 0.127976, 0.019326, 2.632789,G
1.703011, 0.113106, 0.016524, 2.632789,G
1.703011, 0.099868, 0.014650, 2.632789,G
1.703011, 0.087708, 0.013462, 2.632789,G
