amtProduced_need, avg_price, sd, consumption_rate, char
0.685894, 3.350445, 1.019010, 4.087576,H
0.685894, 3.256251, 0.717847, 4.087576,H
0.685894, 3.218055, 0.586844, 4.087576,H
0.685894, 2.985456, 0.435942, 4.087576,H
0.685894, 2.772449, 0.328932, 4.087576,H
0.685894, 2.722147, 0.280079, 4.087576,H
0.685894, 2.735794, 0.254779, 4.087576,H
0.685894, 2.580908, 0.229876, 4.087576,H
0.685894, 2.302233, 0.180597, 4.087576,H
0.685894, 2.074653, 0.176905, 4.087576,H
0.685894, 1.872527, 0.184124, 4.087576,H
0.685894, 1.768866, 0.194051, 4.087576,H
0.685894, 1.604563, 0.167418, 4.087576,H
0.685894, 1.482834, 0.141220, 4.087576,H
0.685894, 1.342818, 0.120722, 4.087576,H
0.685894, 1.253281, 0.121824, 4.087576,H
0.685894, 1.160732, 0.114541, 4.087576,H
0.685894, 1.048537, 0.101628, 4.087576,H
0.685894, 0.929472, 0.088553, 4.087576,H
0.685894, 0.823891, 0.088045, 4.087576,H
0.685894, 0.734486, 0.085486, 4.087576,H
0.685894, 0.656238, 0.077533, 4.087576,H
0.685894, 0.590692, 0.065887, 4.087576,H
0.685894, 0.555477, 0.060603, 4.087576,H
0.685894, 0.499828, 0.049968, 4.087576,H
0.685894, 0.440751, 0.041956, 4.087576,H
0.685894, 0.388178, 0.040715, 4.087576,H
0.685894, 0.342355, 0.039008, 4.087576,H
0.685894, 0.303294, 0.039101, 4.087576,H
0.685894, 0.272599, 0.036679, 4.087576,H
0.685894, 0.245240, 0.033735, 4.087576,H
0.685894, 0.214435, 0.028960, 4.087576,H
0.685894, 0.187988, 0.025128, 4.087576,H
0.685894, 0.166175, 0.022848, 4.087576,H
0.685894, 0.148268, 0.020929, 4.087576,H
0.685894, 0.132226, 0.017904, 4.087576,H
0.685894, 0.119517, 0.016820, 4.087576,H
0.685894, 0.104323, 0.014735, 4.087576,H
0.685894, 0.091064, 0.012901, 4.087576,H
0.685894, 0.080397, 0.011755, 4.087576,H
0.685894, 0.070912, 0.010086, 4.087576,H
0.685894, 0.062578, 0.009010, 4.087576,H
0.685894, 0.055473, 0.007747, 4.087576,H
0.685894, 0.048629, 0.006670, 4.087576,H
0.685894, 0.042462, 0.006081, 4.087576,H
0.685894, 0.036932, 0.005297, 4.087576,H
0.685894, 0.032037, 0.004584, 4.087576,H
0.685894, 0.028149, 0.004233, 4.087576,H
0.685894, 0.024858, 0.003838, 4.087576,H
0.685894, 0.021759, 0.003433, 4.087576,H
0.685894, 0.019324, 0.003166, 4.087576,H
0.685894, 0.017100, 0.002727, 4.087576,H
0.685894, 0.015220, 0.002421, 4.087576,H
0.685894, 0.013543, 0.002155, 4.087576,H
0.685894, 0.011887, 0.001949, 4.087576,H
0.685894, 0.010256, 0.001716, 4.087576,H
0.685894, 0.008809, 0.001520, 4.087576,H
0.685894, 0.007556, 0.001307, 4.087576,H
0.685894, 0.006527, 0.001165, 4.087576,H
0.685894, 0.005735, 0.001012, 4.087576,H
0.685894, 0.005080, 0.000889, 4.087576,H
0.685894, 0.004551, 0.000774, 4.087576,H
0.685894, 0.004083, 0.000664, 4.087576,H
0.685894, 0.003568, 0.000573, 4.087576,H
0.685894, 0.003044, 0.000500, 4.087576,H
0.685894, 0.002607, 0.000443, 4.087576,H
0.685894, 0.002239, 0.000382, 4.087576,H
0.685894, 0.001935, 0.000338, 4.087576,H
0.685894, 0.001682, 0.000311, 4.087576,H
0.685894, 0.001483, 0.000275, 4.087576,H
0.685894, 0.001292, 0.000244, 4.087576,H
0.685894, 0.001114, 0.000213, 4.087576,H
0.685894, 0.000975, 0.000187, 4.087576,H
0.685894, 0.000860, 0.000163, 4.087576,H
0.685894, 0.000764, 0.000139, 4.087576,H
0.685894, 0.000676, 0.000121, 4.087576,H
0.685894, 0.000594, 0.000108, 4.087576,H
0.685894, 0.000520, 0.000097, 4.087576,H
0.685894, 0.000451, 0.000087, 4.087576,H
0.685894, 0.000390, 0.000077, 4.087576,H
0.685894, 0.000335, 0.000069, 4.087576,H
0.685894, 0.000290, 0.000062, 4.087576,H
0.685894, 0.000249, 0.000056, 4.087576,H
0.685894, 0.000214, 0.000047, 4.087576,H
0.685894, 0.000187, 0.000042, 4.087576,H
0.685894, 0.000162, 0.000037, 4.087576,H
0.685894, 0.000141, 0.000032, 4.087576,H
0.685894, 0.000124, 0.000028, 4.087576,H
0.685894, 0.000108, 0.000023, 4.087576,H
0.685894, 0.000092, 0.000020, 4.087576,H
0.685894, 0.000080, 0.000018, 4.087576,H
0.685894, 0.000070, 0.000015, 4.087576,H
0.685894, 0.000061, 0.000013, 4.087576,H
0.685894, 0.000054, 0.000012, 4.087576,H
0.685894, 0.000046, 0.000010, 4.087576,H
0.685894, 0.000040, 0.000009, 4.087576,H
0.685894, 0.000034, 0.000007, 4.087576,H
0.685894, 0.000029, 0.000007, 4.087576,H
0.685894, 0.000026, 0.000006, 4.087576,H
0.685894, 0.000023, 0.000005, 4.087576,H
0.685894, 0.000020, 0.000004, 4.087576,H
0.685894, 0.000018, 0.000004, 4.087576,H
0.685894, 0.000015, 0.000003, 4.087576,H
0.685894, 0.000013, 0.000003, 4.087576,H
0.685894, 0.000011, 0.000003, 4.087576,H
0.685894, 0.000010, 0.000002, 4.087576,H
0.685894, 0.000008, 0.000002, 4.087576,H
0.685894, 0.000007, 0.000002, 4.087576,H
0.685894, 0.000006, 0.000002, 4.087576,H
0.685894, 0.000005, 0.000001, 4.087576,H
0.685894, 0.000005, 0.000001, 4.087576,H
0.685894, 0.000004, 0.000001, 4.087576,H
0.685894, 0.000003, 0.000001, 4.087576,H
0.685894, 0.000003, 0.000001, 4.087576,H
0.685894, 0.000003, 0.000001, 4.087576,H
0.685894, 0.000002, 0.000001, 4.087576,H
0.685894, 0.000002, 0.000000, 4.087576,H
0.685894, 0.000002, 0.000000, 4.087576,H
0.685894, 0.000001, 0.000000, 4.087576,H
0.685894, 0.000001, 0.000000, 4.087576,H
0.685894, 0.000001, 0.000000, 4.087576,H
0.685894, 0.000001, 0.000000, 4.087576,H
0.685894, 0.000001, 0.000000, 4.087576,H
0.685894, 0.000001, 0.000000, 4.087576,H
0.685894, 0.000001, 0.000000, 4.087576,H
0.685894, 0.000001, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
0.685894, 0.000000, 0.000000, 4.087576,H
