amtProduced_need, avg_price, sd, consumption_rate, char
0.492440, 3.308375, 1.001900, 4.042147,I
0.492440, 3.207264, 0.701672, 4.042147,I
0.492440, 3.121009, 0.525236, 4.042147,I
0.492440, 3.171267, 0.408632, 4.042147,I
0.492440, 3.014341, 0.290145, 4.042147,I
0.492440, 2.788291, 0.221900, 4.042147,I
0.492440, 2.595954, 0.217934, 4.042147,I
0.492440, 2.453409, 0.231019, 4.042147,I
0.492440, 2.288763, 0.208351, 4.042147,I
0.492440, 2.111151, 0.174289, 4.042147,I
0.492440, 2.022082, 0.183150, 4.042147,I
0.492440, 1.838084, 0.152780, 4.042147,I
0.492440, 1.684181, 0.131917, 4.042147,I
0.492440, 1.511635, 0.115631, 4.042147,I
0.492440, 1.352376, 0.113474, 4.042147,I
0.492440, 1.221416, 0.121202, 4.042147,I
0.492440, 1.139987, 0.122940, 4.042147,I
0.492440, 1.054620, 0.104092, 4.042147,I
0.492440, 0.939426, 0.091964, 4.042147,I
0.492440, 0.834016, 0.080030, 4.042147,I
0.492440, 0.748493, 0.076207, 4.042147,I
0.492440, 0.670212, 0.072565, 4.042147,I
0.492440, 0.595395, 0.066391, 4.042147,I
0.492440, 0.542889, 0.064865, 4.042147,I
0.492440, 0.496938, 0.060931, 4.042147,I
0.492440, 0.440417, 0.052614, 4.042147,I
0.492440, 0.379908, 0.045670, 4.042147,I
0.492440, 0.332705, 0.042196, 4.042147,I
0.492440, 0.294987, 0.037579, 4.042147,I
0.492440, 0.260408, 0.034004, 4.042147,I
0.492440, 0.235309, 0.029124, 4.042147,I
0.492440, 0.216017, 0.027161, 4.042147,I
0.492440, 0.192469, 0.024289, 4.042147,I
0.492440, 0.171717, 0.022266, 4.042147,I
0.492440, 0.152156, 0.021177, 4.042147,I
0.492440, 0.134154, 0.017535, 4.042147,I
0.492440, 0.116300, 0.014862, 4.042147,I
0.492440, 0.101771, 0.012691, 4.042147,I
0.492440, 0.089693, 0.011062, 4.042147,I
0.492440, 0.079943, 0.010267, 4.042147,I
0.492440, 0.072052, 0.009475, 4.042147,I
0.492440, 0.062705, 0.008698, 4.042147,I
0.492440, 0.055030, 0.007513, 4.042147,I
0.492440, 0.049245, 0.006707, 4.042147,I
0.492440, 0.043756, 0.005736, 4.042147,I
0.492440, 0.038070, 0.005001, 4.042147,I
0.492440, 0.033145, 0.004236, 4.042147,I
0.492440, 0.028711, 0.003898, 4.042147,I
0.492440, 0.025018, 0.003506, 4.042147,I
0.492440, 0.022088, 0.003249, 4.042147,I
0.492440, 0.019698, 0.002839, 4.042147,I
0.492440, 0.017300, 0.002580, 4.042147,I
0.492440, 0.015010, 0.002437, 4.042147,I
0.492440, 0.013342, 0.002231, 4.042147,I
0.492440, 0.011668, 0.001883, 4.042147,I
0.492440, 0.010355, 0.001671, 4.042147,I
0.492440, 0.009078, 0.001540, 4.042147,I
0.492440, 0.007822, 0.001268, 4.042147,I
0.492440, 0.006802, 0.001168, 4.042147,I
0.492440, 0.005933, 0.000990, 4.042147,I
0.492440, 0.005199, 0.000888, 4.042147,I
0.492440, 0.004563, 0.000791, 4.042147,I
0.492440, 0.004025, 0.000692, 4.042147,I
0.492440, 0.003487, 0.000610, 4.042147,I
0.492440, 0.003006, 0.000533, 4.042147,I
0.492440, 0.002590, 0.000468, 4.042147,I
0.492440, 0.002283, 0.000424, 4.042147,I
0.492440, 0.002004, 0.000374, 4.042147,I
0.492440, 0.001758, 0.000337, 4.042147,I
0.492440, 0.001526, 0.000288, 4.042147,I
0.492440, 0.001320, 0.000250, 4.042147,I
0.492440, 0.001143, 0.000220, 4.042147,I
0.492440, 0.001004, 0.000189, 4.042147,I
0.492440, 0.000884, 0.000162, 4.042147,I
0.492440, 0.000776, 0.000142, 4.042147,I
0.492440, 0.000670, 0.000123, 4.042147,I
0.492440, 0.000582, 0.000106, 4.042147,I
0.492440, 0.000502, 0.000096, 4.042147,I
0.492440, 0.000435, 0.000083, 4.042147,I
0.492440, 0.000374, 0.000073, 4.042147,I
0.492440, 0.000323, 0.000066, 4.042147,I
0.492440, 0.000284, 0.000060, 4.042147,I
0.492440, 0.000249, 0.000055, 4.042147,I
0.492440, 0.000215, 0.000047, 4.042147,I
0.492440, 0.000187, 0.000042, 4.042147,I
0.492440, 0.000161, 0.000037, 4.042147,I
0.492440, 0.000140, 0.000032, 4.042147,I
0.492440, 0.000121, 0.000026, 4.042147,I
0.492440, 0.000107, 0.000023, 4.042147,I
0.492440, 0.000094, 0.000020, 4.042147,I
0.492440, 0.000082, 0.000018, 4.042147,I
0.492440, 0.000072, 0.000016, 4.042147,I
0.492440, 0.000062, 0.000013, 4.042147,I
0.492440, 0.000054, 0.000012, 4.042147,I
0.492440, 0.000048, 0.000010, 4.042147,I
0.492440, 0.000041, 0.000009, 4.042147,I
0.492440, 0.000035, 0.000008, 4.042147,I
0.492440, 0.000030, 0.000007, 4.042147,I
0.492440, 0.000026, 0.000006, 4.042147,I
0.492440, 0.000022, 0.000005, 4.042147,I
0.492440, 0.000020, 0.000005, 4.042147,I
0.492440, 0.000017, 0.000004, 4.042147,I
0.492440, 0.000015, 0.000003, 4.042147,I
0.492440, 0.000013, 0.000003, 4.042147,I
0.492440, 0.000011, 0.000003, 4.042147,I
0.492440, 0.000010, 0.000002, 4.042147,I
0.492440, 0.000008, 0.000002, 4.042147,I
0.492440, 0.000007, 0.000002, 4.042147,I
0.492440, 0.000006, 0.000001, 4.042147,I
0.492440, 0.000005, 0.000001, 4.042147,I
0.492440, 0.000005, 0.000001, 4.042147,I
0.492440, 0.000004, 0.000001, 4.042147,I
0.492440, 0.000004, 0.000001, 4.042147,I
0.492440, 0.000003, 0.000001, 4.042147,I
0.492440, 0.000003, 0.000001, 4.042147,I
0.492440, 0.000002, 0.000001, 4.042147,I
0.492440, 0.000002, 0.000000, 4.042147,I
0.492440, 0.000002, 0.000000, 4.042147,I
0.492440, 0.000001, 0.000000, 4.042147,I
0.492440, 0.000001, 0.000000, 4.042147,I
0.492440, 0.000001, 0.000000, 4.042147,I
0.492440, 0.000001, 0.000000, 4.042147,I
