amtProduced_need, avg_price, sd, consumption_rate, char
2.089728, 3.050205, 0.907609, 2.240037,J
2.089728, 3.082703, 0.679770, 2.240037,J
2.089728, 3.056098, 0.510580, 2.240037,J
2.089728, 2.921189, 0.377034, 2.240037,J
2.089728, 2.818742, 0.307604, 2.240037,J
2.089728, 2.692706, 0.266600, 2.240037,J
2.089728, 2.539105, 0.233298, 2.240037,J
2.089728, 2.407551, 0.227935, 2.240037,J
2.089728, 2.229003, 0.240611, 2.240037,J
2.089728, 2.121319, 0.220543, 2.240037,J
2.089728, 1.936177, 0.194291, 2.240037,J
2.089728, 1.768041, 0.178433, 2.240037,J
2.089728, 1.569373, 0.176573, 2.240037,J
2.089728, 1.395534, 0.161612, 2.240037,J
2.089728, 1.228109, 0.146963, 2.240037,J
2.089728, 1.116750, 0.144025, 2.240037,J
2.089728, 1.038682, 0.145156, 2.240037,J
2.089728, 0.976119, 0.136347, 2.240037,J
2.089728, 0.910261, 0.129333, 2.240037,J
2.089728, 0.816460, 0.111586, 2.240037,J
2.089728, 0.729132, 0.097462, 2.240037,J
2.089728, 0.651479, 0.088645, 2.240037,J
2.089728, 0.573551, 0.077077, 2.240037,J
2.089728, 0.509254, 0.069228, 2.240037,J
2.089728, 0.453533, 0.060973, 2.240037,J
2.089728, 0.408395, 0.056396, 2.240037,J
2.089728, 0.369935, 0.052129, 2.240037,J
2.089728, 0.331619, 0.045219, 2.240037,J
2.089728, 0.295822, 0.041088, 2.240037,J
2.089728, 0.264470, 0.037201, 2.240037,J
2.089728, 0.232874, 0.030863, 2.240037,J
2.089728, 0.207361, 0.028845, 2.240037,J
2.089728, 0.181802, 0.026847, 2.240037,J
2.089728, 0.159126, 0.024249, 2.240037,J
2.089728, 0.139443, 0.021846, 2.240037,J
2.089728, 0.122683, 0.019726, 2.240037,J
2.089728, 0.109522, 0.018048, 2.240037,J
2.089728, 0.098410, 0.016793, 2.240037,J
2.089728, 0.087927, 0.014714, 2.240037,J
2.089728, 0.078945, 0.012766, 2.240037,J
2.089728, 0.069564, 0.010970, 2.240037,J
2.089728, 0.060427, 0.009599, 2.240037,J
2.089728, 0.052336, 0.008074, 2.240037,J
2.089728, 0.045781, 0.007056, 2.240037,J
2.089728, 0.040401, 0.006358, 2.240037,J
2.089728, 0.035448, 0.005791, 2.240037,J
2.089728, 0.031349, 0.004887, 2.240037,J
2.089728, 0.027844, 0.004373, 2.240037,J
2.089728, 0.024868, 0.004050, 2.240037,J
2.089728, 0.021860, 0.003787, 2.240037,J
2.089728, 0.018827, 0.003378, 2.240037,J
2.089728, 0.016229, 0.003070, 2.240037,J
2.089728, 0.014012, 0.002688, 2.240037,J
2.089728, 0.012123, 0.002517, 2.240037,J
2.089728, 0.010409, 0.002250, 2.240037,J
2.089728, 0.008997, 0.002015, 2.240037,J
2.089728, 0.007860, 0.001749, 2.240037,J
2.089728, 0.006870, 0.001461, 2.240037,J
2.089728, 0.006055, 0.001281, 2.240037,J
2.089728, 0.005348, 0.001107, 2.240037,J
2.089728, 0.004740, 0.000961, 2.240037,J
2.089728, 0.004283, 0.000866, 2.240037,J
2.089728, 0.003801, 0.000737, 2.240037,J
2.089728, 0.003402, 0.000627, 2.240037,J
2.089728, 0.003020, 0.000543, 2.240037,J
2.089728, 0.002616, 0.000479, 2.240037,J
2.089728, 0.002229, 0.000407, 2.240037,J
2.089728, 0.001911, 0.000363, 2.240037,J
2.089728, 0.001638, 0.000330, 2.240037,J
2.089728, 0.001416, 0.000290, 2.240037,J
2.089728, 0.001220, 0.000257, 2.240037,J
2.089728, 0.001052, 0.000228, 2.240037,J
2.089728, 0.000905, 0.000204, 2.240037,J
2.089728, 0.000777, 0.000179, 2.240037,J
2.089728, 0.000675, 0.000159, 2.240037,J
2.089728, 0.000587, 0.000142, 2.240037,J
2.089728, 0.000513, 0.000131, 2.240037,J
2.089728, 0.000456, 0.000113, 2.240037,J
2.089728, 0.000405, 0.000098, 2.240037,J
2.089728, 0.000358, 0.000083, 2.240037,J
2.089728, 0.000318, 0.000072, 2.240037,J
2.089728, 0.000279, 0.000064, 2.240037,J
2.089728, 0.000243, 0.000055, 2.240037,J
2.089728, 0.000207, 0.000047, 2.240037,J
2.089728, 0.000175, 0.000040, 2.240037,J
2.089728, 0.000151, 0.000035, 2.240037,J
2.089728, 0.000131, 0.000031, 2.240037,J
2.089728, 0.000114, 0.000027, 2.240037,J
2.089728, 0.000100, 0.000024, 2.240037,J
