amount produced/need, avg price, sd, consumption_rate, char
 year: 1
1.236869, 3.187020, 0.911360, 2.978407,A
2.009290, 2.983062, 0.876131, 1.912332,B
1.427492, 3.278164, 1.093270, 2.021896,C
1.315148, 3.028313, 0.955867, 2.585320,D
1.174297, 2.908196, 0.865811, 2.509260,E
0.437581, 3.298672, 1.119955, 4.986297,F
1.703011, 2.995917, 0.879184, 2.632789,G
0.685894, 3.350445, 1.019010, 4.087576,H
0.492440, 3.308375, 1.001900, 4.042147,I
2.089728, 3.050205, 0.907609, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 2
1.236869, 3.190055, 0.722325, 2.978407,A
2.009290, 2.947062, 0.662759, 1.912332,B
1.427492, 3.144124, 0.802817, 2.021896,C
1.315148, 3.063694, 0.734698, 2.585320,D
1.174297, 3.019967, 0.710613, 2.509260,E
0.437581, 3.218386, 0.819281, 4.986297,F
1.703011, 3.012817, 0.651141, 2.632789,G
0.685894, 3.256251, 0.717847, 4.087576,H
0.492440, 3.207264, 0.701672, 4.042147,I
2.089728, 3.082703, 0.679770, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 3
1.236869, 3.035329, 0.531706, 2.978407,A
2.009290, 2.843639, 0.523010, 1.912332,B
1.427492, 3.001494, 0.599599, 2.021896,C
1.315148, 3.052161, 0.572315, 2.585320,D
1.174297, 3.143594, 0.645811, 2.509260,E
0.437581, 3.182449, 0.609470, 4.986297,F
1.703011, 3.034241, 0.536036, 2.632789,G
0.685894, 3.218055, 0.586844, 4.087576,H
0.492440, 3.121009, 0.525236, 4.042147,I
2.089728, 3.056098, 0.510580, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 4
1.236869, 3.069317, 0.451556, 2.978407,A
2.009290, 2.809269, 0.430433, 1.912332,B
1.427492, 2.821233, 0.432007, 2.021896,C
1.315148, 2.986082, 0.432389, 2.585320,D
1.174297, 2.980774, 0.469783, 2.509260,E
0.437581, 3.091840, 0.433386, 4.986297,F
1.703011, 2.970484, 0.464328, 2.632789,G
0.685894, 2.985456, 0.435942, 4.087576,H
0.492440, 3.171267, 0.408632, 4.042147,I
2.089728, 2.921189, 0.377034, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 5
1.236869, 2.857571, 0.331964, 2.978407,A
2.009290, 3.025995, 0.447729, 1.912332,B
1.427492, 2.765856, 0.361929, 2.021896,C
1.315148, 2.807554, 0.334285, 2.585320,D
1.174297, 2.811833, 0.332212, 2.509260,E
0.437581, 2.947574, 0.343607, 4.986297,F
1.703011, 3.062355, 0.395227, 2.632789,G
0.685894, 2.772449, 0.328932, 4.087576,H
0.492440, 3.014341, 0.290145, 4.042147,I
2.089728, 2.818742, 0.307604, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 6
1.236869, 2.664953, 0.270350, 2.978407,A
2.009290, 2.759684, 0.331887, 1.912332,B
1.427492, 2.793141, 0.301645, 2.021896,C
1.315148, 2.657007, 0.283234, 2.585320,D
1.174297, 2.673489, 0.278606, 2.509260,E
0.437581, 2.935232, 0.312172, 4.986297,F
1.703011, 2.822243, 0.308542, 2.632789,G
0.685894, 2.722147, 0.280079, 4.087576,H
0.492440, 2.788291, 0.221900, 4.042147,I
2.089728, 2.692706, 0.266600, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 7
1.236869, 2.542374, 0.265374, 2.978407,A
2.009290, 2.567933, 0.298395, 1.912332,B
1.427492, 2.544190, 0.261657, 2.021896,C
1.315148, 2.568734, 0.259057, 2.585320,D
1.174297, 2.596055, 0.248049, 2.509260,E
0.437581, 2.629781, 0.232262, 4.986297,F
1.703011, 2.617972, 0.247528, 2.632789,G
0.685894, 2.735794, 0.254779, 4.087576,H
0.492440, 2.595954, 0.217934, 4.042147,I
2.089728, 2.539105, 0.233298, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 8
1.236869, 2.370023, 0.243558, 2.978407,A
2.009290, 2.374218, 0.258863, 1.912332,B
1.427492, 2.330024, 0.216518, 2.021896,C
1.315148, 2.438765, 0.242281, 2.585320,D
1.174297, 2.491496, 0.227595, 2.509260,E
0.437581, 2.407718, 0.207291, 4.986297,F
1.703011, 2.410446, 0.228223, 2.632789,G
0.685894, 2.580908, 0.229876, 4.087576,H
0.492440, 2.453409, 0.231019, 4.042147,I
2.089728, 2.407551, 0.227935, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 9
1.236869, 2.245477, 0.231249, 2.978407,A
2.009290, 2.175281, 0.238582, 1.912332,B
1.427492, 2.154106, 0.212166, 2.021896,C
1.315148, 2.279329, 0.210760, 2.585320,D
1.174297, 2.324932, 0.219146, 2.509260,E
0.437581, 2.305739, 0.208397, 4.986297,F
1.703011, 2.197844, 0.224832, 2.632789,G
0.685894, 2.302233, 0.180597, 4.087576,H
0.492440, 2.288763, 0.208351, 4.042147,I
2.089728, 2.229003, 0.240611, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 10
1.236869, 2.110364, 0.216468, 2.978407,A
2.009290, 1.971268, 0.227625, 1.912332,B
1.427492, 2.009449, 0.230551, 2.021896,C
1.315148, 2.094016, 0.180047, 2.585320,D
1.174297, 2.084337, 0.188560, 2.509260,E
0.437581, 2.237794, 0.221897, 4.986297,F
1.703011, 2.008343, 0.228065, 2.632789,G
0.685894, 2.074653, 0.176905, 4.087576,H
0.492440, 2.111151, 0.174289, 4.042147,I
2.089728, 2.121319, 0.220543, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 11
1.236869, 2.024349, 0.200119, 2.978407,A
2.009290, 1.804540, 0.236628, 1.912332,B
1.427492, 1.901281, 0.224726, 2.021896,C
1.315148, 1.906788, 0.174648, 2.585320,D
