amtProduced_need, avg_price, sd, char
1.228674, 2.496167, 0.467729, A
1.228674, 1.890936, 0.316109, A
1.228674, 1.441437, 0.246713, A
1.228674, 1.107871, 0.171323, A
1.228674, 0.859574, 0.134905, A
1.228674, 0.660020, 0.111835, A
1.228674, 0.494605, 0.093902, A
1.228674, 0.374172, 0.067030, A
1.228674, 0.289084, 0.043088, A
1.228674, 0.231749, 0.033886, A
1.228674, 0.190930, 0.028217, A
1.228674, 0.155473, 0.022150, A
1.228674, 0.123410, 0.017292, A
1.228674, 0.096664, 0.012852, A
1.228674, 0.072143, 0.012022, A
