amtProduced_need, avg_price, sd, char
1.676489, 2.409636, 0.644281, B
1.676489, 1.818505, 0.402816, B
1.676489, 1.519497, 0.324543, B
1.676489, 1.194276, 0.222452, B
1.676489, 0.982889, 0.210512, B
1.676489, 0.837008, 0.170657, B
1.676489, 0.689003, 0.106246, B
1.676489, 0.551460, 0.088407, B
1.676489, 0.431327, 0.067244, B
1.676489, 0.342395, 0.048993, B
1.676489, 0.269163, 0.043816, B
1.676489, 0.222193, 0.038521, B
1.676489, 0.187776, 0.041165, B
1.676489, 0.155896, 0.029431, B
1.676489, 0.128983, 0.023035, B
