amtProduced_need, avg_price, sd, char
1.776092, 2.178818, 0.577790, C
1.776092, 1.589700, 0.341219, C
1.776092, 1.191659, 0.224976, C
1.776092, 0.918914, 0.160832, C
1.776092, 0.721322, 0.168411, C
1.776092, 0.573644, 0.105417, C
1.776092, 0.426316, 0.070532, C
1.776092, 0.338350, 0.060570, C
1.776092, 0.259711, 0.051499, C
1.776092, 0.197019, 0.030945, C
1.776092, 0.153217, 0.024751, C
1.776092, 0.112717, 0.017722, C
1.776092, 0.082245, 0.014002, C
1.776092, 0.064011, 0.010729, C
1.776092, 0.050173, 0.008707, C
