amtProduced_need, avg_price, sd, char
0.942595, 2.740479, 0.579162, D
0.942595, 2.537881, 0.310715, D
0.942595, 2.314793, 0.304868, D
0.942595, 2.041291, 0.319348, D
0.942595, 1.928483, 0.338562, D
0.942595, 1.723703, 0.184698, D
0.942595, 1.687338, 0.279450, D
0.942595, 1.514333, 0.244413, D
0.942595, 1.342804, 0.143751, D
0.942595, 1.224875, 0.288740, D
0.942595, 1.084578, 0.142748, D
0.942595, 0.977102, 0.139258, D
0.942595, 0.916125, 0.158732, D
0.942595, 0.845155, 0.113901, D
0.942595, 0.758579, 0.072037, D
