amtProduced_need, avg_price, sd, char
1.578594, 2.368491, 0.610415, E
1.578594, 2.025176, 0.452586, E
1.578594, 1.626327, 0.312714, E
1.578594, 1.330597, 0.205182, E
1.578594, 1.130461, 0.236161, E
1.578594, 0.919226, 0.201797, E
1.578594, 0.695276, 0.124619, E
1.578594, 0.543462, 0.089794, E
1.578594, 0.441228, 0.059134, E
1.578594, 0.340098, 0.054286, E
1.578594, 0.262096, 0.042294, E
1.578594, 0.202630, 0.033785, E
1.578594, 0.159879, 0.025443, E
1.578594, 0.126213, 0.019819, E
1.578594, 0.104032, 0.020265, E
