amtProduced_need, avg_price, sd, char
0.620707, 3.651796, 0.604309, F
0.620707, 4.373010, 0.605224, F
0.620707, 5.304088, 0.688921, F
0.620707, 6.627280, 1.079982, F
0.620707, 8.479769, 1.546958, F
0.620707, 10.478024, 1.510110, F
0.620707, 12.815393, 1.551329, F
0.620707, 15.951125, 2.236176, F
0.620707, 19.946710, 2.564565, F
0.620707, 25.056133, 3.435749, F
0.620707, 31.252994, 3.357132, F
0.620707, 41.188549, 7.197854, F
0.620707, 50.814972, 8.110749, F
0.620707, 63.254818, 8.605811, F
0.620707, 81.133106, 26.667843, F
