amtProduced_need, avg_price, sd, char
2.203406, 2.015839, 0.640761, G
2.203406, 1.433013, 0.387175, G
2.203406, 0.992730, 0.242497, G
2.203406, 0.698329, 0.154169, G
2.203406, 0.486529, 0.101459, G
2.203406, 0.331517, 0.071326, G
2.203406, 0.225952, 0.047716, G
2.203406, 0.162867, 0.035261, G
2.203406, 0.113499, 0.022209, G
2.203406, 0.082511, 0.014855, G
2.203406, 0.058725, 0.011617, G
2.203406, 0.041853, 0.009530, G
2.203406, 0.029211, 0.006536, G
2.203406, 0.020262, 0.004448, G
2.203406, 0.014341, 0.002954, G
