amtProduced_need, avg_price, sd, char
0.802069, 3.097176, 0.409373, H
0.802069, 3.066674, 0.343858, H
0.802069, 2.985722, 0.321250, H
0.802069, 2.953795, 0.340617, H
0.802069, 2.932491, 0.409805, H
0.802069, 2.809338, 0.284767, H
0.802069, 2.743930, 0.279109, H
0.802069, 2.803040, 0.389839, H
0.802069, 2.675608, 0.295127, H
0.802069, 2.619751, 0.260323, H
0.802069, 2.463851, 0.241437, H
0.802069, 2.501074, 0.349934, H
0.802069, 2.507425, 0.318098, H
0.802069, 2.466052, 0.278316, H
0.802069, 2.495993, 0.280547, H
