amtProduced_need, avg_price, sd, char
0.932541, 2.346462, 0.543368, I
0.932541, 2.057010, 0.269871, I
0.932541, 1.819652, 0.315415, I
0.932541, 1.571232, 0.198373, I
0.932541, 1.340119, 0.165553, I
0.932541, 1.144359, 0.151449, I
0.932541, 0.955403, 0.127639, I
0.932541, 0.859389, 0.087776, I
0.932541, 0.701840, 0.083825, I
0.932541, 0.625426, 0.083738, I
0.932541, 0.556869, 0.053233, I
0.932541, 0.479211, 0.057101, I
0.932541, 0.398829, 0.039217, I
0.932541, 0.348705, 0.034589, I
0.932541, 0.296110, 0.035901, I
