amtProduced_need, avg_price, sd, char
1.900618, 2.216633, 0.537829, J
1.900618, 1.717253, 0.333210, J
1.900618, 1.301681, 0.282127, J
1.900618, 0.999791, 0.163824, J
1.900618, 0.751069, 0.127035, J
1.900618, 0.551457, 0.090207, J
1.900618, 0.419259, 0.071932, J
1.900618, 0.313629, 0.056232, J
1.900618, 0.243974, 0.041288, J
1.900618, 0.184867, 0.034571, J
1.900618, 0.143223, 0.030535, J
1.900618, 0.107331, 0.018239, J
1.900618, 0.084073, 0.015767, J
1.900618, 0.064057, 0.010990, J
1.900618, 0.048598, 0.008310, J
