amount produced/need, avg price, sd, char
 year: 1
1.228674, 2.496167, 0.467729, A
1.676489, 2.409636, 0.644281, B
1.776092, 2.178818, 0.577790, C
0.942595, 2.740479, 0.579162, D
1.578594, 2.368491, 0.610415, E
0.620707, 3.651796, 0.604309, F
2.203406, 2.015839, 0.640761, G
0.802069, 3.097176, 0.409373, H
0.932541, 2.346462, 0.543368, I
1.900618, 2.216633, 0.537829, J
amount produced/need, avg price, sd, char
 year: 2
1.228674, 1.890936, 0.316109, A
1.676489, 1.818505, 0.402816, B
1.776092, 1.589700, 0.341219, C
0.942595, 2.537881, 0.310715, D
1.578594, 2.025176, 0.452586, E
0.620707, 4.373010, 0.605224, F
2.203406, 1.433013, 0.387175, G
0.802069, 3.066674, 0.343858, H
0.932541, 2.057010, 0.269871, I
1.900618, 1.717253, 0.333210, J
amount produced/need, avg price, sd, char
 year: 3
1.228674, 1.441437, 0.246713, A
1.676489, 1.519497, 0.324543, B
1.776092, 1.191659, 0.224976, C
0.942595, 2.314793, 0.304868, D
1.578594, 1.626327, 0.312714, E
0.620707, 5.304088, 0.688921, F
2.203406, 0.992730, 0.242497, G
0.802069, 2.985722, 0.321250, H
0.932541, 1.819652, 0.315415, I
1.900618, 1.301681, 0.282127, J
amount produced/need, avg price, sd, char
 year: 4
1.228674, 1.107871, 0.171323, A
1.676489, 1.194276, 0.222452, B
1.776092, 0.918914, 0.160832, C
0.942595, 2.041291, 0.319348, D
1.578594, 1.330597, 0.205182, E
0.620707, 6.627280, 1.079982, F
2.203406, 0.698329, 0.154169, G
0.802069, 2.953795, 0.340617, H
0.932541, 1.571232, 0.198373, I
1.900618, 0.999791, 0.163824, J
amount produced/need, avg price, sd, char
 year: 5
1.228674, 0.859574, 0.134905, A
1.676489, 0.982889, 0.210512, B
1.776092, 0.721322, 0.168411, C
0.942595, 1.928483, 0.338562, D
1.578594, 1.130461, 0.236161, E
0.620707, 8.479769, 1.546958, F
2.203406, 0.486529, 0.101459, G
0.802069, 2.932491, 0.409805, H
0.932541, 1.340119, 0.165553, I
1.900618, 0.751069, 0.127035, J
amount produced/need, avg price, sd, char
 year: 6
1.228674, 0.660020, 0.111835, A
1.676489, 0.837008, 0.170657, B
1.776092, 0.573644, 0.105417, C
0.942595, 1.723703, 0.184698, D
1.578594, 0.919226, 0.201797, E
0.620707, 10.478024, 1.510110, F
2.203406, 0.331517, 0.071326, G
0.802069, 2.809338, 0.284767, H
0.932541, 1.144359, 0.151449, I
1.900618, 0.551457, 0.090207, J
amount produced/need, avg price, sd, char
 year: 7
1.228674, 0.494605, 0.093902, A
1.676489, 0.689003, 0.106246, B
