amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 2.858720, 0.785769, 2.978407, 2.236349, A
0.883466, 3.055890, 0.632145, 2.978407, 2.021550, A
0.883466, 3.222364, 0.680113, 2.978407, 2.210150, A
0.883466, 3.351676, 0.552321, 2.978407, 2.383914, A
0.883466, 3.513553, 0.545137, 2.978407, 2.210245, A
0.883466, 3.764012, 0.516840, 2.978407, 2.027674, A
0.883466, 4.128784, 0.550856, 2.978407, 1.995532, A
0.883466, 4.522131, 0.600964, 2.978407, 1.884870, A
0.883466, 4.956688, 0.843653, 2.978407, 1.938814, A
0.883466, 5.362042, 0.898360, 2.978407, 2.158220, A
0.883466, 5.840048, 0.966425, 2.978407, 2.096302, A
0.883466, 6.597180, 1.024914, 2.978407, 1.883112, A
0.883466, 7.390278, 1.224768, 2.978407, 1.876396, A
0.883466, 7.308650, 0.982411, 2.978407, 2.433925, A
0.883466, 7.707080, 1.232258, 2.978407, 2.246638, A
0.883466, 7.714884, 1.133365, 2.978407, 2.482061, A
0.883466, 7.570937, 1.070808, 2.978407, 2.650782, A
0.883466, 7.731590, 1.167294, 2.978407, 2.468752, A
0.883466, 7.947200, 1.239496, 2.978407, 2.386136, A
0.883466, 7.874914, 1.154556, 2.978407, 2.501862, A
0.883466, 7.732591, 1.002297, 2.978407, 2.616898, A
0.883466, 7.757363, 1.105531, 2.978407, 2.500439, A
0.883466, 7.671794, 1.055952, 2.978407, 2.571405, A
0.883466, 7.605735, 1.087110, 2.978407, 2.534495, A
0.883466, 7.807832, 1.226349, 2.978407, 2.360218, A
0.883466, 8.775279, 1.351939, 2.978407, 1.785720, A
0.883466, 10.091947, 1.549077, 2.978407, 1.820694, A
0.883466, 11.547373, 1.831906, 2.978407, 1.819501, A
0.883466, 12.315906, 1.888842, 2.978407, 2.176910, A
0.883466, 13.063668, 1.792633, 2.978407, 2.117341, A
0.883466, 14.244236, 1.969344, 2.978407, 2.053678, A
0.883466, 15.849694, 2.575785, 2.978407, 2.000821, A
0.883466, 15.275076, 2.036725, 2.978407, 2.666112, A
0.883466, 14.866243, 2.177594, 2.978407, 2.562746, A
0.883466, 14.912321, 2.122311, 2.978407, 2.414943, A
0.883466, 14.616429, 2.083876, 2.978407, 2.474294, A
0.883466, 14.376921, 1.844622, 2.978407, 2.495398, A
0.883466, 14.212629, 2.031669, 2.978407, 2.647864, A
0.883466, 14.021126, 1.839689, 2.978407, 2.689265, A
0.883466, 14.748745, 2.294615, 2.978407, 2.285108, A
0.883466, 16.439529, 2.620246, 2.978407, 1.934371, A
0.883466, 18.036706, 3.315514, 2.978407, 2.079538, A
0.883466, 17.820216, 2.877818, 2.978407, 2.449268, A
0.883466, 17.807136, 2.851451, 2.978407, 2.452185, A
0.883466, 18.663255, 3.004939, 2.978407, 2.215790, A
0.883466, 19.623722, 3.015062, 2.978407, 2.210995, A
0.883466, 19.858881, 2.541522, 2.978407, 2.351217, A
0.883466, 21.446377, 2.894454, 2.978407, 2.041168, A
0.883466, 23.017709, 3.104746, 2.978407, 2.045075, A
0.883466, 21.090110, 2.548542, 2.978407, 2.718555, A
0.883466, 19.192222, 2.818884, 2.978407, 2.851299, A
0.883466, 16.843782, 2.362093, 2.978407, 2.927044, A
0.883466, 15.059237, 2.095895, 2.978407, 2.859270, A
0.883466, 13.442246, 2.032705, 2.978407, 2.878167, A
0.883466, 11.874728, 1.758875, 2.978407, 2.889054, A
0.883466, 10.613830, 1.688528, 2.978407, 2.918838, A
0.883466, 9.447201, 1.445952, 2.978407, 2.868117, A
0.883466, 8.540360, 1.324236, 2.978407, 2.837691, A
0.883466, 7.743111, 0.990486, 2.978407, 2.948622, A
0.883466, 6.985565, 0.957723, 2.978407, 2.859270, A
0.883466, 6.338935, 0.831158, 2.978407, 2.833059, A
0.883466, 5.746621, 0.793659, 2.978407, 2.821922, A
0.883466, 5.422236, 0.800991, 2.978407, 2.713854, A
0.883466, 5.105849, 0.845948, 2.978407, 2.727402, A
0.883466, 4.590863, 0.728366, 2.978407, 2.889054, A
0.883466, 4.267935, 0.705622, 2.978407, 2.717432, A
0.883466, 4.011174, 0.642955, 2.978407, 2.807426, A
0.883466, 3.822125, 0.568630, 2.978407, 2.710350, A
0.883466, 3.630256, 0.546098, 2.978407, 2.799702, A
0.883466, 3.409014, 0.588412, 2.978407, 2.747217, A
0.883466, 3.184645, 0.507139, 2.978407, 2.814990, A
0.883466, 3.035124, 0.507246, 2.978407, 2.649027, A
0.883466, 2.898985, 0.533194, 2.978407, 2.687619, A
0.883466, 2.729398, 0.417728, 2.978407, 2.710350, A
0.883466, 2.598457, 0.393333, 2.978407, 2.688938, A
0.883466, 2.519444, 0.346185, 2.978407, 2.620998, A
0.883466, 2.490562, 0.377721, 2.978407, 2.567398, A
0.883466, 2.587097, 0.384215, 2.978407, 2.261834, A
0.883466, 2.660722, 0.446095, 2.978407, 2.387267, A
0.883466, 2.815689, 0.439817, 2.978407, 2.252180, A
0.883466, 2.889266, 0.457320, 2.978407, 2.440057, A
0.883466, 3.029519, 0.490427, 2.978407, 2.270671, A
0.883466, 3.122194, 0.518115, 2.978407, 2.355247, A
0.883466, 3.287267, 0.440510, 2.978407, 2.315593, A
0.883466, 3.480733, 0.461098, 2.978407, 2.291618, A
0.883466, 3.576347, 0.537379, 2.978407, 2.330240, A
0.883466, 3.873491, 0.679075, 2.978407, 1.971076, A
0.883466, 4.256345, 0.691350, 2.978407, 1.979160, A
0.883466, 4.570597, 0.608907, 2.978407, 2.174237, A
0.883466, 4.977531, 0.753293, 2.978407, 2.057406, A
0.883466, 5.603238, 0.892736, 2.978407, 1.874160, A
0.883466, 6.803460, 1.150519, 2.978407, 1.367831, A
0.883466, 7.889870, 1.248663, 2.978407, 1.585638, A
0.883466, 9.275719, 1.628887, 2.978407, 1.578074, A
0.883466, 10.942469, 2.065854, 2.978407, 1.539452, A
0.883466, 13.300551, 2.842459, 2.978407, 1.457183, A
0.883466, 15.883100, 3.430963, 2.978407, 1.486967, A
0.883466, 18.036474, 3.937855, 2.978407, 1.756778, A
0.883466, 21.200390, 4.799435, 2.978407, 1.516751, A
0.883466, 25.485994, 5.664147, 2.978407, 1.515894, A
