amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.690001, 2.868430, 0.891641, 1.912332, 1.633956, B
1.690001, 2.925128, 0.696606, 1.912332, 1.568113, B
1.690001, 2.974024, 0.583986, 1.912332, 1.606359, B
1.690001, 2.976008, 0.503472, 1.912332, 1.587236, B
1.690001, 3.023356, 0.510986, 1.912332, 1.564835, B
1.690001, 3.022338, 0.456671, 1.912332, 1.595710, B
1.690001, 3.003965, 0.456968, 1.912332, 1.564346, B
1.690001, 3.022105, 0.460245, 1.912332, 1.606359, B
1.690001, 3.020531, 0.518333, 1.912332, 1.602592, B
1.690001, 3.142880, 0.577261, 1.912332, 1.559994, B
1.690001, 3.187555, 0.500536, 1.912332, 1.587236, B
1.690001, 3.307908, 0.504089, 1.912332, 1.529866, B
1.690001, 3.506741, 0.556835, 1.912332, 1.449606, B
1.690001, 3.835188, 0.607360, 1.912332, 1.338633, B
1.690001, 3.834129, 0.544933, 1.912332, 1.654260, B
1.690001, 4.157931, 0.669555, 1.912332, 1.357756, B
1.690001, 4.568805, 0.768910, 1.912332, 1.300386, B
1.690001, 4.837978, 0.803783, 1.912332, 1.434249, B
1.690001, 5.085847, 0.968559, 1.912332, 1.510743, B
1.690001, 5.577856, 1.040230, 1.912332, 1.376879, B
1.690001, 5.890929, 1.020396, 1.912332, 1.434249, B
1.690001, 6.317585, 1.044904, 1.912332, 1.396003, B
1.690001, 7.021179, 0.982852, 1.912332, 1.281263, B
1.690001, 7.527885, 1.187381, 1.912332, 1.357756, B
1.690001, 8.410346, 1.437524, 1.912332, 1.262139, B
1.690001, 8.995375, 1.658055, 1.912332, 1.338633, B
1.690001, 10.198542, 1.637304, 1.912332, 1.204769, B
1.690001, 11.001537, 1.691900, 1.912332, 1.357756, B
1.690001, 11.970262, 2.044687, 1.912332, 1.319509, B
1.690001, 13.293406, 1.991072, 1.912332, 1.265276, B
1.690001, 14.574772, 2.389715, 1.912332, 1.322646, B
1.690001, 15.390156, 2.631102, 1.912332, 1.466552, B
1.690001, 15.596065, 3.028928, 1.912332, 1.625483, B
1.690001, 15.580029, 2.756379, 1.912332, 1.497416, B
1.690001, 16.206347, 2.370352, 1.912332, 1.473305, B
1.690001, 16.857173, 2.551948, 1.912332, 1.414932, B
1.690001, 16.487125, 2.318287, 1.912332, 1.641276, B
1.690001, 16.232737, 2.275074, 1.912332, 1.668873, B
1.690001, 15.363873, 2.272512, 1.912332, 1.711214, B
1.690001, 15.277687, 2.583757, 1.912332, 1.626341, B
1.690001, 14.528302, 2.302381, 1.912332, 1.773759, B
1.690001, 13.937746, 2.276135, 1.912332, 1.762154, B
1.690001, 13.746523, 2.415614, 1.912332, 1.598345, B
1.690001, 13.266714, 2.061514, 1.912332, 1.703731, B
1.690001, 13.314002, 2.213474, 1.912332, 1.678142, B
1.690001, 13.693354, 2.085830, 1.912332, 1.568113, B
1.690001, 14.045177, 2.236477, 1.912332, 1.639896, B
1.690001, 14.422878, 2.456775, 1.912332, 1.526536, B
1.690001, 15.356027, 2.557991, 1.912332, 1.420270, B
1.690001, 16.052790, 2.387565, 1.912332, 1.472496, B
1.690001, 16.579745, 2.422251, 1.912332, 1.444316, B
1.690001, 18.143169, 2.622446, 1.912332, 1.195180, B
1.690001, 19.588395, 2.817554, 1.912332, 1.379519, B
1.690001, 21.740572, 3.231453, 1.912332, 1.232367, B
1.690001, 23.219670, 3.691692, 1.912332, 1.428415, B
1.690001, 26.587247, 4.592930, 1.912332, 1.130915, B
1.690001, 27.206950, 4.545814, 1.912332, 1.495065, B
1.690001, 27.834594, 4.062517, 1.912332, 1.583906, B
1.690001, 26.293108, 3.288181, 1.912332, 1.740223, B
1.690001, 24.938228, 3.466956, 1.912332, 1.767820, B
1.690001, 22.904093, 2.819802, 1.912332, 1.835839, B
1.690001, 21.060900, 2.787001, 1.912332, 1.759346, B
1.690001, 19.182114, 2.665692, 1.912332, 1.816716, B
1.690001, 18.012161, 2.721387, 1.912332, 1.778469, B
1.690001, 16.764437, 2.313350, 1.912332, 1.797592, B
1.690001, 16.237474, 2.371270, 1.912332, 1.663729, B
1.690001, 15.071466, 2.229301, 1.912332, 1.748833, B
1.690001, 14.313746, 2.164572, 1.912332, 1.778469, B
1.690001, 13.138110, 1.848889, 1.912332, 1.806066, B
1.690001, 12.749904, 1.877632, 1.912332, 1.653217, B
1.690001, 12.778652, 1.706329, 1.912332, 1.633956, B
1.690001, 13.117562, 2.079336, 1.912332, 1.548989, B
1.690001, 12.977759, 1.649701, 1.912332, 1.663729, B
1.690001, 14.104573, 2.318948, 1.912332, 1.357961, B
1.690001, 14.342043, 2.337162, 1.912332, 1.606359, B
1.690001, 14.592678, 2.736540, 1.912332, 1.644606, B
1.690001, 15.305896, 2.638355, 1.912332, 1.453373, B
1.690001, 15.507590, 2.539202, 1.912332, 1.625483, B
1.690001, 16.225952, 2.677137, 1.912332, 1.529866, B
1.690001, 16.699911, 2.500017, 1.912332, 1.521060, B
1.690001, 18.696706, 2.767360, 1.912332, 1.338633, B
1.690001, 22.156900, 3.976420, 1.912332, 1.039386, B
1.690001, 25.478866, 4.835910, 1.912332, 1.204769, B
1.690001, 29.919840, 5.324880, 1.912332, 1.051783, B
1.690001, 32.033659, 5.907845, 1.912332, 1.376879, B
1.690001, 31.262291, 5.037093, 1.912332, 1.693775, B
1.690001, 28.902695, 4.209014, 1.912332, 1.797592, B
1.690001, 24.509163, 3.603434, 1.912332, 1.912332, B
1.690001, 21.413808, 3.130362, 1.912332, 1.893209, B
1.690001, 19.285973, 2.772090, 1.912332, 1.874086, B
1.690001, 17.364515, 2.793726, 1.912332, 1.835839, B
1.690001, 15.383244, 2.331693, 1.912332, 1.893209, B
1.690001, 13.498706, 1.979458, 1.912332, 1.912332, B
1.690001, 12.055091, 1.839813, 1.912332, 1.835839, B
1.690001, 10.834928, 1.706275, 1.912332, 1.816716, B
1.690001, 9.944722, 1.835629, 1.912332, 1.777024, B
1.690001, 9.049769, 1.612740, 1.912332, 1.816716, B
1.690001, 8.501906, 1.486202, 1.912332, 1.778469, B
1.690001, 7.700215, 1.238571, 1.912332, 1.816716, B
1.690001, 7.226562, 1.206070, 1.912332, 1.721099, B
